timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20181003_002709 50 1 4 10000 100000 919028296 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 2 14 98 0.061 0.025 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed919028296.log 34450 hl-extractinstructions.txt 20181003_002739 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_1
20181003_002710 50 1 4 10000 100000 103765041 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 3 16 104 0.063 0.027 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed103765041.log 35049 hl-extractinstructions.txt 20181003_002740 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_2
20181003_002711 50 1 4 10000 100000 141246882 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 20000 50 10000 2 2 3 4 97 0.047 0.014 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed141246882.log 28055 hl-extractinstructions.txt 20181003_002741 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_3
20181003_002712 50 1 4 10000 100000 681028781 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 3 17 98 0.063 0.026 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed681028781.log 35914 hl-extractinstructions.txt 20181003_002742 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_4
20181003_002713 50 1 4 10000 100000 117661523 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 1 18 102 0.063 0.027 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed117661523.log 35968 hl-extractinstructions.txt 20181003_002743 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_5
20181003_002714 50 1 4 10000 100000 105731136 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 3 14 102 0.061 0.025 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed105731136.log 34486 hl-extractinstructions.txt 20181003_002744 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_6
20181003_002715 50 1 4 10000 100000 967561224 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 4 13 101 0.060 0.024 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed967561224.log 33512 hl-extractinstructions.txt 20181003_002745 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_7
20181003_002716 50 1 4 10000 100000 420477893 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 3 14 99 0.062 0.026 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed420477893.log 34935 hl-extractinstructions.txt 20181003_002746 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_8
20181003_002717 50 1 4 10000 100000 263688301 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 1 8 96 0.057 0.022 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed263688301.log 31949 hl-extractinstructions.txt 20181003_002747 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_9
20181003_002718 50 1 4 10000 100000 50746969 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 1 15 102 0.061 0.025 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed50746969.log 34479 hl-extractinstructions.txt 20181003_002748 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_10
20181003_002719 50 1 4 10000 100000 533657980 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 2 7 94 0.056 0.022 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed533657980.log 31437 hl-extractinstructions.txt 20181003_002750 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_11
20181003_002720 50 1 4 10000 100000 711283608 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 3 19 101 0.065 0.028 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed711283608.log 36455 hl-extractinstructions.txt 20181003_002751 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_12
20181003_002721 50 1 4 10000 100000 597296547 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 3 15 102 0.061 0.025 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed597296547.log 34504 hl-extractinstructions.txt 20181003_002752 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_13
20181003_002722 50 1 4 10000 100000 664375964 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 2 9 96 0.057 0.022 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed664375964.log 32452 hl-extractinstructions.txt 20181003_002753 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_14
20181003_002724 50 1 4 10000 100000 258760793 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 3 15 99 0.061 0.025 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed258760793.log 34478 hl-extractinstructions.txt 20181003_002754 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_15
20181003_002725 50 1 4 10000 100000 666549275 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 1 8 98 0.056 0.021 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed666549275.log 31486 hl-extractinstructions.txt 20181003_002755 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_16
20181003_002726 50 1 4 10000 100000 376517787 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 20000 50 10000 2 2 1 5 96 0.048 0.015 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed376517787.log 28542 hl-extractinstructions.txt 20181003_002756 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_17
20181003_002727 50 1 4 10000 100000 817713633 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 4 16 100 0.063 0.026 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed817713633.log 35480 hl-extractinstructions.txt 20181003_002757 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_18
20181003_002728 50 1 4 10000 100000 519606501 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 3 19 104 0.064 0.027 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed519606501.log 36495 hl-extractinstructions.txt 20181003_002758 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_19
20181003_002729 50 1 4 10000 100000 715258232 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 3 11 96 0.058 0.023 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed715258232.log 33440 hl-extractinstructions.txt 20181003_002759 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_20
20181003_002730 50 1 4 10000 100000 792850679 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 20000 50 10000 2 2 2 17 103 0.060 0.025 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed792850679.log 34512 hl-extractinstructions.txt 20181003_002800 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_21
20181003_002731 50 1 4 10000 100000 969331491 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 3 18 101 0.064 0.027 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed969331491.log 35953 hl-extractinstructions.txt 20181003_002801 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_22
20181003_002732 50 1 4 10000 100000 656627946 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 4 13 95 0.061 0.025 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed656627946.log 34421 hl-extractinstructions.txt 20181003_002802 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_23
20181003_002733 50 1 4 10000 100000 985655050 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 5 21 103 0.066 0.029 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed985655050.log 37007 hl-extractinstructions.txt 20181003_002803 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_24
20181003_002734 50 1 4 10000 100000 771297240 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 2 17 105 0.062 0.026 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed771297240.log 35032 hl-extractinstructions.txt 20181003_002804 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_25
20181003_002735 50 1 4 10000 100000 488153710 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 20000 50 10000 2 2 6 21 101 0.064 0.028 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed488153710.log 36497 hl-extractinstructions.txt 20181003_002805 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_26
20181003_002736 50 1 4 10000 100000 51492881 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 20000 50 10000 2 2 5 18 104 0.062 0.026 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed51492881.log 35034 hl-extractinstructions.txt 20181003_002806 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_27
20181003_002737 50 1 4 10000 100000 932031761 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 4 17 101 0.063 0.026 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed932031761.log 35463 hl-extractinstructions.txt 20181003_002807 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_28
20181003_002738 50 1 4 10000 100000 229298583 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 4 19 104 0.065 0.028 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed229298583.log 36004 hl-extractinstructions.txt 20181003_002808 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_29
20181003_002739 50 1 4 10000 100000 49497595 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 3 16 93 0.063 0.026 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed49497595.log 35900 hl-extractinstructions.txt 20181003_002809 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_30
20181003_002740 50 1 4 10000 100000 981995409 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 20000 50 10000 2 2 3 18 103 0.062 0.025 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed981995409.log 34990 hl-extractinstructions.txt 20181003_002810 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_31
20181003_002741 50 1 4 10000 100000 731421358 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 2 13 98 0.060 0.025 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed731421358.log 33968 hl-extractinstructions.txt 20181003_002811 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_32
20181003_002742 50 1 4 10000 100000 487615299 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 6 24 110 0.069 0.032 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed487615299.log 38573 hl-extractinstructions.txt 20181003_002812 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_33
20181003_002743 50 1 4 10000 100000 974358641 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 50 10000 2 2 4 13 99 0.061 0.025 ../hl201810/SHOCKSPAN2/log/doc50cop4shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif20000simlen0_seed974358641.log 33975 hl-extractinstructions.txt 20181003_002813 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 76cfe4bdb021097abeb447ec145a4c1755adf5e0_34
