timestamp docsize shelfsize copies lifem simlength seed lost docstotal docslost auditcycles auditfrequency auditsegments audittype glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime todaysdatetime
20190127_211322 50 1 7 10000 100000 862415775 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 7 14 28 141 0.168 0.106 20190127_211322
20190127_211342 50 1 7 10000 100000 480102295 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 5 10 32 143 0.330 0.217 20190127_211342
20190127_211342 50 1 7 10000 100000 993928726 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 11 22 35 145 0.307 0.218 20190127_211342
20190127_211342 50 1 7 10000 100000 133671816 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 6 12 24 134 0.323 0.208 20190127_211342
20190127_211342 50 1 7 10000 100000 221069975 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 1 2 15 142 0.306 0.182 20190127_211342
20190127_211342 50 1 7 10000 100000 790002907 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 5 10 22 137 0.311 0.204 20190127_211342
20190127_211342 50 1 7 10000 100000 521589958 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 6 12 32 146 0.349 0.219 20190127_211342
20190127_211342 50 1 7 10000 100000 616603922 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 12 24 36 132 0.339 0.229 20190127_211342
20190127_211342 50 1 7 10000 100000 160211880 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 9 18 29 141 0.326 0.215 20190127_211342
20190127_211342 50 1 7 10000 100000 105327160 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 7 14 28 139 0.297 0.200 20190127_211342
20190127_211342 50 1 7 10000 100000 808717148 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 4 8 24 134 0.281 0.184 20190127_211342
20190127_211342 50 1 7 10000 100000 638279258 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 9 18 29 137 0.299 0.189 20190127_211342
20190127_211342 50 1 7 10000 100000 880215307 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 7 14 27 142 0.318 0.217 20190127_211342
20190127_211342 50 1 7 10000 100000 391467625 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 7 14 24 136 0.310 0.209 20190127_211342
20190127_211342 50 1 7 10000 100000 106595100 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 7 14 34 141 0.322 0.204 20190127_211342
20190127_211342 50 1 7 10000 100000 761862692 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 6 12 26 140 0.302 0.195 20190127_211342
