timestamp docsize shelfsize copies lifem simlength seed lost docstotal docslost auditcycles auditfrequency auditsegments audittype glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime todaysdatetime
20190217_224034 50 1 5 10000 100000 862415775 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 67 10 2 2 12 15 26 141 0.156 0.099 20190217_224034
20190217_224054 50 1 5 10000 100000 790002907 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 67 10 2 2 10 13 21 142 0.259 0.180 20190217_224054
20190217_224054 50 1 5 10000 100000 993928726 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 67 10 2 2 5 7 15 138 0.296 0.185 20190217_224054
20190217_224054 50 1 5 10000 100000 616603922 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 67 10 2 2 9 15 22 135 0.289 0.176 20190217_224054
20190217_224054 50 1 5 10000 100000 751552608 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 67 10 2 2 12 16 24 142 0.261 0.185 20190217_224054
20190217_224054 50 1 5 10000 100000 391467625 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 67 10 2 2 9 11 22 137 0.311 0.198 20190217_224054
20190217_224054 50 1 5 10000 100000 133671816 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 67 10 2 2 5 6 11 130 0.267 0.179 20190217_224054
20190217_224054 50 1 5 10000 100000 106595100 20 20 20 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 67 10 2 2 5 5 11 138 0.262 0.159 20190217_224054
20190217_224054 50 1 5 10000 100000 480102295 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 67 10 2 2 6 10 26 143 0.307 0.197 20190217_224054
20190217_224054 50 1 5 10000 100000 822225147 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 67 10 2 2 3 5 11 132 0.251 0.143 20190217_224054
20190217_224054 50 1 5 10000 100000 160211880 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 67 10 2 2 7 8 19 133 0.309 0.192 20190217_224054
20190217_224054 50 1 5 10000 100000 761862692 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 67 10 2 2 8 6 21 138 0.251 0.147 20190217_224054
20190217_224054 50 1 5 10000 100000 209425884 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 67 10 2 2 5 6 18 135 0.311 0.186 20190217_224054
20190217_224054 50 1 5 10000 100000 221069975 0 20 0 9 10000 4 SYSTEMATIC 0 0 0 0 0 30000 10000 67 10 2 2 10 16 27 148 0.296 0.195 20190217_224054
