timestamp docsize shelfsize copies lifem simlength seed lost docstotal docslost auditcycles auditfrequency auditsegments audittype glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime todaysdatetime
20191027_222556 50 1 7 10000 100000 616603922 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 4 8 20 121 2.017 1.900 20191027_222558
20191027_222556 50 1 7 10000 100000 993928726 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 4 8 16 128 1.943 1.838 20191027_222558
20191027_222556 50 1 7 10000 100000 209425884 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 6 12 24 129 1.971 1.891 20191027_222558
20191027_222556 50 1 7 10000 100000 391467625 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 8 16 28 131 2.040 1.939 20191027_222558
20191027_222556 50 1 7 10000 100000 751552608 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 10 20 33 131 2.073 1.944 20191027_222558
20191027_222556 50 1 7 10000 100000 364192286 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 7 14 26 121 2.061 1.941 20191027_222558
20191027_222556 50 1 7 10000 100000 631064730 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 3 6 19 123 2.034 1.882 20191027_222558
20191027_222556 50 1 7 10000 100000 786838584 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 9 18 26 129 2.065 1.909 20191027_222558
20191027_222556 50 1 7 10000 100000 257388880 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 8 16 27 131 2.053 1.917 20191027_222558
20191027_222556 50 1 7 10000 100000 521589958 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 6 12 24 131 2.090 1.899 20191027_222558
20191027_222556 50 1 7 10000 100000 790002907 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 10 20 30 124 2.138 1.967 20191027_222558
20191027_222556 50 1 7 10000 100000 880215307 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 7 14 22 128 2.046 1.889 20191027_222558
20191027_222556 50 1 7 10000 100000 862415775 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 7 14 24 130 2.165 1.852 20191027_222558
20191027_222556 50 1 7 10000 100000 761862692 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 7 14 24 132 2.033 1.910 20191027_222558
20191027_222556 50 1 7 10000 100000 996520084 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 5 10 21 117 1.978 1.857 20191027_222558
20191027_222556 50 1 7 10000 100000 160211880 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 8 16 26 124 2.170 1.942 20191027_222558
20191027_222556 50 1 7 10000 100000 221069975 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 11 22 38 140 2.060 1.917 20191027_222558
20191027_222556 50 1 7 10000 100000 120170124 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 6 12 27 129 2.025 1.888 20191027_222558
20191027_222556 50 1 7 10000 100000 133671816 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 4 8 22 121 2.171 1.874 20191027_222558
20191027_222556 50 1 7 10000 100000 638279258 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 12 24 31 126 2.062 1.883 20191027_222558
20191027_222556 50 1 7 10000 100000 097492175 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 5 10 20 130 2.004 1.889 20191027_222558
20191027_222556 50 1 7 10000 100000 105327160 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 6 12 21 130 2.150 1.868 20191027_222558
20191027_222556 50 1 7 10000 100000 480102295 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 8 16 31 131 2.168 1.958 20191027_222558
20191027_222556 50 1 7 10000 100000 574671125 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 4 8 18 122 1.964 1.822 20191027_222558
20191027_222556 50 1 7 10000 100000 615287595 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 7 14 28 132 2.193 1.906 20191027_222558
20191027_222556 50 1 7 10000 100000 106595100 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 14 28 41 134 2.168 2.005 20191027_222558
20191027_222556 50 1 7 10000 100000 122365525 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 4 8 20 135 2.072 1.858 20191027_222558
20191027_222556 50 1 7 10000 100000 124134630 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 3 6 16 124 2.320 1.879 20191027_222558
20191027_222556 50 1 7 10000 100000 333018605 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 5 10 23 124 2.147 1.996 20191027_222559
20191027_222556 50 1 7 10000 100000 601514327 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 9 18 31 130 2.373 1.942 20191027_222559
20191027_222556 50 1 7 10000 100000 822225147 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 5 10 15 125 2.169 1.767 20191027_222559
20191027_222556 50 1 7 10000 100000 808717148 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 6 12 31 128 2.310 1.955 20191027_222559
20191027_222559 50 1 7 10000 100000 512324072 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 9 18 32 129 1.998 1.912 20191027_222601
20191027_222559 50 1 7 10000 100000 796975167 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 2 4 12 127 1.922 1.812 20191027_222601
20191027_222559 50 1 7 10000 100000 846536632 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 7 14 27 127 2.069 1.959 20191027_222601
20191027_222559 50 1 7 10000 100000 743307559 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 7 14 23 129 2.022 1.921 20191027_222601
20191027_222559 50 1 7 10000 100000 048313482 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 1 2 20 129 2.023 1.892 20191027_222601
20191027_222559 50 1 7 10000 100000 954707134 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 5 10 18 123 2.034 1.863 20191027_222601
20191027_222559 50 1 7 10000 100000 082732383 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 4 8 30 136 2.105 1.922 20191027_222601
20191027_222559 50 1 7 10000 100000 762788464 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 7 14 25 124 2.060 1.892 20191027_222601
20191027_222559 50 1 7 10000 100000 373056765 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 6 12 24 129 2.028 1.895 20191027_222601
20191027_222559 50 1 7 10000 100000 840804396 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 5 10 21 130 2.072 1.935 20191027_222601
20191027_222559 50 1 7 10000 100000 548281167 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 6 12 30 135 2.122 1.934 20191027_222601
20191027_222559 50 1 7 10000 100000 334540650 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 9 18 34 131 2.170 1.992 20191027_222601
20191027_222559 50 1 7 10000 100000 627321836 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 10 20 34 132 2.140 1.976 20191027_222601
20191027_222559 50 1 7 10000 100000 348425878 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 5 10 26 134 2.090 1.921 20191027_222601
20191027_222559 50 1 7 10000 100000 100828497 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 10 20 30 134 2.137 1.966 20191027_222601
20191027_222559 50 1 7 10000 100000 490315076 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 9 18 31 128 2.096 1.944 20191027_222601
20191027_222559 50 1 7 10000 100000 052623900 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 9 18 31 131 2.130 1.950 20191027_222601
20191027_222559 50 1 7 10000 100000 760810211 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 9 18 25 128 2.084 1.903 20191027_222601
20191027_222559 50 1 7 10000 100000 670148885 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 2 2 9 18 36 136 2.128 1.949 20191027_222601
