timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20190118_233243 50 1 7 10000 100000 862415775 0 20 0 0 20 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 9 27 44 146 0.273 0.213 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed862415775.log 63932 hl-extractinstructions.txt 20190118_233243 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 8c49137bc9dbf6ca91f2920525e86273bc3bdd16_1
20190118_233303 50 1 7 10000 100000 209425884 0 20 0 0 20 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 6 18 31 141 0.446 0.367 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed209425884.log 57377 hl-extractinstructions.txt 20190118_233303 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 8c49137bc9dbf6ca91f2920525e86273bc3bdd16_9
20190118_233303 50 1 7 10000 100000 133671816 0 20 0 0 20 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 5 15 27 136 0.510 0.398 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed133671816.log 55328 hl-extractinstructions.txt 20190118_233303 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 8c49137bc9dbf6ca91f2920525e86273bc3bdd16_8
20190118_233303 50 1 7 10000 100000 616603922 0 20 0 0 20 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 8 24 43 139 0.555 0.440 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed616603922.log 63361 hl-extractinstructions.txt 20190118_233303 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 8c49137bc9dbf6ca91f2920525e86273bc3bdd16_2
20190118_233303 50 1 7 10000 100000 790002907 0 20 0 0 20 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 9 27 38 148 0.530 0.416 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed790002907.log 60995 hl-extractinstructions.txt 20190118_233303 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 8c49137bc9dbf6ca91f2920525e86273bc3bdd16_5
20190118_233303 50 1 7 10000 100000 124134630 0 20 0 0 20 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 4 12 24 141 0.515 0.401 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed124134630.log 53871 hl-extractinstructions.txt 20190118_233303 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 8c49137bc9dbf6ca91f2920525e86273bc3bdd16_22
20190118_233303 50 1 7 10000 100000 631064730 0 20 0 0 20 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 4 12 26 135 0.503 0.403 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed631064730.log 54791 hl-extractinstructions.txt 20190118_233303 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 8c49137bc9dbf6ca91f2920525e86273bc3bdd16_17
20190118_233303 50 1 7 10000 100000 257388880 0 20 0 0 20 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 6 18 27 143 0.523 0.404 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed257388880.log 55425 hl-extractinstructions.txt 20190118_233304 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 8c49137bc9dbf6ca91f2920525e86273bc3bdd16_16
20190118_233303 50 1 7 10000 100000 480102295 0 20 0 0 20 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 7 21 45 144 0.496 0.409 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed480102295.log 64342 hl-extractinstructions.txt 20190118_233303 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 8c49137bc9dbf6ca91f2920525e86273bc3bdd16_11
20190118_233303 50 1 7 10000 100000 364192286 0 20 0 2 20 0 9 10000 10 SYSTEMATIC 2 2 0 0 0 0 0 0 0 30000 10000 100 10 3 2 3 9 28 138 0.512 0.390 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed364192286.log 55776 hl-extractinstructions.txt 20190118_233303 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 8c49137bc9dbf6ca91f2920525e86273bc3bdd16_12
20190118_233303 50 1 7 10000 100000 880215307 0 20 0 0 20 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 4 12 25 141 0.529 0.403 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed880215307.log 54348 hl-extractinstructions.txt 20190118_233303 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 8c49137bc9dbf6ca91f2920525e86273bc3bdd16_13
20190118_233303 50 1 7 10000 100000 993928726 0 20 0 0 20 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 9 27 36 153 0.511 0.410 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed993928726.log 60084 hl-extractinstructions.txt 20190118_233303 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 8c49137bc9dbf6ca91f2920525e86273bc3bdd16_7
20190118_233303 50 1 7 10000 100000 105327160 0 20 0 0 20 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 0 0 0 0 30000 10000 100 10 3 2 5 15 32 142 0.547 0.410 ../hl20190118/SHOCKSPAN3/log/doc50cop7shlf1lif10000_af10000s10tSYSTEMATIC_gf0i0d0m0_sh10000i100s3m10_svrdeflif30000simlen0_seed105327160.log 57833 hl-extractinstructions.txt 20190118_233303 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.044 8c49137bc9dbf6ca91f2920525e86273bc3bdd16_14
