timestamp docsize shelfsize copies lifem simlength seed lost docstotal docslost auditcycles auditfrequency auditsegments audittype glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime todaysdatetime
20190226_000340 50 1 6 10000 100000 862415775 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 8 24 41 147 1.057 0.986 20190226_000342
20190226_000340 50 1 6 10000 100000 616603922 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 11 33 46 139 1.056 0.985 20190226_000342
20190226_000401 50 1 6 10000 100000 521589958 100 100 100 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 5 8 18 142 1.942 1.802 20190226_000403
20190226_000401 50 1 6 10000 100000 391467625 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 5 15 30 143 2.038 1.891 20190226_000403
20190226_000400 50 1 6 10000 100000 790002907 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 7 21 28 142 2.074 1.888 20190226_000403
20190226_000401 50 1 6 10000 100000 133671816 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 8 24 32 135 2.078 1.940 20190226_000403
20190226_000401 50 1 6 10000 100000 105327160 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 8 24 35 143 2.025 1.917 20190226_000403
20190226_000401 50 1 6 10000 100000 631064730 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 3 9 24 134 2.020 1.878 20190226_000403
20190226_000401 50 1 6 10000 100000 209425884 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 4 12 24 139 2.089 1.909 20190226_000403
20190226_000401 50 1 6 10000 100000 124134630 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 4 12 22 140 2.017 1.878 20190226_000403
20190226_000401 50 1 6 10000 100000 996520084 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 5 15 24 138 2.043 1.907 20190226_000403
20190226_000401 50 1 6 10000 100000 333018605 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 4 12 27 138 2.015 1.867 20190226_000403
20190226_000401 50 1 6 10000 100000 480102295 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 5 15 34 147 2.126 1.966 20190226_000403
20190226_000401 50 1 6 10000 100000 880215307 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 7 21 33 147 2.172 1.970 20190226_000403
20190226_000401 50 1 6 10000 100000 615287595 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 9 27 45 155 2.175 2.012 20190226_000403
20190226_000400 50 1 6 10000 100000 751552608 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 5 15 33 143 2.200 1.976 20190226_000403
20190226_000401 50 1 6 10000 100000 761862692 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 6 18 33 143 2.117 1.935 20190226_000403
20190226_000401 50 1 6 10000 100000 993928726 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 9 27 42 142 2.194 2.017 20190226_000403
20190226_000401 50 1 6 10000 100000 106595100 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 6 18 37 141 2.148 1.974 20190226_000403
20190226_000401 50 1 6 10000 100000 512324072 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 7 21 32 146 2.047 1.908 20190226_000403
20190226_000401 50 1 6 10000 100000 364192286 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 5 15 29 142 2.154 1.960 20190226_000403
20190226_000401 50 1 6 10000 100000 120170124 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 11 33 50 154 2.175 2.015 20190226_000403
20190226_000401 50 1 6 10000 100000 221069975 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 4 12 27 144 2.183 1.950 20190226_000403
20190226_000400 50 1 6 10000 100000 160211880 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 7 21 31 139 2.299 1.940 20190226_000403
20190226_000401 50 1 6 10000 100000 257388880 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 6 18 25 142 2.169 1.839 20190226_000403
20190226_000401 50 1 6 10000 100000 786838584 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 6 18 34 140 2.134 1.987 20190226_000403
20190226_000401 50 1 6 10000 100000 097492175 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 9 27 45 151 2.122 1.984 20190226_000403
20190226_000401 50 1 6 10000 100000 846536632 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 10 30 41 143 2.122 1.985 20190226_000403
20190226_000401 50 1 6 10000 100000 638279258 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 8 24 37 142 2.202 1.930 20190226_000403
20190226_000401 50 1 6 10000 100000 822225147 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 9 27 34 138 2.302 1.963 20190226_000403
20190226_000401 50 1 6 10000 100000 601514327 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 9 27 43 143 2.364 1.962 20190226_000403
20190226_000401 50 1 6 10000 100000 808717148 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 8 24 39 147 2.291 1.963 20190226_000403
20190226_000401 50 1 6 10000 100000 122365525 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 4 12 24 143 2.182 1.809 20190226_000403
20190226_000401 50 1 6 10000 100000 574671125 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 7 21 35 141 2.291 1.911 20190226_000403
20190226_000404 50 1 6 10000 100000 743307559 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 3 9 26 138 1.956 1.873 20190226_000406
20190226_000403 50 1 6 10000 100000 204532894 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 7 21 36 148 2.151 1.835 20190226_000406
20190226_000404 50 1 6 10000 100000 373056765 100 100 100 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 7 6 11 135 1.897 1.684 20190226_000406
20190226_000404 50 1 6 10000 100000 954707134 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 1 3 13 132 2.016 1.801 20190226_000406
20190226_000404 50 1 6 10000 100000 627321836 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 9 27 37 144 2.061 1.958 20190226_000406
20190226_000404 50 1 6 10000 100000 609519146 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 7 21 33 142 2.000 1.900 20190226_000406
20190226_000404 50 1 6 10000 100000 082732383 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 7 21 40 150 2.116 1.998 20190226_000406
20190226_000404 50 1 6 10000 100000 334540650 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 6 18 36 142 2.134 1.995 20190226_000406
20190226_000404 50 1 6 10000 100000 048313482 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 4 12 30 145 2.106 1.930 20190226_000406
20190226_000404 50 1 6 10000 100000 670148885 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 7 21 35 143 2.124 1.948 20190226_000406
20190226_000404 50 1 6 10000 100000 052623900 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 2 6 24 137 2.024 1.903 20190226_000406
20190226_000404 50 1 6 10000 100000 762788464 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 10 30 46 144 2.149 1.996 20190226_000406
20190226_000404 50 1 6 10000 100000 490315076 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 6 18 31 138 2.092 1.944 20190226_000406
20190226_000404 50 1 6 10000 100000 012661218 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 2 6 22 137 2.031 1.875 20190226_000406
20190226_000404 50 1 6 10000 100000 760810211 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 8 24 34 140 2.092 1.913 20190226_000406
20190226_000404 50 1 6 10000 100000 840804396 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 5 15 30 136 2.104 1.921 20190226_000406
20190226_000404 50 1 6 10000 100000 358697864 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 4 12 23 133 2.104 1.954 20190226_000406
20190226_000404 50 1 6 10000 100000 298208252 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 3 9 29 138 2.041 1.885 20190226_000406
20190226_000404 50 1 6 10000 100000 717183202 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 10 30 41 148 2.212 1.975 20190226_000406
20190226_000404 50 1 6 10000 100000 796975167 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 6 18 33 142 2.216 1.972 20190226_000406
20190226_000404 50 1 6 10000 100000 235473920 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 7 21 33 146 2.162 1.941 20190226_000406
20190226_000404 50 1 6 10000 100000 548281167 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 7 21 41 151 2.332 1.989 20190226_000406
20190226_000404 50 1 6 10000 100000 927368961 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 9 27 42 161 2.156 1.997 20190226_000406
20190226_000404 50 1 6 10000 100000 348425878 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 6 18 32 142 2.231 2.023 20190226_000406
20190226_000404 50 1 6 10000 100000 669050629 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 8 24 32 138 2.167 1.910 20190226_000406
20190226_000404 50 1 6 10000 100000 100828497 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 11 33 47 151 2.355 2.054 20190226_000406
20190226_000404 50 1 6 10000 100000 640119826 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 7 21 36 144 2.084 1.913 20190226_000406
20190226_000404 50 1 6 10000 100000 628501202 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 5 15 29 135 2.305 1.867 20190226_000406
20190226_000404 50 1 6 10000 100000 474973862 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 2 6 20 135 2.208 1.883 20190226_000406
20190226_000404 50 1 6 10000 100000 912170971 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 8 24 34 139 2.084 1.931 20190226_000406
20190226_000404 50 1 6 10000 100000 127918687 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 5 15 29 141 2.262 1.860 20190226_000406
20190226_000404 50 1 6 10000 100000 914850829 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 13 39 52 149 2.365 1.995 20190226_000406
20190226_000407 50 1 6 10000 100000 725834655 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 4 12 23 136 1.772 1.697 20190226_000409
20190226_000407 50 1 6 10000 100000 598599314 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 3 9 20 142 1.792 1.707 20190226_000409
20190226_000407 50 1 6 10000 100000 988779587 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 7 21 30 142 1.889 1.809 20190226_000409
20190226_000407 50 1 6 10000 100000 808112130 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 6 18 30 146 1.901 1.814 20190226_000409
20190226_000407 50 1 6 10000 100000 357353472 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 4 12 24 142 1.931 1.845 20190226_000409
20190226_000407 50 1 6 10000 100000 254760117 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 5 15 24 139 2.007 1.801 20190226_000409
20190226_000407 50 1 6 10000 100000 736884115 100 100 100 9 10000 50 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 3 2 14 21 26 139 1.978 1.803 20190226_000409
