timestamp docsize shelfsize copies lifem simlength seed lost docstotal docslost auditcycles auditfrequency auditsegments audittype glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime todaysdatetime
20191029_171535 50 1 5 10000 100000 862415775 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 3 9 15 123 0.316 0.253 20191029_171536
20191029_171535 50 1 5 10000 100000 616603922 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 7 21 36 132 0.432 0.358 20191029_171536
20191029_171535 50 1 5 10000 100000 160211880 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 8 24 29 127 0.385 0.318 20191029_171536
20191029_171535 50 1 5 10000 100000 751552608 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 5 15 24 128 0.350 0.285 20191029_171536
20191029_171535 50 1 5 10000 100000 521589958 100 100 100 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 6 14 19 133 0.317 0.253 20191029_171536
20191029_171535 50 1 5 10000 100000 790002907 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 8 24 28 129 0.384 0.313 20191029_171536
20191029_171535 50 1 5 10000 100000 993928726 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 3 9 18 130 0.327 0.262 20191029_171536
20191029_171535 50 1 5 10000 100000 133671816 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 5 15 22 124 0.354 0.289 20191029_171536
20191029_171536 50 1 5 10000 100000 391467625 100 100 100 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 6 5 5 124 0.268 0.207 20191029_171536
20191029_171535 50 1 5 10000 100000 209425884 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 9 27 32 139 0.364 0.297 20191029_171536
20191029_171536 50 1 5 10000 100000 480102295 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 4 12 22 129 0.342 0.275 20191029_171536
20191029_171536 50 1 5 10000 100000 364192286 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 7 21 25 125 0.355 0.285 20191029_171536
20191029_171536 50 1 5 10000 100000 880215307 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 6 18 22 130 0.338 0.274 20191029_171536
20191029_171536 50 1 5 10000 100000 105327160 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 4 12 21 132 0.338 0.273 20191029_171536
20191029_171536 50 1 5 10000 100000 106595100 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 4 12 22 121 0.355 0.290 20191029_171536
20191029_171536 50 1 5 10000 100000 257388880 100 100 100 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 6 11 12 128 0.322 0.257 20191029_171536
20191029_171536 50 1 5 10000 100000 631064730 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 7 21 30 130 0.380 0.314 20191029_171537
20191029_171536 50 1 5 10000 100000 761862692 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 8 24 35 139 0.388 0.321 20191029_171537
20191029_171536 50 1 5 10000 100000 615287595 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 13 39 47 140 0.434 0.364 20191029_171537
20191029_171536 50 1 5 10000 100000 601514327 100 100 100 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 6 14 24 129 0.337 0.274 20191029_171537
20191029_171536 50 1 5 10000 100000 124134630 100 100 100 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 6 8 9 124 0.360 0.298 20191029_171537
20191029_171536 50 1 5 10000 100000 786838584 100 100 100 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 11 17 22 128 0.317 0.250 20191029_171537
20191029_171536 50 1 5 10000 100000 221069975 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 8 24 36 140 0.421 0.352 20191029_171537
20191029_171536 50 1 5 10000 100000 638279258 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 6 18 26 123 0.383 0.310 20191029_171537
20191029_171536 50 1 5 10000 100000 120170124 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 4 12 18 126 0.338 0.273 20191029_171537
20191029_171536 50 1 5 10000 100000 996520084 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 7 21 27 127 0.386 0.317 20191029_171537
20191029_171537 50 1 5 10000 100000 097492175 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 3 9 18 133 0.332 0.264 20191029_171537
20191029_171537 50 1 5 10000 100000 808717148 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 4 12 23 130 0.372 0.307 20191029_171537
20191029_171537 50 1 5 10000 100000 574671125 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 5 15 22 123 0.349 0.274 20191029_171537
20191029_171537 50 1 5 10000 100000 822225147 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 5 15 20 128 0.379 0.314 20191029_171537
20191029_171537 50 1 5 10000 100000 122365525 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 4 12 22 138 0.370 0.305 20191029_171537
20191029_171537 50 1 5 10000 100000 512324072 100 100 100 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 8 8 13 119 0.277 0.213 20191029_171537
20191029_171537 50 1 5 10000 100000 846536632 100 100 100 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 4 11 20 131 0.332 0.263 20191029_171537
20191029_171537 50 1 5 10000 100000 204532894 100 100 100 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 10 5 5 127 0.252 0.190 20191029_171537
20191029_171537 50 1 5 10000 100000 333018605 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 10 30 37 133 0.412 0.342 20191029_171537
20191029_171537 50 1 5 10000 100000 627321836 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 7 21 33 129 0.385 0.317 20191029_171538
20191029_171537 50 1 5 10000 100000 743307559 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 7 21 30 133 0.361 0.295 20191029_171538
20191029_171537 50 1 5 10000 100000 082732383 100 100 100 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 9 17 22 134 0.395 0.330 20191029_171538
20191029_171537 50 1 5 10000 100000 548281167 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 8 24 31 139 0.414 0.346 20191029_171538
20191029_171537 50 1 5 10000 100000 954707134 0 100 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 8 24 28 129 0.449 0.373 20191029_171538
