timestamp docsize shelfsize copies lifem simlength seed lost docstotal docslost auditcycles auditfrequency auditsegments audittype glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime todaysdatetime
20191029_140623 50 1 7 10000 100000 616603922 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 3 9 22 121 1.922 1.845 20191029_140625
20191029_140623 50 1 7 10000 100000 790002907 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 2 6 14 121 1.938 1.849 20191029_140625
20191029_140623 50 1 7 10000 100000 862415775 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 8 24 34 133 1.966 1.887 20191029_140625
20191029_140623 50 1 7 10000 100000 751552608 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 3 9 20 122 1.952 1.873 20191029_140625
20191029_140623 50 1 7 10000 100000 761862692 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 2 6 18 127 1.956 1.861 20191029_140625
20191029_140623 50 1 7 10000 100000 160211880 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 5 15 26 125 2.019 1.910 20191029_140625
20191029_140623 50 1 7 10000 100000 209425884 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 5 15 23 129 1.992 1.907 20191029_140625
20191029_140623 50 1 7 10000 100000 521589958 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 4 12 28 133 2.026 1.915 20191029_140625
20191029_140623 50 1 7 10000 100000 105327160 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 9 27 30 135 2.076 1.936 20191029_140625
20191029_140623 50 1 7 10000 100000 480102295 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 7 21 36 133 2.107 1.920 20191029_140625
20191029_140623 50 1 7 10000 100000 364192286 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 9 27 34 126 2.129 1.961 20191029_140625
20191029_140623 50 1 7 10000 100000 880215307 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 8 24 32 135 2.090 1.946 20191029_140625
20191029_140623 50 1 7 10000 100000 786838584 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 6 18 29 127 2.027 1.892 20191029_140625
20191029_140623 50 1 7 10000 100000 124134630 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 4 12 23 127 2.036 1.911 20191029_140625
20191029_140623 50 1 7 10000 100000 221069975 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 9 27 39 146 2.109 1.981 20191029_140625
20191029_140623 50 1 7 10000 100000 601514327 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 7 21 31 127 2.090 1.908 20191029_140625
20191029_140623 50 1 7 10000 100000 631064730 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 8 24 40 132 2.152 2.005 20191029_140625
20191029_140623 50 1 7 10000 100000 993928726 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 13 39 47 141 2.310 2.066 20191029_140625
20191029_140623 50 1 7 10000 100000 391467625 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 7 21 32 131 2.299 1.962 20191029_140625
20191029_140623 50 1 7 10000 100000 257388880 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 6 18 32 133 2.325 1.974 20191029_140626
20191029_140623 50 1 7 10000 100000 120170124 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 9 27 39 132 2.155 1.968 20191029_140626
20191029_140623 50 1 7 10000 100000 808717148 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 5 15 33 130 2.159 1.854 20191029_140626
20191029_140623 50 1 7 10000 100000 106595100 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 7 21 31 126 2.295 1.965 20191029_140626
20191029_140623 50 1 7 10000 100000 574671125 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 5 15 26 122 2.105 1.896 20191029_140626
20191029_140623 50 1 7 10000 100000 996520084 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 8 24 34 124 2.120 1.932 20191029_140626
20191029_140623 50 1 7 10000 100000 333018605 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 5 15 27 123 2.050 1.875 20191029_140626
20191029_140623 50 1 7 10000 100000 615287595 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 5 15 31 132 2.288 1.956 20191029_140626
20191029_140623 50 1 7 10000 100000 822225147 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 7 21 27 129 2.149 1.948 20191029_140626
20191029_140623 50 1 7 10000 100000 133671816 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 10 30 40 135 2.467 2.034 20191029_140626
20191029_140623 50 1 7 10000 100000 122365525 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 7 21 29 140 2.145 1.846 20191029_140626
20191029_140623 50 1 7 10000 100000 638279258 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 7 21 34 130 2.332 1.954 20191029_140626
20191029_140623 50 1 7 10000 100000 097492175 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 13 39 49 140 2.269 2.047 20191029_140626
20191029_140626 50 1 7 10000 100000 512324072 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 5 15 25 126 1.803 1.726 20191029_140628
20191029_140626 50 1 7 10000 100000 743307559 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 4 12 24 131 1.916 1.795 20191029_140628
20191029_140626 50 1 7 10000 100000 954707134 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 8 24 34 132 1.950 1.871 20191029_140628
20191029_140626 50 1 7 10000 100000 548281167 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 2 6 20 129 1.927 1.783 20191029_140628
20191029_140626 50 1 7 10000 100000 627321836 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 3 9 26 125 1.954 1.856 20191029_140628
20191029_140626 50 1 7 10000 100000 082732383 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 5 15 36 136 1.982 1.870 20191029_140628
20191029_140626 50 1 7 10000 100000 846536632 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 14 42 55 143 2.034 1.905 20191029_140628
20191029_140626 50 1 7 10000 100000 204532894 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 6 18 28 134 2.091 1.817 20191029_140628
20191029_140626 50 1 7 10000 100000 100828497 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 3 9 22 130 1.991 1.902 20191029_140628
20191029_140626 50 1 7 10000 100000 334540650 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 7 21 37 133 2.097 1.984 20191029_140628
20191029_140626 50 1 7 10000 100000 762788464 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 7 21 31 127 2.094 1.935 20191029_140628
20191029_140626 50 1 7 10000 100000 717183202 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 6 18 25 133 2.065 1.892 20191029_140628
20191029_140626 50 1 7 10000 100000 796975167 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 2 6 17 129 2.046 1.916 20191029_140628
20191029_140626 50 1 7 10000 100000 348425878 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 5 15 28 135 2.084 1.953 20191029_140628
20191029_140626 50 1 7 10000 100000 490315076 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 11 33 42 130 2.116 1.999 20191029_140628
20191029_140626 50 1 7 10000 100000 840804396 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 5 15 30 133 2.051 1.891 20191029_140628
20191029_140626 50 1 7 10000 100000 298208252 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 3 9 24 126 2.014 1.828 20191029_140628
20191029_140626 50 1 7 10000 100000 670148885 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 8 24 41 133 2.144 1.986 20191029_140628
20191029_140626 50 1 7 10000 100000 052623900 0 100 0 9 10000 50 SYSTEMATIC 0 0 0 0 0 40000 10000 100 10 3 2 2 6 22 127 2.101 1.798 20191029_140629
