timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20170919_203409 50 1 1 1 100000 103765041 9703 10000 297 0 0 9703 9 10000 1 0 0 0 9703 0 0 0 0 0 0 0 0 0 0 2 0 0 0 27.795 22.446408 ../baseline/auditannually/log/doc50cop1shlf1lif1_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 6304545 hl-extractinstructions.txt 20170919_203538 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.076 386ed95e4682e628f53ad08c866cff7d5455451d_2
20170919_203410 50 1 1 1 100000 141246882 9688 10000 312 0 0 9688 9 10000 1 0 0 0 9688 0 0 0 0 0 0 0 0 0 0 2 0 0 0 28.053 23.045809 ../baseline/auditannually/log/doc50cop1shlf1lif1_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 6287757 hl-extractinstructions.txt 20170919_203545 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.076 386ed95e4682e628f53ad08c866cff7d5455451d_3
20170919_203412 50 1 1 1 100000 117661523 9688 10000 312 0 0 9688 9 10000 1 0 0 0 9688 0 0 0 0 0 0 0 0 0 0 2 0 0 0 40.218 33.0895 ../baseline/auditannually/log/doc50cop1shlf1lif1_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 6271890 hl-extractinstructions.txt 20170919_203555 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.076 386ed95e4682e628f53ad08c866cff7d5455451d_5
20170919_203418 50 1 1 1 100000 50746969 9671 10000 329 0 0 9671 9 10000 1 0 0 0 9671 0 0 0 0 0 0 0 0 0 0 2 0 0 0 39.278 32.270797 ../baseline/auditannually/log/doc50cop1shlf1lif1_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed50746969.log 6278048 hl-extractinstructions.txt 20170919_203556 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.076 386ed95e4682e628f53ad08c866cff7d5455451d_10
20170919_203408 50 1 1 1 100000 919028296 9689 10000 311 0 0 9689 9 10000 1 0 0 0 9689 0 0 0 0 0 0 0 0 0 0 2 0 0 0 48.871 40.963156 ../baseline/auditannually/log/doc50cop1shlf1lif1_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 6287796 hl-extractinstructions.txt 20170919_203558 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.076 386ed95e4682e628f53ad08c866cff7d5455451d_1
20170919_203416 50 1 1 1 100000 263688301 9675 10000 325 0 0 9675 9 10000 1 0 0 0 9675 0 0 0 0 0 0 0 0 0 0 2 0 0 0 40.807 33.879214 ../baseline/auditannually/log/doc50cop1shlf1lif1_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed263688301.log 6272012 hl-extractinstructions.txt 20170919_203603 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.076 386ed95e4682e628f53ad08c866cff7d5455451d_9
20170919_203411 50 1 1 1 100000 681028781 9689 10000 311 0 0 9689 9 10000 1 0 0 0 9689 0 0 0 0 0 0 0 0 0 0 2 0 0 0 51.519 42.906473 ../baseline/auditannually/log/doc50cop1shlf1lif1_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 6282647 hl-extractinstructions.txt 20170919_203603 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.076 386ed95e4682e628f53ad08c866cff7d5455451d_4
20170919_203420 50 1 1 1 100000 711283608 9700 10000 300 0 0 9700 9 10000 1 0 0 0 9700 0 0 0 0 0 0 0 0 0 0 2 0 0 0 43.438 37.2699 ../baseline/auditannually/log/doc50cop1shlf1lif1_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed711283608.log 6294078 hl-extractinstructions.txt 20170919_203604 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.076 386ed95e4682e628f53ad08c866cff7d5455451d_12
20170919_203434 50 1 1 2 100000 681028781 8174 10000 1826 0 0 8174 9 10000 1 0 0 0 7834 0 0 0 0 0 0 0 0 0 0 2 0 0 0 36.328 30.828556 ../baseline/auditannually/log/doc50cop1shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 5195651 hl-extractinstructions.txt 20170919_203604 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.076 d7651e32e3e50936c100152152f2968ef3b93707_4
20170919_203413 50 1 1 1 100000 105731136 9663 10000 337 0 0 9663 9 10000 1 0 0 0 9663 0 0 0 0 0 0 0 0 0 0 2 0 0 0 53.849 46.009133 ../baseline/auditannually/log/doc50cop1shlf1lif1_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 6271766 hl-extractinstructions.txt 20170919_203607 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.076 386ed95e4682e628f53ad08c866cff7d5455451d_6
