# A tibble: 64 x 3
   lifem docsize mdmlosspct
   <int>   <int>      <dbl>
 1     2       5       15.9
 2     3       5       10.9
 3     5       5        6.6
 4    10       5        3.3
 5    20       5        1.7
 6    30       5        1.1
 7    50       5        0.7
 8   100       5        0.3
 9   200       5        0.2
10   300       5        0.1
11   500       5        0.1
12  1000       5        0.0
13  2000       5        0.0
14  3000       5        0.0
15  5000       5        0.0
16 10000       5        0.0
17     2      50       82.2
18     3      50       68.6
19     5      50       50.2
20    10      50       29.4
21    20      50       15.9
22    30      50       10.9
23    50      50        6.7
24   100      50        3.4
25   200      50        1.7
26   300      50        1.2
27   500      50        0.7
28  1000      50        0.4
29  2000      50        0.2
30  3000      50        0.1
31  5000      50        0.1
32 10000      50        0.0
33     2     500      100.0
34     3     500      100.0
35     5     500       99.9
36    10     500       96.9
37    20     500       82.4
38    30     500       68.7
39    50     500       50.1
40   100     500       29.3
41   200     500       15.9
42   300     500       10.9
43   500     500        6.7
44  1000     500        3.4
45  2000     500        1.7
46  3000     500        1.2
47  5000     500        0.7
48 10000     500        0.4
49     2    5000      100.0
50     3    5000      100.0
51     5    5000      100.0
52    10    5000      100.0
53    20    5000      100.0
54    30    5000      100.0
55    50    5000       99.9
56   100    5000       96.9
57   200    5000       82.3
58   300    5000       68.5
59   500    5000       50.1
60  1000    5000       29.3
61  2000    5000       15.9
62  3000    5000       11.0
63  5000    5000        6.7
64 10000    5000        3.4
