timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180409_171948 50 1 5 2 100000 919028296 3783 10000 4 423 5790 3783 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 18.936 17.710389 ../baseline/noauditlong/log/doc50cop5shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen100000_seed919028296.log 21801 hl-extractinstructions.txt 20180409_172037 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 b4ede9d8435b66c119ab2caab202baa88adfe399_1
20180409_171949 50 1 5 2 100000 103765041 3727 10000 2 437 5834 3727 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 18.529 17.32088 ../baseline/noauditlong/log/doc50cop5shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen100000_seed103765041.log 21799 hl-extractinstructions.txt 20180409_172037 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 b4ede9d8435b66c119ab2caab202baa88adfe399_2
20180409_171950 50 1 5 2 100000 141246882 3771 10000 3 429 5797 3771 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 19.610 18.314258 ../baseline/noauditlong/log/doc50cop5shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen100000_seed141246882.log 21801 hl-extractinstructions.txt 20180409_172039 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 b4ede9d8435b66c119ab2caab202baa88adfe399_3
20180409_171951 50 1 5 2 100000 681028781 3770 10000 2 390 5838 3770 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 19.158 17.921869 ../baseline/noauditlong/log/doc50cop5shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen100000_seed681028781.log 21801 hl-extractinstructions.txt 20180409_172040 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 b4ede9d8435b66c119ab2caab202baa88adfe399_4
20180409_171952 50 1 5 2 100000 117661523 3818 10000 1 388 5793 3818 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 20.084 18.750379 ../baseline/noauditlong/log/doc50cop5shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen100000_seed117661523.log 21801 hl-extractinstructions.txt 20180409_172042 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 b4ede9d8435b66c119ab2caab202baa88adfe399_5
20180409_171953 50 1 5 2 100000 105731136 3750 10000 1 415 5834 3750 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 21.768 20.312107 ../baseline/noauditlong/log/doc50cop5shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen100000_seed105731136.log 21801 hl-extractinstructions.txt 20180409_172045 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 b4ede9d8435b66c119ab2caab202baa88adfe399_6
20180409_171954 50 1 5 2 100000 967561224 3768 10000 4 418 5810 3768 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 22.881 21.512669 ../baseline/noauditlong/log/doc50cop5shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen100000_seed967561224.log 21801 hl-extractinstructions.txt 20180409_172047 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 b4ede9d8435b66c119ab2caab202baa88adfe399_7
20180409_171956 50 1 5 2 100000 263688301 3796 10000 1 396 5807 3796 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 21.408 19.995714 ../baseline/noauditlong/log/doc50cop5shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen100000_seed263688301.log 21801 hl-extractinstructions.txt 20180409_172047 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 b4ede9d8435b66c119ab2caab202baa88adfe399_9
20180409_171955 50 1 5 2 100000 420477893 3802 10000 3 410 5785 3802 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 25.063 23.400363 ../baseline/noauditlong/log/doc50cop5shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen100000_seed420477893.log 21801 hl-extractinstructions.txt 20180409_172050 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 b4ede9d8435b66c119ab2caab202baa88adfe399_8
20180409_171957 50 1 5 2 100000 50746969 3727 10000 1 426 5846 3727 0 0 0 TOTAL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 23.782 22.169152 ../baseline/noauditlong/log/doc50cop5shlf1lif2_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_svrdeflif0simlen100000_seed50746969.log 21800 hl-extractinstructions.txt 20180409_172051 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.034 b4ede9d8435b66c119ab2caab202baa88adfe399_10
