timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20171102_001711 50 1 2 3 100000 919028296 1322 10000 1021 8326 0 1322 9 10000 2 16087 16087 0 1209 0 0 0 0 0 0 0 0 0 0 2 0 0 0 79.976 31.641 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 11360179 hl-extractinstructions.txt 20171102_001910 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_1
20171102_001712 50 1 2 3 100000 103765041 1344 10000 977 8377 0 1344 9 10000 2 16109 16109 0 1236 0 0 0 0 0 0 0 0 0 0 2 0 0 0 82.120 32.501 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 11412864 hl-extractinstructions.txt 20171102_001915 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_2
20171102_001713 50 1 2 3 100000 141246882 1352 10000 1035 8289 0 1352 9 10000 2 15965 15965 0 1235 0 0 0 0 0 0 0 0 0 0 2 0 0 0 80.937 32.108 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 11331251 hl-extractinstructions.txt 20171102_001915 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_3
20171102_001714 50 1 2 3 100000 681028781 1328 10000 1009 8343 0 1328 9 10000 2 16027 16027 0 1220 0 0 0 0 0 0 0 0 0 0 2 0 0 0 81.740 32.172 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 11327438 hl-extractinstructions.txt 20171102_001917 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_4
20171102_001717 50 1 2 3 100000 105731136 1367 10000 988 8325 0 1367 9 10000 2 15992 15992 0 1240 0 0 0 0 0 0 0 0 0 0 2 0 0 0 80.083 31.061 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 11353583 hl-extractinstructions.txt 20171102_001918 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_6
20171102_001716 50 1 2 3 100000 117661523 1368 10000 959 8345 0 1368 9 10000 2 16112 16112 0 1263 0 0 0 0 0 0 0 0 0 0 2 0 0 0 81.007 30.797 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 11447003 hl-extractinstructions.txt 20171102_001918 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_5
20171102_001719 50 1 2 3 100000 967561224 1295 10000 1008 8349 0 1295 9 10000 2 16024 16024 0 1181 0 0 0 0 0 0 0 0 0 0 2 0 0 0 79.887 31.702 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed967561224.log 11324461 hl-extractinstructions.txt 20171102_001919 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_7
20171102_001842 50 1 2 3 100000 420477893 1286 10000 990 8354 0 1286 9 10000 2 16164 16164 0 1180 0 0 0 0 0 0 0 0 0 0 2 0 0 0 98.019 28.593 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed420477893.log 11374033 hl-extractinstructions.txt 20171102_002054 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_8
20171102_001843 50 1 2 3 100000 263688301 1289 10000 1001 8332 0 1289 9 10000 2 15999 15999 0 1184 0 0 0 0 0 0 0 0 0 0 2 0 0 0 97.481 28.172 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed263688301.log 11312297 hl-extractinstructions.txt 20171102_002055 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_9
20171102_001926 50 1 2 3 100000 50746969 1396 10000 995 8277 0 1396 9 10000 2 15912 15912 0 1293 0 0 0 0 0 0 0 0 0 0 2 0 0 0 73.265 27.782 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed50746969.log 11328852 hl-extractinstructions.txt 20171102_002112 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_10
20171102_001937 50 1 2 3 100000 533657980 1318 10000 998 8345 0 1318 9 10000 2 16309 16309 0 1222 0 0 0 0 0 0 0 0 0 0 2 0 0 0 77.091 29.359 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed533657980.log 11471427 hl-extractinstructions.txt 20171102_002130 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_11
20171102_001939 50 1 2 3 100000 711283608 1367 10000 1001 8326 0 1367 9 10000 2 16055 16055 0 1240 0 0 0 0 0 0 0 0 0 0 2 0 0 0 76.876 28.813 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed711283608.log 11379982 hl-extractinstructions.txt 20171102_002131 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_12
20171102_001940 50 1 2 3 100000 597296547 1374 10000 982 8323 0 1374 9 10000 2 16029 16029 0 1254 0 0 0 0 0 0 0 0 0 0 2 0 0 0 76.058 28.719 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed597296547.log 11344791 hl-extractinstructions.txt 20171102_002132 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_13
20171102_001941 50 1 2 3 100000 664375964 1301 10000 973 8359 0 1301 9 10000 2 16190 16190 0 1207 0 0 0 0 0 0 0 0 0 0 2 0 0 0 76.944 29.453 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed664375964.log 11409602 hl-extractinstructions.txt 20171102_002134 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_14
20171102_002024 50 1 2 3 100000 258760793 1342 10000 945 8380 0 1342 9 10000 2 16274 16274 0 1238 0 0 0 0 0 0 0 0 0 0 2 0 0 0 81.274 29.501 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed258760793.log 11497414 hl-extractinstructions.txt 20171102_002218 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_15
20171102_002106 50 1 2 3 100000 666549275 1277 10000 965 8392 0 1277 9 10000 2 16174 16174 0 1169 0 0 0 0 0 0 0 0 0 0 2 0 0 0 79.148 28.875 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed666549275.log 11388478 hl-extractinstructions.txt 20171102_002258 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_16
20171102_002118 50 1 2 3 100000 376517787 1304 10000 988 8369 0 1304 9 10000 2 16231 16231 0 1182 0 0 0 0 0 0 0 0 0 0 2 0 0 0 76.299 27.422 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed376517787.log 11423624 hl-extractinstructions.txt 20171102_002307 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_17
20171102_002139 50 1 2 3 100000 817713633 1299 10000 1039 8306 0 1299 9 10000 2 15883 15883 0 1195 0 0 0 0 0 0 0 0 0 0 2 0 0 0 74.064 29.297 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed817713633.log 11251808 hl-extractinstructions.txt 20171102_002324 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_18
20171102_002140 50 1 2 3 100000 519606501 1358 10000 986 8324 0 1358 9 10000 2 16030 16030 0 1240 0 0 0 0 0 0 0 0 0 0 2 0 0 0 74.706 28.843 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed519606501.log 11367170 hl-extractinstructions.txt 20171102_002326 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_19
20171102_002225 50 1 2 5 100000 919028296 614 10000 2488 7116 0 614 9 10000 2 10607 10607 0 557 0 0 0 0 0 0 0 0 0 0 2 0 0 0 51.962 18.891 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 7475387 hl-extractinstructions.txt 20171102_002342 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_1
20171102_002152 50 1 2 3 100000 715258232 1329 10000 1037 8290 0 1329 9 10000 2 16153 16153 0 1203 0 0 0 0 0 0 0 0 0 0 2 0 0 0 77.368 29.297 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed715258232.log 11409030 hl-extractinstructions.txt 20171102_002343 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_20
20171102_002153 50 1 2 3 100000 792850679 1338 10000 991 8335 0 1338 9 10000 2 16078 16078 0 1213 0 0 0 0 0 0 0 0 0 0 2 0 0 0 77.357 28.656 ../random/g0s0/log/doc50cop2shlf1lif3_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed792850679.log 11375792 hl-extractinstructions.txt 20171102_002344 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 2d0d006f0ab9ec20158ecae17419146dd8824b0a_21
20171102_002237 50 1 2 5 100000 103765041 503 10000 2526 7161 0 503 9 10000 2 10687 10687 0 454 0 0 0 0 0 0 0 0 0 0 2 0 0 0 51.882 17.923 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 7409967 hl-extractinstructions.txt 20171102_002351 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_2
20171102_002319 50 1 2 5 100000 141246882 572 10000 2516 7136 0 572 9 10000 2 10713 10713 0 521 0 0 0 0 0 0 0 0 0 0 2 0 0 0 51.402 18.047 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 7494045 hl-extractinstructions.txt 20171102_002435 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_3
20171102_002330 50 1 2 5 100000 681028781 527 10000 2506 7159 0 527 9 10000 2 10845 10845 0 487 0 0 0 0 0 0 0 0 0 0 2 0 0 0 50.457 17.359 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 7522092 hl-extractinstructions.txt 20171102_002446 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_4
20171102_002332 50 1 2 5 100000 117661523 563 10000 2514 7124 0 563 9 10000 2 10780 10780 0 509 0 0 0 0 0 0 0 0 0 0 2 0 0 0 50.181 17.047 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 7498363 hl-extractinstructions.txt 20171102_002446 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_5
20171102_002353 50 1 2 5 100000 105731136 562 10000 2492 7158 0 562 9 10000 2 10769 10769 0 508 0 0 0 0 0 0 0 0 0 0 2 0 0 0 50.372 18.859 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 7520526 hl-extractinstructions.txt 20171102_002508 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_6
20171102_002354 50 1 2 5 100000 967561224 604 10000 2472 7155 0 604 9 10000 2 10744 10744 0 543 0 0 0 0 0 0 0 0 0 0 2 0 0 0 50.406 18.61 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed967561224.log 7532695 hl-extractinstructions.txt 20171102_002509 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_7
20171102_002406 50 1 2 5 100000 420477893 594 10000 2568 7046 0 594 9 10000 2 10516 10516 0 525 0 0 0 0 0 0 0 0 0 0 2 0 0 0 48.523 17.313 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed420477893.log 7383233 hl-extractinstructions.txt 20171102_002518 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_8
20171102_002418 50 1 2 5 100000 263688301 568 10000 2528 7123 0 568 9 10000 2 10676 10676 0 510 0 0 0 0 0 0 0 0 0 0 2 0 0 0 50.358 18.578 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed263688301.log 7459676 hl-extractinstructions.txt 20171102_002533 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_9
20171102_002419 50 1 2 5 100000 50746969 564 10000 2449 7198 0 564 9 10000 2 10854 10854 0 507 0 0 0 0 0 0 0 0 0 0 2 0 0 0 51.107 19.047 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed50746969.log 7557053 hl-extractinstructions.txt 20171102_002535 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_10
20171102_002451 50 1 2 5 100000 533657980 569 10000 2494 7156 0 569 9 10000 2 10683 10683 0 515 0 0 0 0 0 0 0 0 0 0 2 0 0 0 50.880 19.298 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed533657980.log 7473949 hl-extractinstructions.txt 20171102_002606 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_11
20171102_002452 50 1 2 5 100000 711283608 588 10000 2462 7195 0 588 9 10000 2 10864 10864 0 523 0 0 0 0 0 0 0 0 0 0 2 0 0 0 51.438 20.219 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed711283608.log 7595031 hl-extractinstructions.txt 20171102_002608 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_12
20171102_002504 50 1 2 5 100000 597296547 565 10000 2515 7114 0 565 9 10000 2 10738 10738 0 516 0 0 0 0 0 0 0 0 0 0 2 0 0 0 49.870 18.765 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed597296547.log 7499062 hl-extractinstructions.txt 20171102_002617 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_13
20171102_002515 50 1 2 5 100000 664375964 579 10000 2451 7178 0 579 9 10000 2 10780 10780 0 540 0 0 0 0 0 0 0 0 0 0 2 0 0 0 50.376 19.251 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed664375964.log 7533969 hl-extractinstructions.txt 20171102_002628 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_14
20171102_002527 50 1 2 5 100000 258760793 573 10000 2443 7193 0 573 9 10000 2 10727 10727 0 522 0 0 0 0 0 0 0 0 0 0 2 0 0 0 50.277 18.297 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed258760793.log 7506996 hl-extractinstructions.txt 20171102_002640 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_15
20171102_002538 50 1 2 5 100000 666549275 527 10000 2547 7137 0 527 9 10000 2 10601 10601 0 463 0 0 0 0 0 0 0 0 0 0 2 0 0 0 48.006 18.109 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed666549275.log 7397333 hl-extractinstructions.txt 20171102_002649 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_16
20171102_002550 50 1 2 5 100000 376517787 547 10000 2526 7138 0 547 9 10000 2 10700 10700 0 489 0 0 0 0 0 0 0 0 0 0 2 0 0 0 48.989 19.219 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed376517787.log 7457892 hl-extractinstructions.txt 20171102_002700 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_17
20171102_002601 50 1 2 5 100000 817713633 574 10000 2463 7188 0 574 9 10000 2 10731 10731 0 518 0 0 0 0 0 0 0 0 0 0 2 0 0 0 50.807 18.234 ../random/g0s0/log/doc50cop2shlf1lif5_af10000s2tUNIFORM_gf0i0d0m0_sh0i0s0m0_sdl0_seed817713633.log 7512996 hl-extractinstructions.txt 20171102_002717 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1be745e4221d8f066f0bcfccefbddff531f39484_18
