timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20170920_230838 50 1 3 10 100000 919028296 3 10000 3548 6322 328 3 9 10000 1 9159 8563 596 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 29.306 24.33195 ../audit/segments/log/doc50cop3shlf1lif10_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 5950594 hl-extractinstructions.txt 20170920_231005 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 30d389c65ab487bf996f67d5bc05e4c3c9a1800b_1
20170920_230839 50 1 3 10 100000 103765041 2 10000 3560 6311 310 2 9 10000 1 9159 8587 572 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 30.516 25.065043 ../audit/segments/log/doc50cop3shlf1lif10_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 5949127 hl-extractinstructions.txt 20170920_231007 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 30d389c65ab487bf996f67d5bc05e4c3c9a1800b_2
20170920_230841 50 1 3 10 100000 681028781 6 10000 3574 6283 316 6 9 10000 1 9140 8566 574 6 0 0 0 0 0 0 0 0 0 0 2 0 0 0 30.991 25.687569 ../audit/segments/log/doc50cop3shlf1lif10_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 5943628 hl-extractinstructions.txt 20170920_231009 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 30d389c65ab487bf996f67d5bc05e4c3c9a1800b_4
20170920_230840 50 1 3 10 100000 141246882 4 10000 3576 6272 348 4 9 10000 1 9124 8488 636 4 0 0 0 0 0 0 0 0 0 0 2 0 0 0 30.577 25.281032 ../audit/segments/log/doc50cop3shlf1lif10_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 5929273 hl-extractinstructions.txt 20170920_231009 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 30d389c65ab487bf996f67d5bc05e4c3c9a1800b_3
20170920_230859 50 1 3 20 100000 919028296 1 10000 6000 3936 92 1 9 10000 1 4552 4388 164 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 37.365 31.206572 ../audit/segments/log/doc50cop3shlf1lif20_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 3094798 hl-extractinstructions.txt 20170920_231012 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 158190322a15a00f5101acdb6d96161c34c79718_1
20170920_230842 50 1 3 10 100000 117661523 6 10000 3509 6365 314 6 9 10000 1 9114 8558 556 6 0 0 0 0 0 0 0 0 0 0 2 0 0 0 32.635 27.184396 ../audit/segments/log/doc50cop3shlf1lif10_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 5931899 hl-extractinstructions.txt 20170920_231013 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 30d389c65ab487bf996f67d5bc05e4c3c9a1800b_5
20170920_230900 50 1 3 20 100000 103765041 0 10000 5948 4011 75 0 9 10000 1 4681 4549 132 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 37.298 30.863389 ../audit/segments/log/doc50cop3shlf1lif20_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 3156218 hl-extractinstructions.txt 20170920_231013 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 158190322a15a00f5101acdb6d96161c34c79718_2
20170920_230843 50 1 3 10 100000 105731136 1 10000 3568 6296 304 1 9 10000 1 9097 8527 570 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 34.433 28.941719 ../audit/segments/log/doc50cop3shlf1lif10_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 5920395 hl-extractinstructions.txt 20170920_231014 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 30d389c65ab487bf996f67d5bc05e4c3c9a1800b_6
20170920_230901 50 1 3 20 100000 141246882 0 10000 5934 4006 93 0 9 10000 1 4680 4512 168 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 36.181 29.898046 ../audit/segments/log/doc50cop3shlf1lif20_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 3151946 hl-extractinstructions.txt 20170920_231014 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 158190322a15a00f5101acdb6d96161c34c79718_3
20170920_230844 50 1 3 10 100000 967561224 2 10000 3554 6336 300 2 9 10000 1 9107 8567 540 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 33.308 28.009748 ../audit/segments/log/doc50cop3shlf1lif10_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed967561224.log 5941425 hl-extractinstructions.txt 20170920_231015 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 30d389c65ab487bf996f67d5bc05e4c3c9a1800b_7
20170920_230845 50 1 3 10 100000 420477893 4 10000 3480 6384 314 4 9 10000 1 9251 8667 584 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 33.425 28.135034 ../audit/segments/log/doc50cop3shlf1lif10_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed420477893.log 5997092 hl-extractinstructions.txt 20170920_231016 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 30d389c65ab487bf996f67d5bc05e4c3c9a1800b_8
20170920_230902 50 1 3 20 100000 681028781 1 10000 5920 4024 86 1 9 10000 1 4616 4470 146 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 37.695 31.140147 ../audit/segments/log/doc50cop3shlf1lif20_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 3135305 hl-extractinstructions.txt 20170920_231017 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 158190322a15a00f5101acdb6d96161c34c79718_4
20170920_230904 50 1 3 20 100000 117661523 1 10000 5971 3986 75 1 9 10000 1 4629 4495 134 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 36.914 30.144035 ../audit/segments/log/doc50cop3shlf1lif20_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 3126679 hl-extractinstructions.txt 20170920_231017 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 158190322a15a00f5101acdb6d96161c34c79718_5
20170920_230906 50 1 3 20 100000 967561224 0 10000 5951 4003 73 0 9 10000 1 4597 4463 134 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 35.552 28.895491 ../audit/segments/log/doc50cop3shlf1lif20_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed967561224.log 3130000 hl-extractinstructions.txt 20170920_231017 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 158190322a15a00f5101acdb6d96161c34c79718_7
20170920_230905 50 1 3 20 100000 105731136 1 10000 5944 4008 69 1 9 10000 1 4665 4537 128 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 37.516 31.331018 ../audit/segments/log/doc50cop3shlf1lif20_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 3145566 hl-extractinstructions.txt 20170920_231019 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 158190322a15a00f5101acdb6d96161c34c79718_6
20170920_230846 50 1 3 10 100000 263688301 3 10000 3511 6363 302 3 9 10000 1 9079 8527 552 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 35.395 30.005321 ../audit/segments/log/doc50cop3shlf1lif10_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed263688301.log 5910905 hl-extractinstructions.txt 20170920_231019 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 30d389c65ab487bf996f67d5bc05e4c3c9a1800b_9
20170920_230907 50 1 3 20 100000 420477893 2 10000 5846 4104 86 2 9 10000 1 4715 4569 146 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 35.762 29.364127 ../audit/segments/log/doc50cop3shlf1lif20_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed420477893.log 3184149 hl-extractinstructions.txt 20170920_231019 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 158190322a15a00f5101acdb6d96161c34c79718_8
20170920_230908 50 1 3 20 100000 263688301 0 10000 5966 3990 70 0 9 10000 1 4584 4460 124 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 35.847 29.485002 ../audit/segments/log/doc50cop3shlf1lif20_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed263688301.log 3095389 hl-extractinstructions.txt 20170920_231020 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 158190322a15a00f5101acdb6d96161c34c79718_9
20170920_230909 50 1 3 20 100000 50746969 0 10000 5983 3958 88 0 9 10000 1 4566 4406 160 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 35.981 29.33301 ../audit/segments/log/doc50cop3shlf1lif20_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed50746969.log 3098503 hl-extractinstructions.txt 20170920_231020 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 158190322a15a00f5101acdb6d96161c34c79718_10
20170920_230847 50 1 3 10 100000 50746969 3 10000 3551 6327 284 3 9 10000 1 9149 8637 512 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 36.071 30.648108 ../audit/segments/log/doc50cop3shlf1lif10_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed50746969.log 5947142 hl-extractinstructions.txt 20170920_231020 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 30d389c65ab487bf996f67d5bc05e4c3c9a1800b_10
20170920_230911 50 1 3 20 100000 711283608 0 10000 5958 3992 88 0 9 10000 1 4680 4520 160 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 35.231 28.837556 ../audit/segments/log/doc50cop3shlf1lif20_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed711283608.log 3149303 hl-extractinstructions.txt 20170920_231020 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 158190322a15a00f5101acdb6d96161c34c79718_12
20170920_230910 50 1 3 20 100000 533657980 0 10000 5911 4031 91 0 9 10000 1 4681 4509 172 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 35.505 28.464101 ../audit/segments/log/doc50cop3shlf1lif20_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed533657980.log 3175357 hl-extractinstructions.txt 20170920_231020 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 158190322a15a00f5101acdb6d96161c34c79718_11
20170920_230849 50 1 3 10 100000 711283608 3 10000 3495 6365 318 3 9 10000 1 9168 8592 576 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 37.034 31.507138 ../audit/segments/log/doc50cop3shlf1lif10_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed711283608.log 5958096 hl-extractinstructions.txt 20170920_231021 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 30d389c65ab487bf996f67d5bc05e4c3c9a1800b_12
20170920_230848 50 1 3 10 100000 533657980 6 10000 3505 6365 320 6 9 10000 1 9272 8672 600 6 0 0 0 0 0 0 0 0 0 0 2 0 0 0 38.043 32.464023 ../audit/segments/log/doc50cop3shlf1lif10_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed533657980.log 6034966 hl-extractinstructions.txt 20170920_231022 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 30d389c65ab487bf996f67d5bc05e4c3c9a1800b_11
20170920_230852 50 1 3 10 100000 258760793 6 10000 3446 6414 365 6 9 10000 1 9336 8660 676 6 0 0 0 0 0 0 0 0 0 0 2 0 0 0 37.448 32.171013 ../audit/segments/log/doc50cop3shlf1lif10_af10000s1tSYSTEMATIC_gf0i0d0m0_sh0i0s0m0_sdl0_seed258760793.log 6050637 hl-extractinstructions.txt 20170920_231023 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.058 30d389c65ab487bf996f67d5bc05e4c3c9a1800b_15
