Name,Quality,ShelfSize
Amazon East,        1,  1
Amazon West,        1,  1
Google Drive,       1,  1
OneDrive Vanilla,   1,  1
AWS Euro Vanilla,   1,  1
Amazon East Plus,   1,  1
Amazon West Plus,   1,  1
Google Drive Plus,  1,  1
OneDrive  Plus,     1,  1
AWS Euro  Plus,     1,  1
Amazon East Premium,    1,  1
Amazon West Premium,    1,  1
Google Drive Premium,   1,  1
OneDrive  Premium,      1,  1
AWS Euro  Premium,      1,  1
Amazon East Super Duper,1,1
Amazon West Super Duper,1,1
Google Drive Super Duper,1,1
OneDrive  Super Duper,1,1
AWS Euro  Super Duper,1,1
Amazon East Platinum,1,1
Amazon West Platinum,1,1
Google Drive Platinum,1,1
OneDrive  Platinum,1,1
AWS Euro  Platinum,1,1
Yet Another 1,1,1
Yet Another 2,1,1
Yet Another 3,1,1
Yet Another 4,1,1
Yet Another 5,1,1
