timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20170514_163842 50 1 1 10 100000 919028296 2882 10000 7118 0 0 2882 9 10000 1 0 0 0 2645 0 0 0 0 0 0 0 0 0 0 2 0 9.966 6.891 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed919028296.log 1770186 hl-extractinstructions.txt 20170514_163908 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_1
20170514_163844 50 1 1 10 100000 103765041 2937 10000 7063 0 0 2937 9 10000 1 0 0 0 2713 0 0 0 0 0 0 0 0 0 0 2 0 10.278 6.907 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed103765041.log 1809381 hl-extractinstructions.txt 20170514_163915 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_2
20170514_163846 50 1 1 10 100000 141246882 2899 10000 7101 0 0 2899 9 10000 1 0 0 0 2665 0 0 0 0 0 0 0 0 0 0 2 0 10.849 6.906 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed141246882.log 1782276 hl-extractinstructions.txt 20170514_163915 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_3
20170514_163858 50 1 1 10 100000 681028781 2923 10000 7077 0 0 2923 9 10000 1 0 0 0 2672 0 0 0 0 0 0 0 0 0 0 2 0 10.805 6.656 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed681028781.log 1789238 hl-extractinstructions.txt 20170514_163923 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_4
20170514_163900 50 1 1 10 100000 117661523 2880 10000 7120 0 0 2880 9 10000 1 0 0 0 2642 0 0 0 0 0 0 0 0 0 0 2 0 11.957 6.812 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed117661523.log 1762422 hl-extractinstructions.txt 20170514_163929 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_5
20170514_163934 50 1 1 10 100000 105731136 2882 10000 7118 0 0 2882 9 10000 1 0 0 0 2654 0 0 0 0 0 0 0 0 0 0 2 0 9.412 6.327 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed105731136.log 1779236 hl-extractinstructions.txt 20170514_164001 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_6
20170514_163935 50 1 1 10 100000 967561224 2890 10000 7110 0 0 2890 9 10000 1 0 0 0 2645 0 0 0 0 0 0 0 0 0 0 2 0 10.696 6.469 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed967561224.log 1777869 hl-extractinstructions.txt 20170514_164005 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_7
20170514_163951 50 1 1 10 100000 263688301 2912 10000 7088 0 0 2912 9 10000 1 0 0 0 2646 0 0 0 0 0 0 0 0 0 0 2 0 12.898 6.64 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed263688301.log 1776127 hl-extractinstructions.txt 20170514_164019 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_9
20170514_163949 50 1 1 10 100000 420477893 3003 10000 6997 0 0 3003 9 10000 1 0 0 0 2710 0 0 0 0 0 0 0 0 0 0 2 0 12.160 6.781 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed420477893.log 1829288 hl-extractinstructions.txt 20170514_164017 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_8
20170514_164027 50 1 1 10 100000 533657980 2954 10000 7046 0 0 2954 9 10000 1 0 0 0 2729 0 0 0 0 0 0 0 0 0 0 2 0 10.570 6.343 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed533657980.log 1820589 hl-extractinstructions.txt 20170514_164058 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_11
