timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20170522_185221 50 1 1 10 100000 919028296 2882 10000 7118 0 0 2882 9 10000 1 0 0 0 2645 0 0 0 0 0 100000 0 0 0 0 2 0 0 20 3.749 2.937 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed919028296.log 12955 hl-extractinstructions.txt 20170522_185232 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 eec1f184853867cb61e1749e07535849a40a8d9a_1
20170522_185222 50 1 1 10 100000 103765041 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 22 3.072 2.187 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed103765041.log 12973 hl-extractinstructions.txt 20170522_185233 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 eec1f184853867cb61e1749e07535849a40a8d9a_2
20170522_185224 50 1 1 10 100000 681028781 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 25 2.411 1.468 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed681028781.log 12987 hl-extractinstructions.txt 20170522_185234 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 eec1f184853867cb61e1749e07535849a40a8d9a_4
20170522_185223 50 1 1 10 100000 141246882 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 22 3.825 2.875 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed141246882.log 12970 hl-extractinstructions.txt 20170522_185235 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 eec1f184853867cb61e1749e07535849a40a8d9a_3
20170522_185227 50 1 1 10 100000 105731136 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 21 1.953 1.141 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed105731136.log 12960 hl-extractinstructions.txt 20170522_185236 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 eec1f184853867cb61e1749e07535849a40a8d9a_6
20170522_185226 50 1 1 10 100000 117661523 2879 10000 7121 0 0 2879 9 10000 1 0 0 0 2640 0 0 0 0 0 100000 0 0 0 0 2 0 0 16 3.526 2.75 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed117661523.log 12929 hl-extractinstructions.txt 20170522_185237 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 eec1f184853867cb61e1749e07535849a40a8d9a_5
20170522_185228 50 1 1 10 100000 967561224 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 21 2.968 2.219 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed967561224.log 12969 hl-extractinstructions.txt 20170522_185239 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 eec1f184853867cb61e1749e07535849a40a8d9a_7
20170522_185229 50 1 1 10 100000 420477893 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 21 1.98 1.344 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed420477893.log 12963 hl-extractinstructions.txt 20170522_185239 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 eec1f184853867cb61e1749e07535849a40a8d9a_8
20170522_185242 50 1 1 10 100000 50746969 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 0 0 0 0 2 0 1 26 1.93 1.062 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed50746969.log 12985 hl-extractinstructions.txt 20170522_185251 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 eec1f184853867cb61e1749e07535849a40a8d9a_10
20170522_185241 50 1 1 10 100000 263688301 2911 10000 7089 0 0 2911 9 10000 1 0 0 0 2641 0 0 0 0 0 100000 0 0 0 0 2 0 0 19 3.381 2.64 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed263688301.log 12946 hl-extractinstructions.txt 20170522_185252 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 eec1f184853867cb61e1749e07535849a40a8d9a_9
