timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20170523_145505 50 1 1 10 100000 919028296 2882 10000 7118 0 0 2882 9 10000 1 0 0 0 2645 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.361 2.563 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 12629 hl-extractinstructions.txt 20170523_145516 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_1
20170523_145506 50 1 1 10 100000 103765041 2937 10000 7063 0 0 2937 9 10000 1 0 0 0 2713 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.433 2.719 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 12629 hl-extractinstructions.txt 20170523_145517 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_2
20170523_145507 50 1 1 10 100000 141246882 2899 10000 7101 0 0 2899 9 10000 1 0 0 0 2665 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.600 2.844 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 12629 hl-extractinstructions.txt 20170523_145519 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_3
20170523_145509 50 1 1 10 100000 681028781 2923 10000 7077 0 0 2923 9 10000 1 0 0 0 2672 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.663 2.781 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 12629 hl-extractinstructions.txt 20170523_145520 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_4
20170523_145510 50 1 1 10 100000 117661523 2880 10000 7120 0 0 2880 9 10000 1 0 0 0 2642 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.576 2.796 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 12629 hl-extractinstructions.txt 20170523_145522 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_5
20170523_145512 50 1 1 10 100000 105731136 2882 10000 7118 0 0 2882 9 10000 1 0 0 0 2654 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.661 2.875 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 12629 hl-extractinstructions.txt 20170523_145523 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_6
20170523_145513 50 1 1 10 100000 967561224 2890 10000 7110 0 0 2890 9 10000 1 0 0 0 2645 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.639 2.89 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed967561224.log 12627 hl-extractinstructions.txt 20170523_145524 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_7
20170523_145514 50 1 1 10 100000 420477893 3003 10000 6997 0 0 3003 9 10000 1 0 0 0 2710 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.606 2.922 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed420477893.log 12629 hl-extractinstructions.txt 20170523_145526 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_8
20170523_145516 50 1 1 10 100000 263688301 2912 10000 7088 0 0 2912 9 10000 1 0 0 0 2646 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.315 2.609 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed263688301.log 12629 hl-extractinstructions.txt 20170523_145527 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_9
20170523_145517 50 1 1 10 100000 50746969 2884 10000 7116 0 0 2884 9 10000 1 0 0 0 2620 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.158 2.484 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed50746969.log 12628 hl-extractinstructions.txt 20170523_145528 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_10
20170523_145528 50 1 1 10 100000 533657980 2954 10000 7046 0 0 2954 9 10000 1 0 0 0 2729 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.325 2.594 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed533657980.log 12630 hl-extractinstructions.txt 20170523_145539 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_11
20170523_145529 50 1 1 10 100000 711283608 2916 10000 7084 0 0 2916 9 10000 1 0 0 0 2650 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.255 2.547 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed711283608.log 12630 hl-extractinstructions.txt 20170523_145540 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_12
20170523_145530 50 1 1 10 100000 597296547 2945 10000 7055 0 0 2945 9 10000 1 0 0 0 2682 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.139 2.485 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed597296547.log 12630 hl-extractinstructions.txt 20170523_145542 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_13
20170523_145543 50 1 1 10 100000 664375964 2953 10000 7047 0 0 2953 9 10000 1 0 0 0 2709 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.674 2.859 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed664375964.log 12630 hl-extractinstructions.txt 20170523_145554 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_14
20170523_145543 50 1 1 10 100000 258760793 3015 10000 6985 0 0 3015 9 10000 1 0 0 0 2745 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.953 3.094 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed258760793.log 12630 hl-extractinstructions.txt 20170523_145555 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_15
20170523_145544 50 1 1 10 100000 666549275 2961 10000 7039 0 0 2961 9 10000 1 0 0 0 2709 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.990 3.141 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed666549275.log 12630 hl-extractinstructions.txt 20170523_145556 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_16
20170523_145545 50 1 1 10 100000 376517787 2986 10000 7014 0 0 2986 9 10000 1 0 0 0 2759 0 0 0 0 0 0 0 0 0 0 2 0 0 0 4.185 3.328 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed376517787.log 12630 hl-extractinstructions.txt 20170523_145557 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_17
20170523_145547 50 1 1 10 100000 817713633 2942 10000 7058 0 0 2942 9 10000 1 0 0 0 2694 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.906 3.047 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed817713633.log 12630 hl-extractinstructions.txt 20170523_145558 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_18
20170523_145548 50 1 1 10 100000 519606501 2968 10000 7032 0 0 2968 9 10000 1 0 0 0 2696 0 0 0 0 0 0 0 0 0 0 2 0 0 0 3.667 2.875 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed519606501.log 12630 hl-extractinstructions.txt 20170523_145600 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 88291c73b17681e60d5af7a20f51b61e97f8f623_19
