timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20170317_135045 50 1 1 10 100000 919028296 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 50 10000 1 2 2 1.692 0.968 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_seed919028296.log 12975 hl-extractinstructions.txt 20170317_135055 0.5 4a0b380fba78e48097837144b05ca447fc9acd1b_1
20170317_135047 50 1 1 10 100000 103765041 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 50 10000 1 2 1 1.865 1.25 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_seed103765041.log 12983 hl-extractinstructions.txt 20170317_135057 0.5 4a0b380fba78e48097837144b05ca447fc9acd1b_2
20170317_135050 50 1 1 10 100000 141246882 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 50 10000 1 2 2 2.898 2.219 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_seed141246882.log 12982 hl-extractinstructions.txt 20170317_135100 0.5 4a0b380fba78e48097837144b05ca447fc9acd1b_3
20170317_135052 50 1 1 10 100000 681028781 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 50 10000 1 2 4 1.444 0.828 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_seed681028781.log 12993 hl-extractinstructions.txt 20170317_135101 0.5 4a0b380fba78e48097837144b05ca447fc9acd1b_4
20170317_135054 50 1 1 10 100000 117661523 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 50 10000 1 2 2 3.359 2.656 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_seed117661523.log 12959 hl-extractinstructions.txt 20170317_135105 0.5 4a0b380fba78e48097837144b05ca447fc9acd1b_5
20170317_135057 50 1 1 10 100000 105731136 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 50 10000 1 2 3 1.694 1.015 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_seed105731136.log 12976 hl-extractinstructions.txt 20170317_135106 0.5 4a0b380fba78e48097837144b05ca447fc9acd1b_6
20170317_135058 50 1 1 10 100000 967561224 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 50 10000 1 2 2 2.826 2.109 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_seed967561224.log 12981 hl-extractinstructions.txt 20170317_135109 0.5 4a0b380fba78e48097837144b05ca447fc9acd1b_7
20170317_135101 50 1 1 10 100000 420477893 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 50 10000 1 2 5 1.470 0.781 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_seed420477893.log 12970 hl-extractinstructions.txt 20170317_135110 0.5 4a0b380fba78e48097837144b05ca447fc9acd1b_8
20170317_135103 50 1 1 10 100000 263688301 2907 10000 7093 0 0 2907 9 10000 1 0 0 0 2638 0 0 0 0 0 100000 20000 50 10000 1 2 4 3.032 2.344 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_seed263688301.log 12960 hl-extractinstructions.txt 20170317_135114 0.5 4a0b380fba78e48097837144b05ca447fc9acd1b_9
20170317_135105 50 1 1 10 100000 50746969 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 50 10000 1 2 2 1.734 1.046 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_seed50746969.log 13001 hl-extractinstructions.txt 20170317_135114 0.5 4a0b380fba78e48097837144b05ca447fc9acd1b_10
20170317_135108 50 1 1 10 100000 533657980 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 50 10000 1 2 4 1.407 0.75 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_seed533657980.log 12990 hl-extractinstructions.txt 20170317_135116 0.5 4a0b380fba78e48097837144b05ca447fc9acd1b_11
20170317_135120 50 1 1 10 100000 711283608 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 50 10000 1 2 3 1.430 0.75 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m10000_seed711283608.log 12936 hl-extractinstructions.txt 20170317_135129 0.5 4a0b380fba78e48097837144b05ca447fc9acd1b_12
