timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20170318_154600 50 1 1 10 100000 919028296 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 3 2.185 1.36 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed919028296.log 12979 hl-extractinstructions.txt 20170318_154610 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_1
20170318_154602 50 1 1 10 100000 103765041 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 2 2.083 1.422 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed103765041.log 12987 hl-extractinstructions.txt 20170318_154612 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_2
20170318_154604 50 1 1 10 100000 141246882 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 1 2.828 2.219 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed141246882.log 12982 hl-extractinstructions.txt 20170318_154614 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_3
20170318_154606 50 1 1 10 100000 681028781 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 1 1.870 1.218 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed681028781.log 13001 hl-extractinstructions.txt 20170318_154616 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_4
20170318_154608 50 1 1 10 100000 117661523 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 3 2.087 1.469 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed117661523.log 12957 hl-extractinstructions.txt 20170318_154618 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_5
20170318_154611 50 1 1 10 100000 105731136 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 1 1.678 1.094 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed105731136.log 12972 hl-extractinstructions.txt 20170318_154620 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_6
20170318_154613 50 1 1 10 100000 967561224 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 2 2.863 2.141 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed967561224.log 12985 hl-extractinstructions.txt 20170318_154624 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_7
20170318_154615 50 1 1 10 100000 420477893 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 2 1.999 1.328 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed420477893.log 12975 hl-extractinstructions.txt 20170318_154625 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_8
20170318_154617 50 1 1 10 100000 263688301 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 3 3.341 2.734 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed263688301.log 12976 hl-extractinstructions.txt 20170318_154628 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_9
20170318_154620 50 1 1 10 100000 50746969 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 4 1.755 1.063 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed50746969.log 12997 hl-extractinstructions.txt 20170318_154629 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_10
20170318_154622 50 1 1 10 100000 533657980 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 3 1.398 0.797 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed533657980.log 12992 hl-extractinstructions.txt 20170318_154631 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_11
