copies	lifem	loss-a0	losspct-a0	loss-ay	losspct-ay	loss-aq	losspct-aq
1	3	8094	80.9	8128	81.3	8128	81.3
1	5	6296	63.0	6324	63.2	6324	63.2
1	10	3911	39.1	3932	39.3	3932	39.3
1	20	2217	22.2	2216	22.2	2216	22.2
1	30	1539	15.4	1551	15.5	1551	15.5
1	50	939	9.4	950	9.5	950	9.5
1	100	479	4.8	487	4.9	487	4.9
1	200	244	2.4	243	2.4	243	2.4
1	300	162	1.6	168	1.7	168	1.7
1	500	97	1.0	104	1.0	104	1.0
1	1000	47	0.5	50	0.5	50	0.5
2	3	6572	65.7	2114	21.1	672	6.7
2	5	3980	39.8	889	8.9	248	2.5
2	10	1533	15.3	241	2.4	62	0.6
2	20	480	4.8	65	0.7	16	0.2
2	30	236	2.4	29	0.3	6	0.1
2	50	88	0.9	11	0.1	3	0.0
2	100	20	0.2	3	0.0	1	0.0
2	200	4	0.0	1	0.0	0	0.0
2	300	2	0.0	0	0.0	0	0.0
2	500	1	0.0	0	0.0	0	0.0
2	1000	0	0.0	0	0.0	0	0.0
3	3	5326	53.3	355	3.6	29	0.3
3	5	2525	25.3	90	0.9	5	0.1
3	10	614	6.1	11	0.1	1	0.0
3	20	110	1.1	1	0.0	0	0.0
3	30	35	0.4	1	0.0	0	0.0
3	50	7	0.1	0	0.0	0	0.0
3	100	1	0.0	0	0.0	0	0.0
3	200	0	0.0	0	0.0	0	0.0
3	300	0	0.0	0	0.0	0	0.0
3	500	0	0.0	0	0.0	0	0.0
3	1000	0	0.0	0	0.0	0	0.0
4	3	4327	43.3	56	0.6	1	0.0
4	5	1598	16.0	7	0.1	0	0.0
4	10	241	2.4	1	0.0	0	0.0
4	20	24	0.2	0	0.0	0	0.0
4	30	5	0.1	0	0.0	0	0.0
4	50	1	0.0	0	0.0	0	0.0
4	100	0	0.0	0	0.0	0	0.0
4	200	0	0.0	0	0.0	0	0.0
4	300	0	0.0	0	0.0	0	0.0
4	500	0	0.0	0	0.0	0	0.0
4	1000	0	0.0	0	0.0	0	0.0
5	3	3506	35.1	9	0.1	0	0.0
5	5	1009	10.1	1	0.0	0	0.0
5	10	94	0.9	0	0.0	0	0.0
5	20	4	0.0	0	0.0	0	0.0
5	30	1	0.0	0	0.0	0	0.0
5	50	0	0.0	0	0.0	0	0.0
5	100	0	0.0	0	0.0	0	0.0
5	200	0	0.0	0	0.0	0	0.0
5	300	0	0.0	0	0.0	0	0.0
5	500	0	0.0	0	0.0	0	0.0
5	1000	0	0.0	0	0.0	0	0.0
8	3	1869	18.7	0	0.0	0	0.0
8	5	247	2.5	0	0.0	0	0.0
8	10	4	0.0	0	0.0	0	0.0
8	20	0	0.0	0	0.0	0	0.0
8	30	0	0.0	0	0.0	0	0.0
8	50	0	0.0	0	0.0	0	0.0
8	100	0	0.0	0	0.0	0	0.0
8	200	0	0.0	0	0.0	0	0.0
8	300	0	0.0	0	0.0	0	0.0
8	500	0	0.0	0	0.0	0	0.0
8	1000	0	0.0	0	0.0	0	0.0
