shocktest01 ShockTest HL copies=var Audit=yr Glitch=0 Shock=var lifem=var seed21 
(test of summ-shock.r) 

Input data from  ../hl/data/GiantOutput_test_cvar_lifvar_shvar_af10000s1_01.txt 
Output analysis into  ../hl/tabs/shocktest_Giant_AuditYr_copvar_shockvar_glitch0_lifvar-seed21_analysis_20170317_01.txt 

analysis tables by  ./ShelfAnalyze.r 
and summarize script ./summ-shock.r 
 at  20170316_232151 EDT 

Summary losses (midmeans)
   shockfreq impact span maxlife lifem    c1   c2    c3     c4   c5 c8
1      20000     50    3   10000    10 10000 4413 368.1 105.36 3.00  0
2      20000     50    3   10000    20 10000 2377 247.6   4.27 0.09  0
3      20000     50    3   10000    30 10000 3021 140.1   2.73 0.00  0
4      20000     50    3   10000    50 10000  229  60.7   0.09 0.00  0
5      20000     50    3   10000   100 10000  100  42.9   0.18 0.00  0
6      20000     50    3   10000   200 10000 4575  20.1   0.00 0.00  0
7      20000     50    3   10000   300 10000 2757   9.3   0.00 0.00  0
8      20000     50    3   10000   500 10000 3657   8.4   0.00 0.00  0
9      20000     50    3   10000  1000 10000 1829   4.5   0.00 0.00  0
10     20000    100    1   10000    10  5855    0   0.0   0.00 0.00  0
11     20000    100    1   10000    20 10000 5435   0.0   0.00 0.00  0
12     20000    100    1   10000    30 10000 5279   0.0   0.00 0.00  0
13     20000    100    1   10000    50 10000 5172   0.0   0.00 0.00  0
14     20000    100    1   10000   100 10000 5090   0.0   0.00 0.00  0
15     20000    100    1   10000   200 10000 5038   0.0   0.00 0.00  0
16     20000    100    1   10000   300 10000 5028   0.0   0.00 0.00  0
17     20000    100    1   10000   500 10000 5020   0.0   0.00 0.00  0
18     20000    100    1   10000  1000 10000 5008   0.0   0.00 0.00  0
19     20000    100    3   10000    10 10000 5855   0.0   0.00 0.00  0
20     20000    100    3   10000    20 10000 5435   0.0   0.00 0.00  0
21     20000    100    3   10000    30 10000 5279   0.0   0.00 0.00  0
22     20000    100    3   10000    50 10000 5172   0.0   0.00 0.00  0
23     20000    100    3   10000   100 10000 5090   0.0   0.00 0.00  0
24     20000    100    3   10000   200 10000 5038   0.0   0.00 0.00  0
25     20000    100    3   10000   300 10000 5028   0.0   0.00 0.00  0
26     20000    100    3   10000   500 10000 5020   0.0   0.00 0.00  0
27     20000    100    3   10000  1000 10000 5008   0.0   0.00 0.00  0
28     30000     50    3   10000    10 10000 2845 318.0  13.91 3.45  0
29     30000     50    3   10000    20 10000 3961 210.0   2.27 0.00  0
30     30000     50    3   10000    30 10000 3856 102.4   1.91 0.00  0
31     30000     50    3   10000    50 10000  235  38.0   0.27 0.00  0
32     30000     50    3   10000   100 10000  115  45.6   0.00 0.00  0
33     30000     50    3   10000   200 10000   49  11.0   0.00 0.00  0
34     30000     50    3   10000   300 10000 1851  11.6   0.00 0.00  0
35     30000     50    3   10000   500 10000 2744   4.3   0.00 0.00  0
36     30000     50    3   10000  1000 10000 2735   4.4   0.00 0.00  0
37     50000     50    3   20000    10 10000 3581 159.0   8.55 0.09  0
38     50000     50    3   20000    20 10000  505 109.0   2.45 0.09  0
39     50000     50    3   20000    30 10000 1238  73.1   0.36 0.00  0
40     50000     50    3   20000    50 10000 1096  49.3   0.00 0.00  0
41     50000     50    3   20000   100 10000 2818  14.4   0.00 0.00  0
42     50000     50    3   20000   200 10000  956   8.1   0.00 0.00  0
43     50000     50    3   20000   300 10000  944  10.6   0.00 0.00  0
44     50000     50    3   20000   500 10000   20   3.0   0.00 0.00  0
45     50000     50    3   20000  1000 10000 1828   1.4   0.00 0.00  0
46    100000    100    3   10000    10 10000  885  32.2   8.20 0.00  0
47    100000    100    3   10000    20 10000  435   7.8   1.60 0.00  0
48    100000    100    3   10000    30 10000  287   3.8   0.80 0.00  0
49    100000    100    3   10000    50 10000  172   1.5   0.20 0.00  0
50    100000    100    3   10000   100 10000   90   0.5   0.00 0.00  0
51    100000    100    3   10000   200 10000   42   0.0   0.00 0.00  0
52    100000    100    3   10000   300 10000   28   0.0   0.00 0.00  0
53    100000    100    3   10000   500 10000   19   0.2   0.00 0.00  0
54    100000    100    3   10000  1000 10000    9   0.0   0.00 0.00  0

Summary losses (medians)
   shockfreq impact span maxlife lifem    c1   c2    c3 c4 c5 c8
1      20000     50    3   10000    10 10000 1625 371.0 22  1  0
2      20000     50    3   10000    20 10000  716 202.0  3  0  0
3      20000     50    3   10000    30 10000  466 119.0  3  0  0
4      20000     50    3   10000    50 10000  247  64.0  0  0  0
5      20000     50    3   10000   100 10000   99  37.0  0  0  0
6      20000     50    3   10000   200 10000   76  19.0  0  0  0
7      20000     50    3   10000   300 10000   47  10.0  0  0  0
8      20000     50    3   10000   500 10000   40   7.0  0  0  0
9      20000     50    3   10000  1000 10000   14   4.0  0  0  0
10     20000    100    1   10000    10  5855    0   0.0  0  0  0
11     20000    100    1   10000    20 10000 5435   0.0  0  0  0
12     20000    100    1   10000    30 10000 5279   0.0  0  0  0
13     20000    100    1   10000    50 10000 5172   0.0  0  0  0
14     20000    100    1   10000   100 10000 5090   0.0  0  0  0
15     20000    100    1   10000   200 10000 5038   0.0  0  0  0
16     20000    100    1   10000   300 10000 5028   0.0  0  0  0
17     20000    100    1   10000   500 10000 5020   0.0  0  0  0
18     20000    100    1   10000  1000 10000 5008   0.0  0  0  0
19     20000    100    3   10000    10 10000 5855   0.0  0  0  0
20     20000    100    3   10000    20 10000 5435   0.0  0  0  0
21     20000    100    3   10000    30 10000 5279   0.0  0  0  0
22     20000    100    3   10000    50 10000 5172   0.0  0  0  0
23     20000    100    3   10000   100 10000 5090   0.0  0  0  0
24     20000    100    3   10000   200 10000 5038   0.0  0  0  0
