shocktest HL copies=var Audit=1yr Glitch=0 Shock=5yr len=var lifem=var seed21 
(impact=50,100pct len=var) 

Input data from  ../hl/data/GiantOutput_shock5yr_lenvar_00.txt 
Output analysis into  ../hl/tabs/shocktest_freq5yr_lenvar_seed21_analysis_20170320_00.txt 

analysis tables by  ./ShelfAnalyze.r 
and summarize script ./summ-shock.r 
 at  20170324_112942 EDT 

Summary losses (midmeans)
   shockfreq impact span maxlife lifem    c2      c3     c4    c5 c8 c1
1      50000     50    1   10000    10   824    65.5   4.73  0.00  0  0
2      50000     50    1   10000    20   377    51.8   0.73  0.00  0  0
3      50000     50    1   10000    30   245    13.4   0.09  0.00  0  0
4      50000     50    1   10000    50   156    12.1   0.00  0.00  0  0
5      50000     50    1   10000   100    80     2.5   0.00  0.00  0  0
6      50000     50    1   10000   200    37     1.1   0.00  0.00  0  0
7      50000     50    1   10000   300    28     2.4   0.00  0.00  0  0
8      50000     50    1   10000   500    16     1.1   0.00  0.00  0  0
9      50000     50    1   10000  1000     9     0.2   0.00  0.00  0  0
10     50000     50    1   20000    10   851   182.3   4.27  0.00  0  0
11     50000     50    1   20000    20   363    23.8   1.18  0.00  0  0
12     50000     50    1   20000    30   273    12.6   0.18  0.00  0  0
13     50000     50    1   20000    50   148    13.0   0.00  0.00  0  0
14     50000     50    1   20000   100    83     2.3   0.00  0.00  0  0
15     50000     50    1   20000   200    39     0.0   0.00  0.00  0  0
16     50000     50    1   20000   300    28     1.7   0.00  0.00  0  0
17     50000     50    1   20000   500    16     0.6   0.00  0.00  0  0
18     50000     50    1   20000  1000     8     0.0   0.00  0.00  0  0
19     50000     50    2   10000    10  3587   178.7   6.64  0.00  0  0
20     50000     50    2   10000    20   435    37.9   0.82  0.00  0  0
21     50000     50    2   10000    30   336    42.7   0.27  0.00  0  0
22     50000     50    2   10000    50  1088    24.8   0.00  0.00  0  0
23     50000     50    2   10000   100  1914     4.7   0.00  0.00  0  0
24     50000     50    2   10000   200    52     3.6   0.00  0.00  0  0
25     50000     50    2   10000   300    32     2.4   0.00  0.00  0  0
26     50000     50    2   10000   500    20     2.7   0.00  0.00  0  0
27     50000     50    2   10000  1000  1829     0.8   0.00  0.00  0  0
28     50000     50    2   20000    10  3581   207.2   7.00  0.09  0  0
29     50000     50    2   20000    20   505    66.8   0.91  0.00  0  0
30     50000     50    2   20000    30  1238    33.3   0.18  0.00  0  0
31     50000     50    2   20000    50  1096    13.0   0.00  0.00  0  0
32     50000     50    2   20000   100  2818     2.5   0.00  0.00  0  0
33     50000     50    2   20000   200   956     4.0   0.00  0.00  0  0
34     50000     50    2   20000   300   944     1.6   0.00  0.00  0  0
35     50000     50    2   20000   500    20     1.3   0.00  0.00  0  0
36     50000     50    2   20000  1000  1828     0.4   0.00  0.00  0  0
37     50000     50    3   10000    10  3587   164.6   8.18  0.45  0  0
38     50000     50    3   10000    20   435   111.3   2.27  0.00  0  0
39     50000     50    3   10000    30   336    50.9   0.27  0.00  0  0
40     50000     50    3   10000    50  1088    41.3   0.09  0.00  0  0
41     50000     50    3   10000   100  1914    13.4   0.00  0.00  0  0
42     50000     50    3   10000   200    52    11.1   0.00  0.00  0  0
43     50000     50    3   10000   300    32    10.9   0.00  0.00  0  0
