shocktest Q3-NOT-HL copies=var Audit=var Glitch=0 Shock=0 lifem=var seedXXX 
(test of summ-shock.r unchanged from audit but with line breaks) 

Input data from  ../hl/data/test/big-q3-afvar.txt 
Output analysis into  ../hl/tabs/shocktest_q3_combined_AuditVar_copvar_shock0_glitch0_lifvar-seed21_analysis_20170316_00.txt 

analysis tables by  ./ShelfAnalyze.r 
and summarize script ./summ-shock.r 
 at  20170316_194603 EDT 

Summary losses (midmeans)
   auditfreq auditseg lifem   c1     c2    c3   c4  c5 c8
1       1000        1     3 8128  274.1   2.9  0.0 0.0  0
2       1000        1     5 6324  105.1   0.7  0.0 0.0  0
3       1000        1    10 3932   26.7   0.0  0.0 0.0  0
4       1000        1    20 2216    6.4   0.0  0.0 0.0  0
5       1000        1    30 1551    2.9   0.0  0.0 0.0  0
6       1000        1    50  950    0.4   0.0  0.0 0.0  0
7       1000        1   100  487    0.3   0.0  0.0 0.0  0
8       1000        1   200  243    0.0   0.0  0.0 0.0  0
9       1000        1   300  168    0.0   0.0  0.0 0.0  0
10      1000        1   500  104    0.0   0.0  0.0 0.0  0
11      1000        1  1000   50    0.0   0.0  0.0 0.0  0
12      1000        1  2000   25    0.0   0.0  0.0 0.0  0
13      2500        1     3 8128  671.7  28.6  0.9 0.0  0
14      2500        1     5 6324  247.6   5.1  0.0 0.0  0
15      2500        1    10 3932   61.7   0.4  0.0 0.0  0
16      2500        1    20 2216   16.4   0.0  0.0 0.0  0
17      2500        1    30 1551    6.0   0.0  0.0 0.0  0
18      2500        1    50  950    2.7   0.0  0.0 0.0  0
19      2500        1   100  487    1.0   0.0  0.0 0.0  0
20      2500        1   200  243    0.0   0.0  0.0 0.0  0
21      2500        1   300  168    0.0   0.0  0.0 0.0  0
22      2500        1   500  104    0.0   0.0  0.0 0.0  0
23      2500        1  1000   50    0.0   0.0  0.0 0.0  0
24      2500        1  2000   25    0.0   0.0  0.0 0.0  0
25     10000        1     3 8128 2114.1 355.0 56.0 8.6  0
26     10000        1     5 6324  888.6  90.1  7.1 0.7  0
27     10000        1    10 3932  241.0  10.6  0.4 0.0  0
28     10000        1    20 2216   64.6   0.9  0.0 0.0  0
29     10000        1    30 1551   29.4   0.3  0.0 0.0  0
30     10000        1    50  950   11.0   0.0  0.0 0.0  0
31     10000        1   100  487    3.0   0.0  0.0 0.0  0
32     10000        1   200  243    0.9   0.0  0.0 0.0  0
33     10000        1   300  168    0.0   0.0  0.0 0.0  0
34     10000        1   500  104    0.0   0.0  0.0 0.0  0
35     10000        1  1000   50    0.0   0.0  0.0 0.0  0
36     10000        1  2000   25    0.0   0.0  0.0 0.0  0

Summary losses (medians)
   auditfreq auditseg lifem   c1   c2  c3 c4 c5 c8
1       1000        1     3 8126  273   3  0  0  0
2       1000        1     5 6331  106   1  0  0  0
3       1000        1    10 3947   27   0  0  0  0
4       1000        1    20 2215    7   0  0  0  0
5       1000        1    30 1546    3   0  0  0  0
6       1000        1    50  946    0   0  0  0  0
7       1000        1   100  486    0   0  0  0  0
8       1000        1   200  246    0   0  0  0  0
9       1000        1   300  171    0   0  0  0  0
10      1000        1   500  105    0   0  0  0  0
11      1000        1  1000   50    0   0  0  0  0
12      1000        1  2000   25    0   0  0  0  0
13      2500        1     3 8126  673  28  1  0  0
14      2500        1     5 6331  251   5  0  0  0
15      2500        1    10 3947   61   0  0  0  0
16      2500        1    20 2215   16   0  0  0  0
17      2500        1    30 1546    6   0  0  0  0
18      2500        1    50  946    3   0  0  0  0
19      2500        1   100  486    1   0  0  0  0
20      2500        1   200  246    0   0  0  0  0
21      2500        1   300  171    0   0  0  0  0
22      2500        1   500  105    0   0  0  0  0
23      2500        1  1000   50    0   0  0  0  0
24      2500        1  2000   25    0   0  0  0  0
25     10000        1     3 8126 2123 350 56  8  0
26     10000        1     5 6331  882  92  6  1  0
27     10000        1    10 3947  242  11  0  0  0
28     10000        1    20 2215   63   1  0  0  0
29     10000        1    30 1546   29   0  0  0  0
30     10000        1    50  946   11   0  0  0  0
31     10000        1   100  486    3   0  0  0  0
32     10000        1   200  246    1   0  0  0  0
33     10000        1   300  171    0   0  0  0  0
34     10000        1   500  105    0   0  0  0  0
35     10000        1  1000   50    0   0  0  0  0
36     10000        1  2000   25    0   0  0  0  0

Summary losses (trimeans)
   auditfreq auditseg lifem   c1     c2    c3   c4  c5 c8
1       1000        1     3 8127  273.6   2.9  0.0 0.0  0
2       1000        1     5 6326  105.2   0.9  0.0 0.0  0
3       1000        1    10 3937   26.9   0.0  0.0 0.0  0
4       1000        1    20 2215    6.6   0.0  0.0 0.0  0
5       1000        1    30 1549    3.0   0.0  0.0 0.0  0
6       1000        1    50  949    0.2   0.0  0.0 0.0  0
7       1000        1   100  488    0.2   0.0  0.0 0.0  0
8       1000        1   200  244    0.0   0.0  0.0 0.0  0
9       1000        1   300  169    0.0   0.0  0.0 0.0  0
10      1000        1   500  104    0.0   0.0  0.0 0.0  0
11      1000        1  1000   50    0.0   0.0  0.0 0.0  0
12      1000        1  2000   25    0.0   0.0  0.0 0.0  0
