timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20170420_175715 50 1 1 10 100000 103765041 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 3333 33 0 1000 13 100000 0 0 0 0 2 0 2.864 2.094 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed103765041.log 12975 hl-extractinstructions.txt 20170420_175726 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_2
20170420_175715 50 1 1 10 100000 919028296 3125 10000 6875 0 0 3125 9 10000 1 0 0 0 2871 3333 33 0 1000 23 100000 0 0 0 0 2 0 4.245 3.061 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed919028296.log 12958 hl-extractinstructions.txt 20170420_175727 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_1
20170420_175717 50 1 1 10 100000 141246882 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 3333 33 0 1000 20 100000 0 0 0 0 2 0 4.125 3.249 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed141246882.log 12973 hl-extractinstructions.txt 20170420_175729 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_3
20170420_175718 50 1 1 10 100000 681028781 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 3333 33 0 1000 7 100000 0 0 0 0 2 0 2.693 1.719 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed681028781.log 12989 hl-extractinstructions.txt 20170420_175728 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_4
20170420_175721 50 1 1 10 100000 105731136 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 3333 33 0 1000 2 100000 0 0 0 0 2 0 2.081 1.25 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed105731136.log 12958 hl-extractinstructions.txt 20170420_175730 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_6
20170420_175719 50 1 1 10 100000 117661523 3108 10000 6892 0 0 3108 9 10000 1 0 0 0 2829 3333 33 0 1000 22 100000 0 0 0 0 2 0 4.345 3.249 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed117661523.log 12934 hl-extractinstructions.txt 20170420_175731 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_5
20170420_175722 50 1 1 10 100000 967561224 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 3333 33 0 1000 13 100000 0 0 0 0 2 0 3.561 2.719 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed967561224.log 12972 hl-extractinstructions.txt 20170420_175734 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_7
20170420_175723 50 1 1 10 100000 420477893 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 3333 33 0 1000 8 100000 0 0 0 0 2 0 2.327 1.516 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed420477893.log 12965 hl-extractinstructions.txt 20170420_175734 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_8
20170420_175725 50 1 1 10 100000 50746969 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 3333 33 0 1000 6 100000 0 0 0 0 2 0 1.879 1.094 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed50746969.log 12985 hl-extractinstructions.txt 20170420_175735 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_10
20170420_175724 50 1 1 10 100000 263688301 3062 10000 6938 0 0 3062 9 10000 1 0 0 0 2802 3333 33 0 1000 22 100000 0 0 0 0 2 0 3.410 2.625 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed263688301.log 12951 hl-extractinstructions.txt 20170420_175736 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_9
20170420_175737 50 1 1 10 100000 533657980 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 3333 33 0 1000 2 100000 0 0 0 0 2 0 1.374 0.766 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed533657980.log 12980 hl-extractinstructions.txt 20170420_175746 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_11
20170420_175738 50 1 1 10 100000 711283608 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 3333 33 0 1000 4 100000 0 0 0 0 2 0 1.439 0.781 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed711283608.log 12926 hl-extractinstructions.txt 20170420_175747 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_12
20170420_175751 50 1 1 10 100000 597296547 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 3333 33 0 1000 14 100000 0 0 0 0 2 0 3.284 2.422 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed597296547.log 13001 hl-extractinstructions.txt 20170420_175802 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_13
20170420_175753 50 1 1 10 100000 258760793 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 3333 33 0 1000 3 100000 0 0 0 0 2 0 2.438 1.531 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed258760793.log 12967 hl-extractinstructions.txt 20170420_175803 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_15
20170420_175752 50 1 1 10 100000 664375964 3159 10000 6841 0 0 3159 9 10000 1 0 0 0 2900 3333 33 0 1000 20 100000 0 0 0 0 2 0 4.583 3.344 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed664375964.log 12927 hl-extractinstructions.txt 20170420_175804 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_14
20170420_175754 50 1 1 10 100000 666549275 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 3333 33 0 1000 14 100000 0 0 0 0 2 0 3.881 2.813 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed666549275.log 12991 hl-extractinstructions.txt 20170420_175806 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_16
20170420_175755 50 1 1 10 100000 376517787 3129 10000 6871 0 0 3129 9 10000 1 0 0 0 2902 3333 33 0 1000 24 100000 0 0 0 0 2 0 3.946 2.968 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed376517787.log 12971 hl-extractinstructions.txt 20170420_175807 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_17
20170420_175756 50 1 1 10 100000 817713633 3036 10000 6964 0 0 3036 9 10000 1 0 0 0 2785 3333 33 0 1000 15 100000 0 0 0 0 2 0 4.226 3.0 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf3333i33d0m1000_sh0i0s0m0_seed817713633.log 12948 hl-extractinstructions.txt 20170420_175809 0.5 20bb461cc3c05a0a4cdc68e99e418f5097f57649_18
