timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20170612_213918 50 1 1 10 100000 919028296 2936 10000 7064 0 0 2936 9 10000 1 0 0 0 2696 0 0 0 0 0 100000 10000 20 5000 1 2 5 0 20 2.543 2.097998 ../hl/shock/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s1m5000_sdl100000_seed919028296.log 12975 hl-extractinstructions.txt 20170612_213927 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 3c0f975bf6f620cb37a4849201e9bb2627627146_1
20170612_213919 50 1 1 10 100000 103765041 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 1 2 5 1 22 1.891 1.44393 ../hl/shock/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s1m5000_sdl100000_seed103765041.log 12991 hl-extractinstructions.txt 20170612_213928 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 3c0f975bf6f620cb37a4849201e9bb2627627146_2
20170612_213920 50 1 1 10 100000 141246882 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 1 2 7 1 22 2.490 2.032613 ../hl/shock/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s1m5000_sdl100000_seed141246882.log 12994 hl-extractinstructions.txt 20170612_213929 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 3c0f975bf6f620cb37a4849201e9bb2627627146_3
20170612_213921 50 1 1 10 100000 681028781 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 1 2 7 1 25 1.496 1.043289 ../hl/shock/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s1m5000_sdl100000_seed681028781.log 13007 hl-extractinstructions.txt 20170612_213929 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 3c0f975bf6f620cb37a4849201e9bb2627627146_4
20170612_213923 50 1 1 10 100000 105731136 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 1 2 7 1 21 1.288 0.838297 ../hl/shock/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s1m5000_sdl100000_seed105731136.log 12980 hl-extractinstructions.txt 20170612_213931 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 3c0f975bf6f620cb37a4849201e9bb2627627146_6
20170612_213922 50 1 1 10 100000 117661523 2864 10000 7136 0 0 2864 9 10000 1 0 0 0 2642 0 0 0 0 0 100000 10000 20 5000 1 2 7 0 16 2.537 2.092923 ../hl/shock/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s1m5000_sdl100000_seed117661523.log 12951 hl-extractinstructions.txt 20170612_213932 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 3c0f975bf6f620cb37a4849201e9bb2627627146_5
20170612_213924 50 1 1 10 100000 967561224 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 1 2 8 1 21 1.504 1.050704 ../hl/shock/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s1m5000_sdl100000_seed967561224.log 12989 hl-extractinstructions.txt 20170612_213933 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 3c0f975bf6f620cb37a4849201e9bb2627627146_7
20170612_213925 50 1 1 10 100000 420477893 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 1 2 6 1 21 1.055 0.600171 ../hl/shock/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s1m5000_sdl100000_seed420477893.log 12977 hl-extractinstructions.txt 20170612_213933 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 3c0f975bf6f620cb37a4849201e9bb2627627146_8
20170612_213926 50 1 1 10 100000 263688301 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 1 2 5 1 20 2.276 1.826224 ../hl/shock/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s1m5000_sdl100000_seed263688301.log 12984 hl-extractinstructions.txt 20170612_213936 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 3c0f975bf6f620cb37a4849201e9bb2627627146_9
20170612_213927 50 1 1 10 100000 50746969 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 1 2 5 1 26 1.241 0.790698 ../hl/shock/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s1m5000_sdl100000_seed50746969.log 13004 hl-extractinstructions.txt 20170612_213936 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.344 3c0f975bf6f620cb37a4849201e9bb2627627146_10
