file	type	total	code	comment	blank	short
../../PreservationSimulation/shelf/audit2.py	python	1023	390	547	86	0
../../PreservationSimulation/shelf/bottle.py	python	3750	2361	806	583	0
../../PreservationSimulation/shelf/broker.py	python	669	317	270	82	0
../../PreservationSimulation/shelf/brokercli.py	python	279	220	20	39	0
../../PreservationSimulation/shelf/brokerformat.py	python	135	67	57	11	0
../../PreservationSimulation/shelf/brokergetcores.py	python	67	36	17	14	0
../../PreservationSimulation/shelf/brokergroupform.py	python	90	30	35	25	0
../../PreservationSimulation/shelf/brokergroupform_main.py	python	288	108	142	38	0
../../PreservationSimulation/shelf/brokergroupform_setup.py	python	116	60	34	22	0
../../PreservationSimulation/shelf/brokergroup_makeform.py	python	71	42	19	10	0
../../PreservationSimulation/shelf/catchex.py	python	38	18	17	3	0
../../PreservationSimulation/shelf/client2.py	python	234	128	84	22	0
../../PreservationSimulation/shelf/cliparse.py	python	283	193	49	41	0
../../PreservationSimulation/shelf/collection.py	python	224	142	59	23	0
../../PreservationSimulation/shelf/command.py	python	154	74	55	25	0
../../PreservationSimulation/shelf/datacleanup.py	python	237	136	67	34	0
../../PreservationSimulation/shelf/dbclearcollection.py	python	87	44	28	15	0
../../PreservationSimulation/shelf/dbdeletedatabase.py	python	81	35	32	14	0
../../PreservationSimulation/shelf/dbdumpcollection.py	python	94	43	35	16	0
../../PreservationSimulation/shelf/dbdumpdonekeys.py	python	108	56	36	16	0
../../PreservationSimulation/shelf/dblistcollections.py	python	83	37	32	14	0
../../PreservationSimulation/shelf/dblistdatabases.py	python	21	7	12	2	0
../../PreservationSimulation/shelf/doccopy.py	python	74	44	14	16	0
../../PreservationSimulation/shelf/document.py	python	227	131	72	24	0
../../PreservationSimulation/shelf/dumpparams.py	python	115	67	34	14	0
../../PreservationSimulation/shelf/dumpuse.py	python	155	112	25	18	0
../../PreservationSimulation/shelf/extractcpuinfo.py	python	77	46	18	13	0
../../PreservationSimulation/shelf/extractvalues2.py	python	375	168	164	43	0
../../PreservationSimulation/shelf/fib.py	python	17	11	2	4	0
../../PreservationSimulation/shelf/filelock.py	python	82	39	30	13	0
../../PreservationSimulation/shelf/getcliargs.py	python	233	126	72	35	0
