Name,Quality,ShelfSize
Amazon East,        1,  10
Amazon West,        1,  10
Google Drive,       1,  10
OneDrive Vanilla,   1,  10
AWS Euro Vanilla,   1,  10
Amazon East Plus,   1,  10
Amazon West Plus,   1,  10
Google Drive Plus,  1,  10
OneDrive  Plus,     1,  10
AWS Euro  Plus,     1,  10
Amazon East Premium,    1,  10
Amazon West Premium,    1,  10
Google Drive Premium,   1,  10
OneDrive  Premium,      1,  10
AWS Euro  Premium,      1,  10
Amazon East Super Duper,1,10
Amazon West Super Duper,1,10
Google Drive Super Duper,1,10
OneDrive  Super Duper,1,10
AWS Euro  Super Duper,1,10
Amazon East Platinum,1,10
Amazon West Platinum,1,10
Google Drive Platinum,1,10
OneDrive  Platinum,1,10
AWS Euro  Platinum,1,10
Yet Another 1,1,10
Yet Another 2,1,10
Yet Another 3,1,10
Yet Another 4,1,10
Yet Another 5,1,10
Desperate Backup 01,1,10
Desperate Backup 02,1,10
Desperate Backup 03,1,10
Desperate Backup 04,1,10
Desperate Backup 05,1,10
Desperate Backup 06,1,10
Desperate Backup 07,1,10
Desperate Backup 08,1,10
Desperate Backup 09,1,10
Desperate Backup 10,1,10
Desperate Backup 11,1,10
Desperate Backup 12,1,10
Desperate Backup 13,1,10
Desperate Backup 14,1,10
Desperate Backup 15,1,10
Desperate Backup 16,1,10
Desperate Backup 17,1,10
Desperate Backup 18,1,10
Desperate Backup 19,1,10
Desperate Backup 20,1,10
Desperate Backup 21,1,10
Desperate Backup 22,1,10
Desperate Backup 23,1,10
Desperate Backup 24,1,10
Desperate Backup 25,1,10
Desperate Backup 26,1,10
Desperate Backup 27,1,10
Desperate Backup 28,1,10
Desperate Backup 29,1,10
Desperate Backup 30,1,10
Desperate Backup 31,1,10
Desperate Backup 32,1,10
Desperate Backup 33,1,10
Desperate Backup 34,1,10
Desperate Backup 35,1,10
Desperate Backup 36,1,10
Desperate Backup 37,1,10
Desperate Backup 38,1,10
Desperate Backup 39,1,10
Desperate Backup 40,1,10
Desperate Backup 41,1,10
Desperate Backup 42,1,10
Desperate Backup 43,1,10
Desperate Backup 44,1,10
Desperate Backup 45,1,10
Desperate Backup 46,1,10
Desperate Backup 47,1,10
Desperate Backup 48,1,10
Desperate Backup 49,1,10
Desperate Backup 50,1,10
Desperate Backup 51,1,10
Desperate Backup 52,1,10
Desperate Backup 53,1,10
Desperate Backup 54,1,10
Desperate Backup 55,1,10
Desperate Backup 56,1,10
Desperate Backup 57,1,10
Desperate Backup 58,1,10
Desperate Backup 59,1,10
Desperate Backup 60,1,10
Desperate Backup 61,1,10
Desperate Backup 62,1,10
Desperate Backup 63,1,10
Desperate Backup 64,1,10
Desperate Backup 65,1,10
Desperate Backup 66,1,10
Desperate Backup 67,1,10
Desperate Backup 68,1,10
Desperate Backup 69,1,10
Desperate Backup 70,1,10
