Name,Quality,ShelfSize
Amazon East,1,20000000
Amazon West,1,30000000
Google Drive,1,40000000
OneDrive Vanilla,1,20000000
AWS Euro Vanilla,1,30000000
Amazon East Plus,2,20000000
Amazon West Plus,2,30000000
Google Drive Plus,2,40000000
OneDrive  Plus,2,20000000
AWS Euro  Plus,2,30000000
Amazon East Premium,3,20000000
Amazon West Premium,3,30000000
Google Drive Premium,3,40000000
OneDrive  Premium,3,20000000
AWS Euro  Premium,3,30000000
Amazon East Super Duper,4,20000000
Amazon West Super Duper,4,30000000
Google Drive Super Duper,4,40000000
OneDrive  Super Duper,4,20000000
AWS Euro  Super Duper,4,30000000
Amazon East Platinum,5,20000000
Amazon West Platinum,5,30000000
Google Drive Platinum,5,40000000
OneDrive  Platinum,5,20000000
AWS Euro  Platinum,5,30000000
