nAuditFreq nAuditSegments sAuditType nDocSize nGlitchDecay nGlitchFreq nGlitchIgnorelevel nGlitchImpact nGlitchMaxlife nLifem nCopies nRandomseed nShelfSize nSimlen
0 1 TOTAL 5 0 0 5 20 0 3 1 001 1 100000
0 1 TOTAL 5 0 0 5 20 0 5 1 002 1 100000
0 1 TOTAL 5 0 0 5 20 0 10 1 003 1 100000
0 1 TOTAL 5 0 0 5 20 0 20 1 004 1 100000
0 1 TOTAL 5 0 0 5 20 0 30 1 005 1 100000
0 1 TOTAL 5 0 0 5 20 0 50 1 006 1 100000
0 1 TOTAL 5 0 0 5 20 0 100 1 007 1 100000
0 1 TOTAL 5 0 0 5 20 0 200 1 008 1 100000
0 1 TOTAL 5 0 0 5 20 0 300 1 009 1 100000
0 1 TOTAL 5 0 0 5 20 0 500 1 0010 1 100000
0 1 TOTAL 5 0 0 5 20 0 1000 1 0011 1 100000
0 1 TOTAL 5 0 0 5 20 0 2000 1 0012 1 100000
1000 1 TOTAL 5 0 0 5 20 0 3 2 001 1 100000
1000 1 TOTAL 5 0 0 5 20 0 5 2 002 1 100000
1000 1 TOTAL 5 0 0 5 20 0 10 2 003 1 100000
1000 1 TOTAL 5 0 0 5 20 0 20 2 004 1 100000
1000 1 TOTAL 5 0 0 5 20 0 30 2 005 1 100000
1000 1 TOTAL 5 0 0 5 20 0 50 2 006 1 100000
1000 1 TOTAL 5 0 0 5 20 0 100 2 007 1 100000
1000 1 TOTAL 5 0 0 5 20 0 200 2 008 1 100000
1000 1 TOTAL 5 0 0 5 20 0 300 2 009 1 100000
1000 1 TOTAL 5 0 0 5 20 0 500 2 0010 1 100000
1000 1 TOTAL 5 0 0 5 20 0 1000 2 0011 1 100000
1000 1 TOTAL 5 0 0 5 20 0 2000 2 0012 1 100000
2500 1 TOTAL 5 0 0 5 20 0 3 3 001 1 100000
2500 1 TOTAL 5 0 0 5 20 0 5 3 002 1 100000
2500 1 TOTAL 5 0 0 5 20 0 10 3 003 1 100000
2500 1 TOTAL 5 0 0 5 20 0 20 3 004 1 100000
2500 1 TOTAL 5 0 0 5 20 0 30 3 005 1 100000
2500 1 TOTAL 5 0 0 5 20 0 50 3 006 1 100000
2500 1 TOTAL 5 0 0 5 20 0 100 3 007 1 100000
2500 1 TOTAL 5 0 0 5 20 0 200 3 008 1 100000
2500 1 TOTAL 5 0 0 5 20 0 300 3 009 1 100000
2500 1 TOTAL 5 0 0 5 20 0 500 3 0010 1 100000
2500 1 TOTAL 5 0 0 5 20 0 1000 3 0011 1 100000
2500 1 TOTAL 5 0 0 5 20 0 2000 3 0012 1 100000
10000 1 TOTAL 5 0 0 5 20 0 3 4 001 1 100000
10000 1 TOTAL 5 0 0 5 20 0 5 4 002 1 100000
10000 1 TOTAL 5 0 0 5 20 0 10 4 003 1 100000
10000 1 TOTAL 5 0 0 5 20 0 20 4 004 1 100000
10000 1 TOTAL 5 0 0 5 20 0 30 4 005 1 100000
10000 1 TOTAL 5 0 0 5 20 0 50 4 006 1 100000
10000 1 TOTAL 5 0 0 5 20 0 100 4 007 1 100000
10000 1 TOTAL 5 0 0 5 20 0 200 4 008 1 100000
10000 1 TOTAL 5 0 0 5 20 0 300 4 009 1 100000
10000 1 TOTAL 5 0 0 5 20 0 500 4 0010 1 100000
10000 1 TOTAL 5 0 0 5 20 0 1000 4 0011 1 100000
10000 1 TOTAL 5 0 0 5 20 0 2000 4 0012 1 100000
0 1 TOTAL 5 100 0 5 20 0 3 5 001 1 100000
0 1 TOTAL 5 100 0 5 20 0 5 5 002 1 100000
0 1 TOTAL 5 100 0 5 20 0 10 5 003 1 100000
0 1 TOTAL 5 100 0 5 20 0 20 5 004 1 100000
0 1 TOTAL 5 100 0 5 20 0 30 5 005 1 100000
0 1 TOTAL 5 100 0 5 20 0 50 5 006 1 100000
0 1 TOTAL 5 100 0 5 20 0 100 5 007 1 100000
0 1 TOTAL 5 100 0 5 20 0 200 5 008 1 100000
0 1 TOTAL 5 100 0 5 20 0 300 5 009 1 100000
0 1 TOTAL 5 100 0 5 20 0 500 5 0010 1 100000
0 1 TOTAL 5 100 0 5 20 0 1000 5 0011 1 100000
0 1 TOTAL 5 100 0 5 20 0 2000 5 0012 1 100000
