family specific logdir docsize berid copies logfilename timestamp lost
q0 v2d5 logb0001 5 0001 01 c01b0001s103765041.log 20140615_001721 3913
q0 v2d5 logb0001 5 0001 01 c01b0001s105731136.log 20140615_001758 3892
q0 v2d5 logb0001 5 0001 01 c01b0001s117661523.log 20140615_001738 3919
q0 v2d5 logb0001 5 0001 01 c01b0001s141246882.log 20140615_001726 3906
q0 v2d5 logb0001 5 0001 01 c01b0001s263688301.log 20140615_001845 3957
q0 v2d5 logb0001 5 0001 01 c01b0001s420477893.log 20140615_001842 3977
q0 v2d5 logb0001 5 0001 01 c01b0001s50746969.log 20140615_001849 3997
q0 v2d5 logb0001 5 0001 01 c01b0001s533657980.log 20140615_001851 3973
q0 v2d5 logb0001 5 0001 01 c01b0001s681028781.log 20140615_001734 3894
q0 v2d5 logb0001 5 0001 01 c01b0001s919028296.log 20140615_001712 3949
q0 v2d5 logb0001 5 0001 01 c01b0001s967561224.log 20140615_001837 3897
q0 v2d5 logb0001 5 0001 02 c02b0001s103765041.log 20140615_002105 1545
q0 v2d5 logb0001 5 0001 02 c02b0001s105731136.log 20140615_002130 1601
q0 v2d5 logb0001 5 0001 02 c02b0001s117661523.log 20140615_002128 1578
q0 v2d5 logb0001 5 0001 02 c02b0001s141246882.log 20140615_002113 1541
q0 v2d5 logb0001 5 0001 02 c02b0001s263688301.log 20140615_002347 1595
q0 v2d5 logb0001 5 0001 02 c02b0001s420477893.log 20140615_002337 1603
q0 v2d5 logb0001 5 0001 02 c02b0001s50746969.log 20140615_002349 1646
q0 v2d5 logb0001 5 0001 02 c02b0001s533657980.log 20140615_002357 1551
q0 v2d5 logb0001 5 0001 02 c02b0001s681028781.log 20140615_002119 1524
q0 v2d5 logb0001 5 0001 02 c02b0001s919028296.log 20140615_002013 1557
q0 v2d5 logb0001 5 0001 02 c02b0001s967561224.log 20140615_002239 1568
q0 v2d5 logb0001 5 0001 03 c03b0001s103765041.log 20140615_002614 642
q0 v2d5 logb0001 5 0001 03 c03b0001s105731136.log 20140615_002733 605
q0 v2d5 logb0001 5 0001 03 c03b0001s117661523.log 20140615_002732 624
q0 v2d5 logb0001 5 0001 03 c03b0001s141246882.log 20140615_002707 632
q0 v2d5 logb0001 5 0001 03 c03b0001s263688301.log 20140615_003041 649
q0 v2d5 logb0001 5 0001 03 c03b0001s420477893.log 20140615_002954 635
q0 v2d5 logb0001 5 0001 03 c03b0001s50746969.log 20140615_003054 612
q0 v2d5 logb0001 5 0001 03 c03b0001s533657980.log 20140615_003102 585
q0 v2d5 logb0001 5 0001 03 c03b0001s681028781.log 20140615_002722 587
q0 v2d5 logb0001 5 0001 03 c03b0001s919028296.log 20140615_002507 644
q0 v2d5 logb0001 5 0001 03 c03b0001s967561224.log 20140615_002844 621
q0 v2d5 logb0001 5 0001 04 c04b0001s103765041.log 20140615_003326 267
q0 v2d5 logb0001 5 0001 04 c04b0001s105731136.log 20140615_003619 236
q0 v2d5 logb0001 5 0001 04 c04b0001s117661523.log 20140615_003601 239
q0 v2d5 logb0001 5 0001 04 c04b0001s141246882.log 20140615_003439 240
q0 v2d5 logb0001 5 0001 04 c04b0001s263688301.log 20140615_004129 267
q0 v2d5 logb0001 5 0001 04 c04b0001s420477893.log 20140615_003912 270
q0 v2d5 logb0001 5 0001 04 c04b0001s50746969.log 20140615_004203 262
q0 v2d5 logb0001 5 0001 04 c04b0001s533657980.log 20140615_004150 234
q0 v2d5 logb0001 5 0001 04 c04b0001s681028781.log 20140615_003557 219
q0 v2d5 logb0001 5 0001 04 c04b0001s919028296.log 20140615_003218 250
q0 v2d5 logb0001 5 0001 04 c04b0001s967561224.log 20140615_003745 253
