family specific logfilename docsize berid copies lost
../q1 v3d50 logb0002/c01b0002s103765041.log:20140716_010606 50 0002 01 9184
../q1 v3d50 logb0002/c01b0002s105731136.log:20140716_010631 50 0002 01 9213
../q1 v3d50 logb0002/c01b0002s117661523.log:20140716_010627 50 0002 01 9151
../q1 v3d50 logb0002/c01b0002s141246882.log:20140716_010612 50 0002 01 9183
../q1 v3d50 logb0002/c01b0002s263688301.log:20140716_010653 50 0002 01 9179
../q1 v3d50 logb0002/c01b0002s420477893.log:20140716_010643 50 0002 01 9143
../q1 v3d50 logb0002/c01b0002s50746969.log:20140716_010658 50 0002 01 9157
../q1 v3d50 logb0002/c01b0002s533657980.log:20140716_010704 50 0002 01 9199
../q1 v3d50 logb0002/c01b0002s681028781.log:20140716_010617 50 0002 01 9205
../q1 v3d50 logb0002/c01b0002s919028296.log:20140716_010600 50 0002 01 9180
../q1 v3d50 logb0002/c01b0002s967561224.log:20140716_010638 50 0002 01 9196
../q1 v3d50 logb0002/c02b0002s103765041.log:20140716_010758 50 0002 02 3878
../q1 v3d50 logb0002/c02b0002s105731136.log:20140716_010845 50 0002 02 3984
../q1 v3d50 logb0002/c02b0002s117661523.log:20140716_010854 50 0002 02 3896
../q1 v3d50 logb0002/c02b0002s141246882.log:20140716_010810 50 0002 02 3966
../q1 v3d50 logb0002/c02b0002s263688301.log:20140716_010947 50 0002 02 3802
../q1 v3d50 logb0002/c02b0002s420477893.log:20140716_010914 50 0002 02 3915
../q1 v3d50 logb0002/c02b0002s50746969.log:20140716_010956 50 0002 02 3975
../q1 v3d50 logb0002/c02b0002s533657980.log:20140716_011011 50 0002 02 3937
../q1 v3d50 logb0002/c02b0002s681028781.log:20140716_010807 50 0002 02 4013
../q1 v3d50 logb0002/c02b0002s919028296.log:20140716_010753 50 0002 02 3903
../q1 v3d50 logb0002/c02b0002s967561224.log:20140716_010908 50 0002 02 3891
../q1 v3d50 logb0002/c03b0002s103765041.log:20140716_011130 50 0002 03 997
../q1 v3d50 logb0002/c03b0002s105731136.log:20140716_011312 50 0002 03 980
../q1 v3d50 logb0002/c03b0002s117661523.log:20140716_011241 50 0002 03 935
../q1 v3d50 logb0002/c03b0002s141246882.log:20140716_011142 50 0002 03 960
../q1 v3d50 logb0002/c03b0002s263688301.log:20140716_011423 50 0002 03 999
../q1 v3d50 logb0002/c03b0002s420477893.log:20140716_011341 50 0002 03 1043
../q1 v3d50 logb0002/c03b0002s50746969.log:20140716_011450 50 0002 03 984
../q1 v3d50 logb0002/c03b0002s533657980.log:20140716_011532 50 0002 03 1010
../q1 v3d50 logb0002/c03b0002s681028781.log:20140716_011157 50 0002 03 969
../q1 v3d50 logb0002/c03b0002s919028296.log:20140716_011101 50 0002 03 1036
../q1 v3d50 logb0002/c03b0002s967561224.log:20140716_011327 50 0002 03 1013
../q1 v3d50 logb0002/c04b0002s103765041.log:20140716_011737 50 0002 04 227
../q1 v3d50 logb0002/c04b0002s105731136.log:20140716_011938 50 0002 04 201
../q1 v3d50 logb0002/c04b0002s117661523.log:20140716_011734 50 0002 04 234
