timestamp docsize copies lifem seed lost auditrepairs auditlosses forensics walltime cputime
20140725_120903 50 1 2 103765041 9184 0 8956 0 31.510 28.985
20140725_120935 50 1 2 105731136 9213 0 9005 0 31.404 29.515
20140725_120918 50 1 2 117661523 9151 0 8955 0 31.099 29.343
20140725_120908 50 1 2 141246882 9183 0 8955 0 31.217 29.499
20140725_120950 50 1 2 263688301 9179 0 8995 0 31.565 29.469
20140725_120945 50 1 2 420477893 9143 0 8961 0 31.783 29.593
20140725_121007 50 1 2 50746969 9157 0 8944 0 31.251 29.422
20140725_121014 50 1 2 533657980 9199 0 8987 0 31.519 29.547
20140725_120913 50 1 2 681028781 9205 0 8969 0 31.272 29.406
20140725_120839 50 1 2 919028296 9180 0 8944 0 30.217 29.062
20140725_120940 50 1 2 967561224 9196 0 8984 0 33.371 29.578
20140725_121024 50 2 2 103765041 3878 25820 7210 0 76.172 71.636
20140725_121140 50 2 2 105731136 3984 25659 7449 0 78.351 71.572
20140725_121117 50 2 2 117661523 3896 25688 7242 0 122.198 71.932
20140725_121039 50 2 2 141246882 3966 25613 7282 0 79.393 71.916
20140725_121213 50 2 2 263688301 3802 26070 7015 0 104.126 72.057
20140725_121203 50 2 2 420477893 3915 25959 7218 0 81.319 74.505
20140725_121252 50 2 2 50746969 3975 25457 7472 0 92.053 71.714
20140725_121320 50 2 2 533657980 3937 25566 7348 0 94.035 71.948
20140725_121046 50 2 2 681028781 4013 25447 7396 0 77.818 72.665
20140725_121019 50 2 2 919028296 3903 25639 7234 0 83.544 71.806
20140725_121155 50 2 2 967561224 3891 25652 7229 0 80.952 72.025
20140725_121357 50 3 2 103765041 997 55027 2710 10153 217.613 119.839
20140725_121518 50 3 2 105731136 980 55062 2652 10179 143.682 120.043
20140725_121434 50 3 2 117661523 935 55029 2594 10261 140.299 119.84
20140725_121349 50 3 2 141246882 960 54970 2685 10395 135.753 119.59
20140725_121707 50 3 2 263688301 999 54862 2744 10263 194.029 121.666
20140725_121655 50 3 2 420477893 1043 54371 2820 10034 192.166 126.75
20140725_121743 50 3 2 50746969 984 55017 2714 10298 174.304 132.273
20140725_121803 50 3 2 533657980 1010 54554 2743 10172 213.031 126.174
20140725_121431 50 3 2 681028781 969 55028 2650 10259 192.161 119.95
20140725_121323 50 3 2 919028296 1036 54741 2833 10024 125.528 119.559
20140725_121610 50 3 2 967561224 1013 55213 2798 10175 153.622 122.273
20140725_121918 50 4 2 103765041 227 78340 828 3032 399.300 184.362
20140725_122201 50 4 2 105731136 201 78821 739 3031 317.637 207.918
20140725_122053 50 4 2 117661523 234 77970 851 2885 335.494 163.022
20140725_122033 50 4 2 141246882 222 78015 824 2820 388.015 194.705
20140725_122656 50 4 2 263688301 221 78283 824 2953 544.610 205.891
20140725_122556 50 4 2 420477893 224 78362 817 2880 443.428 201.927
20140725_122642 50 4 2 50746969 215 78901 800 2948 325.007 183.066
20140725_122719 50 4 2 533657980 235 77799 864 2885 507.253 171.803
20140725_122036 50 4 2 681028781 220 78526 832 2903 283.501 174.127
20140725_121837 50 4 2 919028296 221 78155 812 2966 267.253 168.31
20140725_122320 50 4 2 967561224 235 78348 872 3007 229.566 163.317
20140725_122737 50 5 2 103765041 31 99486 135 7545 229.601 206.561
20140725_123351 50 5 2 105731136 51 99891 235 7555 515.690 233.003
20140725_123231 50 5 2 117661523 47 99630 200 7508 385.369 223.752
20140725_123138 50 5 2 141246882 46 99227 204 7274 238.250 216.17
20140725_123608 50 5 2 263688301 47 99542 220 7396 439.864 228.292
20140725_123607 50 5 2 420477893 50 100226 215 7730 396.650 227.745
20140725_123709 50 5 2 50746969 45 100304 215 7665 443.363 231.318
20140725_123932 50 5 2 533657980 47 99415 200 7360 248.946 216.732
20140725_123158 50 5 2 681028781 35 99807 170 7490 229.585 208.168
20140725_122735 50 5 2 919028296 56 99745 254 7494 222.900 207.31
20140725_123548 50 5 2 967561224 55 100292 265 7655 736.196 268.4
20140725_124328 50 8 2 103765041 0 160046 0 1482 814.500 404.151
