timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion
20141201_200222 50 1 2 100000 103765041 9184 10000 816 0 0 9184 9 10000 4 0 0 0 9029 52.872 31.637 ../q2/d50a10000s4/logb0002/c01d50b0002s103765041.log 1101197 q2-extractinstructions-02.txt 20141204_174514 0.4
20141201_200323 50 1 2 100000 105731136 9213 10000 787 0 0 9213 9 10000 4 0 0 0 9082 53.860 31.059 ../q2/d50a10000s4/logb0002/c01d50b0002s105731136.log 1104642 q2-extractinstructions-02.txt 20141204_174517 0.4
20141201_200253 50 1 2 100000 117661523 9151 10000 849 0 0 9151 9 10000 4 0 0 0 9035 80.627 30.593 ../q2/d50a10000s4/logb0002/c01d50b0002s117661523.log 1097279 q2-extractinstructions-02.txt 20141204_174519 0.4
20141201_200229 50 1 2 100000 141246882 9183 10000 817 0 0 9183 9 10000 4 0 0 0 9041 46.584 31.013 ../q2/d50a10000s4/logb0002/c01d50b0002s141246882.log 1101085 q2-extractinstructions-02.txt 20141204_174522 0.4
20141201_200340 50 1 2 100000 263688301 9179 10000 821 0 0 9179 9 10000 4 0 0 0 9057 40.822 30.888 ../q2/d50a10000s4/logb0002/c01d50b0002s263688301.log 1100603 q2-extractinstructions-02.txt 20141204_174525 0.4
20141201_200336 50 1 2 100000 420477893 9143 10000 857 0 0 9143 9 10000 4 0 0 0 9019 44.850 32.027 ../q2/d50a10000s4/logb0002/c01d50b0002s420477893.log 1096340 q2-extractinstructions-02.txt 20141204_174528 0.4
20141201_200424 50 1 2 100000 50746969 9157 10000 843 0 0 9157 9 10000 4 0 0 0 9026 65.856 31.044 ../q2/d50a10000s4/logb0002/c01d50b0002s50746969.log 1097986 q2-extractinstructions-02.txt 20141204_174531 0.4
20141201_200429 50 1 2 100000 533657980 9199 10000 801 0 0 9199 9 10000 4 0 0 0 9065 62.787 30.951 ../q2/d50a10000s4/logb0002/c01d50b0002s533657980.log 1102990 q2-extractinstructions-02.txt 20141204_174534 0.4
20141201_200235 50 1 2 100000 681028781 9205 10000 795 0 0 9205 9 10000 4 0 0 0 9054 46.654 31.606 ../q2/d50a10000s4/logb0002/c01d50b0002s681028781.log 1103694 q2-extractinstructions-02.txt 20141204_174537 0.4
20141201_200215 50 1 2 100000 919028296 9180 10000 820 0 0 9180 9 10000 4 0 0 0 9026 58.280 30.872 ../q2/d50a10000s4/logb0002/c01d50b0002s919028296.log 1100723 q2-extractinstructions-02.txt 20141204_174540 0.4
