timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion
20141230_081202 50 1 2 100000 103765041 9177 10000 823 0 0 9177 99 1000 1 0 0 0 9177 109.889 48.563 ../q2/d50a1000s1h1/logb0002/c01d50b0002s103765041.log 1100316 q2-extractinstructions-02.txt 20141231_130942 0.4
20141230_081301 50 1 2 100000 105731136 9157 10000 843 0 0 9157 99 1000 1 0 0 0 9157 104.790 48.828 ../q2/d50a1000s1h1/logb0002/c01d50b0002s105731136.log 1097943 q2-extractinstructions-02.txt 20141231_130946 0.4
20141230_081301 50 1 2 100000 117661523 9189 10000 811 0 0 9189 99 1000 1 0 0 0 9189 105.010 48.828 ../q2/d50a1000s1h1/logb0002/c01d50b0002s117661523.log 1101746 q2-extractinstructions-02.txt 20141231_130949 0.4
20141230_081208 50 1 2 100000 141246882 9175 10000 825 0 0 9175 99 1000 1 0 0 0 9175 87.963 48.969 ../q2/d50a1000s1h1/logb0002/c01d50b0002s141246882.log 1100101 q2-extractinstructions-02.txt 20141231_130952 0.4
20141230_081357 50 1 2 100000 263688301 9176 10000 824 0 0 9176 99 1000 1 0 0 0 9176 102.635 49.093 ../q2/d50a1000s1h1/logb0002/c01d50b0002s263688301.log 1100201 q2-extractinstructions-02.txt 20141231_130956 0.4
20141230_081352 50 1 2 100000 420477893 9210 10000 790 0 0 9210 99 1000 1 0 0 0 9210 60.189 48.797 ../q2/d50a1000s1h1/logb0002/c01d50b0002s420477893.log 1104227 q2-extractinstructions-02.txt 20141231_130959 0.4
20141230_081428 50 1 2 100000 50746969 9177 10000 823 0 0 9177 99 1000 1 0 0 0 9177 146.326 49.311 ../q2/d50a1000s1h1/logb0002/c01d50b0002s50746969.log 1100301 q2-extractinstructions-02.txt 20141231_131002 0.4
20141230_081449 50 1 2 100000 533657980 9178 10000 822 0 0 9178 99 1000 1 0 0 0 9178 126.533 48.766 ../q2/d50a1000s1h1/logb0002/c01d50b0002s533657980.log 1100437 q2-extractinstructions-02.txt 20141231_131005 0.4
20141230_081223 50 1 2 100000 681028781 9149 10000 851 0 0 9149 99 1000 1 0 0 0 9149 89.321 48.562 ../q2/d50a1000s1h1/logb0002/c01d50b0002s681028781.log 1096992 q2-extractinstructions-02.txt 20141231_131009 0.4
20141230_081156 50 1 2 100000 919028296 9183 10000 817 0 0 9183 99 1000 1 0 0 0 9183 99.266 48.422 ../q2/d50a1000s1h1/logb0002/c01d50b0002s919028296.log 1101018 q2-extractinstructions-02.txt 20141231_131012 0.4
20141230_081338 50 1 2 100000 967561224 9209 10000 791 0 0 9209 99 1000 1 0 0 0 9209 73.270 48.922 ../q2/d50a1000s1h1/logb0002/c01d50b0002s967561224.log 1104104 q2-extractinstructions-02.txt 20141231_131015 0.4
