timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion
20141221_205550 50 1 2 100000 103765041 9184 10000 816 0 0 9184 39 2500 1 0 0 0 9184 53.104 44.101 ../q2/d50a2500s1/logb0002/c01d50b0002s103765041.log 1101186 q2-extractinstructions-02.txt 20150102_084205 0.4
20141221_205651 50 1 2 100000 105731136 9213 10000 787 0 0 9213 39 2500 1 0 0 0 9213 53.333 44.741 ../q2/d50a2500s1/logb0002/c01d50b0002s105731136.log 1104631 q2-extractinstructions-02.txt 20150102_084208 0.4
20141221_205645 50 1 2 100000 117661523 9151 10000 849 0 0 9151 39 2500 1 0 0 0 9151 52.913 44.367 ../q2/d50a2500s1/logb0002/c01d50b0002s117661523.log 1097268 q2-extractinstructions-02.txt 20150102_084211 0.4
20141221_205555 50 1 2 100000 141246882 9183 10000 817 0 0 9183 39 2500 1 0 0 0 9183 52.621 44.32 ../q2/d50a2500s1/logb0002/c01d50b0002s141246882.log 1101072 q2-extractinstructions-02.txt 20150102_084213 0.4
20141221_205746 50 1 2 100000 263688301 9179 10000 821 0 0 9179 39 2500 1 0 0 0 9179 53.539 44.523 ../q2/d50a2500s1/logb0002/c01d50b0002s263688301.log 1100592 q2-extractinstructions-02.txt 20150102_084216 0.4
20141221_205741 50 1 2 100000 420477893 9143 10000 857 0 0 9143 39 2500 1 0 0 0 9143 53.922 44.788 ../q2/d50a2500s1/logb0002/c01d50b0002s420477893.log 1096329 q2-extractinstructions-02.txt 20150102_084219 0.4
20141221_205832 50 1 2 100000 50746969 9157 10000 843 0 0 9157 39 2500 1 0 0 0 9157 53.495 44.569 ../q2/d50a2500s1/logb0002/c01d50b0002s50746969.log 1097975 q2-extractinstructions-02.txt 20150102_084222 0.4
20141221_205837 50 1 2 100000 533657980 9199 10000 801 0 0 9199 39 2500 1 0 0 0 9199 53.907 44.727 ../q2/d50a2500s1/logb0002/c01d50b0002s533657980.log 1102979 q2-extractinstructions-02.txt 20150102_084225 0.4
20141221_205641 50 1 2 100000 681028781 9205 10000 795 0 0 9205 39 2500 1 0 0 0 9205 53.332 44.32 ../q2/d50a2500s1/logb0002/c01d50b0002s681028781.log 1103681 q2-extractinstructions-02.txt 20150102_084228 0.4
20141221_205545 50 1 2 100000 919028296 9180 10000 820 0 0 9180 39 2500 1 0 0 0 9180 52.842 44.07 ../q2/d50a2500s1/logb0002/c01d50b0002s919028296.log 1100710 q2-extractinstructions-02.txt 20150102_084230 0.4
20141221_205736 50 1 2 100000 967561224 9196 10000 804 0 0 9196 39 2500 1 0 0 0 9196 54.367 45.412 ../q2/d50a2500s1/logb0002/c01d50b0002s967561224.log 1102635 q2-extractinstructions-02.txt 20150102_084233 0.4
20141221_205928 50 2 2 100000 103765041 1368 10000 70 9615 0 1368 39 2500 1 41135 41135 0 1331 112.929 98.0 ../q2/d50a2500s1/logb0002/c02d50b0002s103765041.log 1189583 q2-extractinstructions-02.txt 20150102_084236 0.4
20141221_210131 50 2 2 100000 105731136 1338 10000 68 9642 0 1338 39 2500 1 41693 41693 0 1292 123.248 103.99 ../q2/d50a2500s1/logb0002/c02d50b0002s105731136.log 1189860 q2-extractinstructions-02.txt 20150102_084239 0.4
20141221_210126 50 2 2 100000 117661523 1375 10000 81 9593 0 1375 39 2500 1 41452 41452 0 1335 115.945 97.454 ../q2/d50a2500s1/logb0002/c02d50b0002s117661523.log 1188302 q2-extractinstructions-02.txt 20150102_084242 0.4
20141221_205933 50 2 2 100000 141246882 1354 10000 67 9627 0 1354 39 2500 1 41564 41564 0 1326 112.554 98.545 ../q2/d50a2500s1/logb0002/c02d50b0002s141246882.log 1189961 q2-extractinstructions-02.txt 20150102_084246 0.4
