timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion
20141213_192721 50 1 2 100000 103765041 9199 10000 801 0 0 9199 9 10000 4 0 0 0 8960 60.680 32.121 ../q2/d50aunif10000s4/logb0002/c01d50b0002s103765041.log 1102988 q2-extractinstructions-02.txt 20141214_170159 0.4
20141213_192755 50 1 2 100000 105731136 9204 10000 796 0 0 9204 9 10000 4 0 0 0 8945 84.791 32.729 ../q2/d50aunif10000s4/logb0002/c01d50b0002s105731136.log 1103591 q2-extractinstructions-02.txt 20141214_170202 0.4
20141213_192755 50 1 2 100000 117661523 9132 10000 868 0 0 9132 9 10000 4 0 0 0 8876 84.623 32.621 ../q2/d50aunif10000s4/logb0002/c01d50b0002s117661523.log 1095013 q2-extractinstructions-02.txt 20141214_170205 0.4
20141213_192728 50 1 2 100000 141246882 9162 10000 838 0 0 9162 9 10000 4 0 0 0 8905 51.567 31.918 ../q2/d50aunif10000s4/logb0002/c01d50b0002s141246882.log 1098599 q2-extractinstructions-02.txt 20141214_170208 0.4
20141213_192833 50 1 2 100000 263688301 9198 10000 802 0 0 9198 9 10000 4 0 0 0 8935 49.839 32.464 ../q2/d50aunif10000s4/logb0002/c01d50b0002s263688301.log 1102867 q2-extractinstructions-02.txt 20141214_170211 0.4
20141213_192825 50 1 2 100000 420477893 9188 10000 812 0 0 9188 9 10000 4 0 0 0 8919 57.705 32.933 ../q2/d50aunif10000s4/logb0002/c01d50b0002s420477893.log 1101677 q2-extractinstructions-02.txt 20141214_170214 0.4
20141213_192839 50 1 2 100000 50746969 9206 10000 794 0 0 9206 9 10000 4 0 0 0 8952 50.075 33.151 ../q2/d50aunif10000s4/logb0002/c01d50b0002s50746969.log 1103816 q2-extractinstructions-02.txt 20141214_170217 0.4
20141213_192922 50 1 2 100000 533657980 9140 10000 860 0 0 9140 9 10000 4 0 0 0 8883 114.681 32.714 ../q2/d50aunif10000s4/logb0002/c01d50b0002s533657980.log 1095973 q2-extractinstructions-02.txt 20141214_170220 0.4
20141213_192732 50 1 2 100000 681028781 9206 10000 794 0 0 9206 9 10000 4 0 0 0 8961 63.106 32.854 ../q2/d50aunif10000s4/logb0002/c01d50b0002s681028781.log 1103826 q2-extractinstructions-02.txt 20141214_170223 0.4
20141213_192715 50 1 2 100000 919028296 9149 10000 851 0 0 9149 9 10000 4 0 0 0 8866 62.290 32.308 ../q2/d50aunif10000s4/logb0002/c01d50b0002s919028296.log 1097048 q2-extractinstructions-02.txt 20141214_170226 0.4
20141213_192821 50 1 2 100000 967561224 9198 10000 802 0 0 9198 9 10000 4 0 0 0 8945 66.410 35.179 ../q2/d50aunif10000s4/logb0002/c01d50b0002s967561224.log 1102866 q2-extractinstructions-02.txt 20141214_170229 0.4
20141213_192933 50 2 2 100000 103765041 4711 10000 57 8178 0 4711 9 10000 4 21515 21515 0 4341 107.884 72.853 ../q2/d50aunif10000s4/logb0002/c02d50b0002s103765041.log 1189173 q2-extractinstructions-02.txt 20141214_170232 0.4
20141213_193119 50 2 2 100000 105731136 4762 10000 58 8146 0 4762 9 10000 4 21534 21534 0 4399 110.754 72.196 ../q2/d50aunif10000s4/logb0002/c02d50b0002s105731136.log 1189034 q2-extractinstructions-02.txt 20141214_170236 0.4
20141213_193032 50 2 2 100000 117661523 4767 10000 74 8050 0 4767 9 10000 4 21216 21216 0 4430 157.163 72.572 ../q2/d50aunif10000s4/logb0002/c02d50b0002s117661523.log 1187205 q2-extractinstructions-02.txt 20141214_170239 0.4
20141213_192940 50 2 2 100000 141246882 4872 10000 66 8134 0 4872 9 10000 4 21252 21252 0 4507 105.477 72.104 ../q2/d50aunif10000s4/logb0002/c02d50b0002s141246882.log 1187979 q2-extractinstructions-02.txt 20141214_170242 0.4
20141213_193155 50 2 2 100000 263688301 4862 10000 68 8090 0 4862 9 10000 4 21437 21437 0 4487 283.460 72.15 ../q2/d50aunif10000s4/logb0002/c02d50b0002s263688301.log 1187788 q2-extractinstructions-02.txt 20141214_170245 0.4
20141213_193135 50 2 2 100000 420477893 4800 10000 74 8102 0 4800 9 10000 4 21370 21370 0 4445 96.590 71.886 ../q2/d50aunif10000s4/logb0002/c02d50b0002s420477893.log 1187121 q2-extractinstructions-02.txt 20141214_170249 0.4
20141213_193316 50 2 2 100000 50746969 4750 10000 59 8122 0 4750 9 10000 4 21590 21590 0 4422 204.440 73.305 ../q2/d50aunif10000s4/logb0002/c02d50b0002s50746969.log 1188945 q2-extractinstructions-02.txt 20141214_170252 0.4
20141213_193321 50 2 2 100000 533657980 4789 10000 71 8123 0 4789 9 10000 4 21329 21329 0 4427 197.775 70.731 ../q2/d50aunif10000s4/logb0002/c02d50b0002s533657980.log 1187477 q2-extractinstructions-02.txt 20141214_170255 0.4
20141213_193000 50 2 2 100000 681028781 4884 10000 67 8078 0 4884 9 10000 4 21220 21220 0 4531 188.056 73.43 ../q2/d50aunif10000s4/logb0002/c02d50b0002s681028781.log 1187905 q2-extractinstructions-02.txt 20141214_170258 0.4
20141213_192928 50 2 2 100000 919028296 4901 10000 65 8128 0 4901 9 10000 4 21321 21321 0 4531 116.862 71.901 ../q2/d50aunif10000s4/logb0002/c02d50b0002s919028296.log 1188069 q2-extractinstructions-02.txt 20141214_170302 0.4
20141213_193125 50 2 2 100000 967561224 4799 10000 63 8166 0 4799 9 10000 4 21580 21580 0 4431 114.369 74.148 ../q2/d50aunif10000s4/logb0002/c02d50b0002s967561224.log 1188384 q2-extractinstructions-02.txt 20141214_170305 0.4
20141213_193407 50 3 2 100000 103765041 2017 10000 5 9163 6717 2017 9 10000 4 47176 28102 9537 1816 155.096 117.859 ../q2/d50aunif10000s4/logb0002/c03d50b0002s103765041.log 1191068 q2-extractinstructions-02.txt 20141214_170308 0.4
20141213_193700 50 3 2 100000 105731136 2135 10000 6 9168 6683 2135 9 10000 4 46741 27741 9500 1925 256.083 125.675 ../q2/d50aunif10000s4/logb0002/c03d50b0002s105731136.log 1190858 q2-extractinstructions-02.txt 20141214_170311 0.4
20141213_193654 50 3 2 100000 117661523 2095 10000 6 9136 6562 2095 9 10000 4 46343 27769 9287 1915 260.227 118.405 ../q2/d50aunif10000s4/logb0002/c03d50b0002s117661523.log 1191051 q2-extractinstructions-02.txt 20141214_170314 0.4
20141213_193410 50 3 2 100000 141246882 2052 10000 9 9119 6699 2052 9 10000 4 47140 27972 9584 1861 155.371 117.765 ../q2/d50aunif10000s4/logb0002/c03d50b0002s141246882.log 1190616 q2-extractinstructions-02.txt 20141214_170318 0.4
20141213_193756 50 3 2 100000 263688301 2065 10000 7 9138 6653 2065 9 10000 4 46731 27821 9455 1868 209.714 119.544 ../q2/d50aunif10000s4/logb0002/c03d50b0002s263688301.log 1190867 q2-extractinstructions-02.txt 20141214_170321 0.4
20141213_193753 50 3 2 100000 420477893 2069 10000 7 9167 6551 2069 9 10000 4 46730 28038 9346 1877 212.360 118.296 ../q2/d50aunif10000s4/logb0002/c03d50b0002s420477893.log 1190940 q2-extractinstructions-02.txt 20141214_170324 0.4
20141213_194117 50 3 2 100000 50746969 2047 10000 3 9155 6669 2047 9 10000 4 46871 27779 9546 1843 257.047 118.42 ../q2/d50aunif10000s4/logb0002/c03d50b0002s50746969.log 1191329 q2-extractinstructions-02.txt 20141214_170327 0.4
20141213_194122 50 3 2 100000 533657980 2061 10000 4 9186 6622 2061 9 10000 4 46873 27841 9516 1860 370.159 127.094 ../q2/d50aunif10000s4/logb0002/c03d50b0002s533657980.log 1191216 q2-extractinstructions-02.txt 20141214_170330 0.4
20141213_193649 50 3 2 100000 681028781 2038 10000 5 9142 6630 2038 9 10000 4 46747 27877 9435 1843 265.954 119.482 ../q2/d50aunif10000s4/logb0002/c03d50b0002s681028781.log 1191155 q2-extractinstructions-02.txt 20141214_170333 0.4
20141213_193333 50 3 2 100000 919028296 2060 10000 2 9136 6670 2060 9 10000 4 46642 27678 9482 1874 193.567 123.054 ../q2/d50aunif10000s4/logb0002/c03d50b0002s919028296.log 1191458 q2-extractinstructions-02.txt 20141214_170337 0.4
20141213_193706 50 3 2 100000 967561224 2032 10000 4 9104 6698 2032 9 10000 4 47140 27790 9675 1844 248.728 122.071 ../q2/d50aunif10000s4/logb0002/c03d50b0002s967561224.log 1191249 q2-extractinstructions-02.txt 20141214_170340 0.4
20141213_194143 50 4 2 100000 103765041 924 10000 0 9761 4026 924 9 10000 4 69374 43236 4350 824 414.653 180.151 ../q2/d50aunif10000s4/logb0002/c04d50b0002s103765041.log 1195539 q2-extractinstructions-02.txt 20141214_170343 0.4
20141213_194549 50 4 2 100000 105731136 896 10000 0 9798 4106 896 9 10000 4 70138 43549 4434 802 346.658 167.748 ../q2/d50aunif10000s4/logb0002/c04d50b0002s105731136.log 1195453 q2-extractinstructions-02.txt 20141214_170346 0.4
20141213_194538 50 4 2 100000 117661523 952 10000 0 9728 3992 952 9 10000 4 69556 43493 4254 848 363.297 176.173 ../q2/d50aunif10000s4/logb0002/c04d50b0002s117661523.log 1195577 q2-extractinstructions-02.txt 20141214_170350 0.4
20141213_194143 50 4 2 100000 141246882 937 10000 0 9757 4059 937 9 10000 4 69585 43195 4420 840 243.424 169.994 ../q2/d50aunif10000s4/logb0002/c04d50b0002s141246882.log 1195496 q2-extractinstructions-02.txt 20141214_170353 0.4
20141213_194914 50 4 2 100000 263688301 1004 10000 0 9739 3907 1004 9 10000 4 68916 43263 4214 892 428.224 171.897 ../q2/d50aunif10000s4/logb0002/c04d50b0002s263688301.log 1195603 q2-extractinstructions-02.txt 20141214_170356 0.4
20141213_194811 50 4 2 100000 420477893 957 10000 0 9764 4001 957 9 10000 4 69645 43448 4335 848 214.314 167.544 ../q2/d50aunif10000s4/logb0002/c04d50b0002s420477893.log 1195533 q2-extractinstructions-02.txt 20141214_170359 0.4
20141213_194916 50 4 2 100000 50746969 939 10000 1 9753 4054 939 9 10000 4 69636 43289 4414 845 427.412 167.919 ../q2/d50aunif10000s4/logb0002/c04d50b0002s50746969.log 1195381 q2-extractinstructions-02.txt 20141214_170402 0.4
20141213_195147 50 4 2 100000 533657980 947 10000 1 9730 4036 947 9 10000 4 69420 43359 4288 842 230.326 174.565 ../q2/d50aunif10000s4/logb0002/c04d50b0002s533657980.log 1195416 q2-extractinstructions-02.txt 20141214_170406 0.4
20141213_194240 50 4 2 100000 681028781 947 10000 1 9747 4058 947 9 10000 4 69658 43344 4421 850 358.487 181.023 ../q2/d50aunif10000s4/logb0002/c04d50b0002s681028781.log 1195380 q2-extractinstructions-02.txt 20141214_170409 0.4
20141213_194129 50 4 2 100000 919028296 982 10000 0 9723 3936 982 9 10000 4 69233 43161 4287 874 248.154 167.233 ../q2/d50aunif10000s4/logb0002/c04d50b0002s919028296.log 1195618 q2-extractinstructions-02.txt 20141214_170412 0.4
20141213_194554 50 4 2 100000 967561224 981 10000 2 9745 3993 981 9 10000 4 69642 43295 4367 882 349.019 173.161 ../q2/d50aunif10000s4/logb0002/c04d50b0002s967561224.log 1195282 q2-extractinstructions-02.txt 20141214_170415 0.4
20141213_195213 50 5 2 100000 103765041 504 10000 0 9870 6741 504 9 10000 4 90223 45845 8838 441 262.975 219.415 ../q2/d50aunif10000s4/logb0002/c05d50b0002s103765041.log 1193818 q2-extractinstructions-02.txt 20141214_170419 0.4
20141213_195638 50 5 2 100000 105731136 492 10000 0 9847 6811 492 9 10000 4 90974 46235 8935 420 348.299 222.035 ../q2/d50aunif10000s4/logb0002/c05d50b0002s105731136.log 1193810 q2-extractinstructions-02.txt 20141214_170422 0.4
20141213_195633 50 5 2 100000 117661523 438 10000 0 9857 6707 438 9 10000 4 90584 46106 8795 387 342.743 226.389 ../q2/d50aunif10000s4/logb0002/c05d50b0002s117661523.log 1193940 q2-extractinstructions-02.txt 20141214_170425 0.4
20141213_195233 50 5 2 100000 141246882 494 10000 0 9847 6709 494 9 10000 4 89822 45967 8729 445 514.546 217.356 ../q2/d50aunif10000s4/logb0002/c05d50b0002s141246882.log 1193904 q2-extractinstructions-02.txt 20141214_170428 0.4
20141213_200128 50 5 2 100000 263688301 495 10000 0 9842 6756 495 9 10000 4 90607 46114 8847 443 474.199 218.605 ../q2/d50aunif10000s4/logb0002/c05d50b0002s263688301.log 1193869 q2-extractinstructions-02.txt 20141214_170431 0.4
20141213_195708 50 5 2 100000 420477893 479 10000 0 9838 6810 479 9 10000 4 90984 46257 8886 422 731.386 225.609 ../q2/d50aunif10000s4/logb0002/c05d50b0002s420477893.log 1193812 q2-extractinstructions-02.txt 20141214_170435 0.4
20141213_200241 50 5 2 100000 50746969 498 10000 1 9854 6718 498 9 10000 4 90282 46080 8802 438 396.788 208.666 ../q2/d50aunif10000s4/logb0002/c05d50b0002s50746969.log 1193760 q2-extractinstructions-02.txt 20141214_170438 0.4
20141213_200311 50 5 2 100000 533657980 467 10000 0 9848 6767 467 9 10000 4 90572 46227 8834 418 377.588 217.231 ../q2/d50aunif10000s4/logb0002/c05d50b0002s533657980.log 1193863 q2-extractinstructions-02.txt 20141214_170441 0.4
20141213_195547 50 5 2 100000 681028781 467 10000 0 9847 6772 467 9 10000 4 90533 46262 8771 402 408.750 225.531 ../q2/d50aunif10000s4/logb0002/c05d50b0002s681028781.log 1193867 q2-extractinstructions-02.txt 20141214_170444 0.4
20141213_195201 50 5 2 100000 919028296 468 10000 0 9840 6744 468 9 10000 4 90423 45937 8888 416 275.739 227.309 ../q2/d50aunif10000s4/logb0002/c05d50b0002s919028296.log 1193894 q2-extractinstructions-02.txt 20141214_170447 0.4
20141213_195643 50 5 2 100000 967561224 475 10000 0 9857 6805 475 9 10000 4 91018 46207 8979 431 331.516 217.309 ../q2/d50aunif10000s4/logb0002/c05d50b0002s967561224.log 1193806 q2-extractinstructions-02.txt 20141214_170451 0.4
20141213_200359 50 8 2 100000 103765041 84 10000 0 9983 4526 84 9 10000 4 150113 64208 4856 70 769.006 354.341 ../q2/d50aunif10000s4/logb0002/c08d50b0002s103765041.log 1199008 q2-extractinstructions-02.txt 20141214_170454 0.4
20141213_201016 50 8 2 100000 105731136 84 10000 0 9975 4591 84 9 10000 4 149458 63815 4865 75 1027.258 368.131 ../q2/d50aunif10000s4/logb0002/c08d50b0002s105731136.log 1198949 q2-extractinstructions-02.txt 20141214_170457 0.4
20141213_201003 50 8 2 100000 117661523 100 10000 0 9970 4535 100 9 10000 4 148921 63629 4822 92 496.799 356.447 ../q2/d50aunif10000s4/logb0002/c08d50b0002s117661523.log 1198975 q2-extractinstructions-02.txt 20141214_170500 0.4
20141213_200926 50 8 2 100000 141246882 102 10000 0 9978 4548 102 9 10000 4 148409 63544 4764 93 564.743 357.756 ../q2/d50aunif10000s4/logb0002/c08d50b0002s141246882.log 1198914 q2-extractinstructions-02.txt 20141214_170504 0.4
20141213_201837 50 8 2 100000 263688301 79 10000 0 9972 4535 79 9 10000 4 149787 64062 4813 72 1064.256 368.146 ../q2/d50aunif10000s4/logb0002/c08d50b0002s263688301.log 1198982 q2-extractinstructions-02.txt 20141214_170507 0.4
20141213_201834 50 8 2 100000 420477893 101 10000 0 9978 4378 101 9 10000 4 149564 64237 4629 83 513.824 364.169 ../q2/d50aunif10000s4/logb0002/c08d50b0002s420477893.log 1199135 q2-extractinstructions-02.txt 20141214_170510 0.4
20141213_201937 50 8 2 100000 50746969 99 10000 0 9977 4481 99 9 10000 4 149115 63872 4718 85 461.206 367.617 ../q2/d50aunif10000s4/logb0002/c08d50b0002s50746969.log 1198994 q2-extractinstructions-02.txt 20141214_170513 0.4
20141213_202704 50 8 2 100000 533657980 80 10000 0 9979 4543 80 9 10000 4 149374 63801 4808 74 824.362 374.855 ../q2/d50aunif10000s4/logb0002/c08d50b0002s533657980.log 1198965 q2-extractinstructions-02.txt 20141214_170517 0.4
20141213_201003 50 8 2 100000 681028781 90 10000 0 9971 4492 90 9 10000 4 148669 63747 4745 79 1016.458 362.656 ../q2/d50aunif10000s4/logb0002/c08d50b0002s681028781.log 1199016 q2-extractinstructions-02.txt 20141214_170520 0.4
20141213_200404 50 8 2 100000 919028296 97 10000 0 9976 4390 97 9 10000 4 149088 63942 4643 83 857.106 367.49 ../q2/d50aunif10000s4/logb0002/c08d50b0002s919028296.log 1199110 q2-extractinstructions-02.txt 20141214_170523 0.4
20141213_201653 50 8 2 100000 967561224 89 10000 0 9991 4497 89 9 10000 4 149223 63877 4747 74 691.424 370.252 ../q2/d50aunif10000s4/logb0002/c08d50b0002s967561224.log 1199018 q2-extractinstructions-02.txt 20141214_170526 0.4
20141213_202727 50 10 2 100000 103765041 40 10000 0 9990 4385 40 9 10000 4 186597 69238 4613 36 794.318 460.39 ../q2/d50aunif10000s4/logb0002/c10d50b0002s103765041.log 1201012 q2-extractinstructions-02.txt 20141214_170529 0.4
20141213_204054 50 10 2 100000 105731136 44 10000 0 9987 4409 44 9 10000 4 187681 69826 4579 36 813.669 477.706 ../q2/d50aunif10000s4/logb0002/c10d50b0002s105731136.log 1201065 q2-extractinstructions-02.txt 20141214_170533 0.4
20141213_203655 50 10 2 100000 117661523 36 10000 0 9989 4461 36 9 10000 4 186605 69499 4670 31 825.048 454.447 ../q2/d50aunif10000s4/logb0002/c10d50b0002s117661523.log 1200983 q2-extractinstructions-02.txt 20141214_170536 0.4
20141213_202739 50 10 2 100000 141246882 39 10000 0 9995 4455 39 9 10000 4 186568 69540 4598 30 1377.176 471.794 ../q2/d50aunif10000s4/logb0002/c10d50b0002s141246882.log 1201013 q2-extractinstructions-02.txt 20141214_170539 0.4
20141213_204357 50 10 2 100000 263688301 48 10000 0 9983 4377 48 9 10000 4 187132 69589 4568 39 852.944 481.17 ../q2/d50aunif10000s4/logb0002/c10d50b0002s263688301.log 1201054 q2-extractinstructions-02.txt 20141214_170542 0.4
20141213_204117 50 10 2 100000 420477893 40 10000 0 9982 4462 40 9 10000 4 186926 69621 4626 38 787.307 474.118 ../q2/d50aunif10000s4/logb0002/c10d50b0002s420477893.log 1200986 q2-extractinstructions-02.txt 20141214_170546 0.4
20141213_205044 50 10 2 100000 50746969 44 10000 0 9983 4349 44 9 10000 4 187624 69743 4575 37 576.090 468.627 ../q2/d50aunif10000s4/logb0002/c10d50b0002s50746969.log 1201126 q2-extractinstructions-02.txt 20141214_170549 0.4
20141213_205053 50 10 2 100000 533657980 35 10000 0 9989 4357 35 9 10000 4 186511 69414 4580 28 565.616 461.107 ../q2/d50aunif10000s4/logb0002/c10d50b0002s533657980.log 1201038 q2-extractinstructions-02.txt 20141214_170552 0.4
