timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion
20141216_181445 50 1 2 100000 103765041 9156 10000 844 0 0 9156 9 10000 4 0 0 0 9097 45.396 33.946 ../q2/d50aunif10000s4/logb0002/c01d50b0002s103765041.log 1097871 q2-extractinstructions-02.txt 20141217_170929 0.4
20141216_181549 50 1 2 100000 105731136 9223 10000 777 0 0 9223 9 10000 4 0 0 0 9173 42.539 33.838 ../q2/d50aunif10000s4/logb0002/c01d50b0002s105731136.log 1105832 q2-extractinstructions-02.txt 20141217_170932 0.4
20141216_181542 50 1 2 100000 117661523 9176 10000 824 0 0 9176 9 10000 4 0 0 0 9127 44.675 33.914 ../q2/d50aunif10000s4/logb0002/c01d50b0002s117661523.log 1100244 q2-extractinstructions-02.txt 20141217_170935 0.4
20141216_181451 50 1 2 100000 141246882 9160 10000 840 0 0 9160 9 10000 4 0 0 0 9120 42.653 33.805 ../q2/d50aunif10000s4/logb0002/c01d50b0002s141246882.log 1098339 q2-extractinstructions-02.txt 20141217_170939 0.4
20141216_181646 50 1 2 100000 263688301 9200 10000 800 0 0 9200 9 10000 4 0 0 0 9163 43.510 33.993 ../q2/d50aunif10000s4/logb0002/c01d50b0002s263688301.log 1103133 q2-extractinstructions-02.txt 20141217_170942 0.4
20141216_181640 50 1 2 100000 420477893 9202 10000 798 0 0 9202 9 10000 4 0 0 0 9159 47.248 34.633 ../q2/d50aunif10000s4/logb0002/c01d50b0002s420477893.log 1103355 q2-extractinstructions-02.txt 20141217_170945 0.4
20141216_181732 50 1 2 100000 50746969 9169 10000 831 0 0 9169 9 10000 4 0 0 0 9120 47.722 34.101 ../q2/d50aunif10000s4/logb0002/c01d50b0002s50746969.log 1099425 q2-extractinstructions-02.txt 20141217_170948 0.4
20141216_181738 50 1 2 100000 533657980 9125 10000 875 0 0 9125 9 10000 4 0 0 0 9078 45.520 34.086 ../q2/d50aunif10000s4/logb0002/c01d50b0002s533657980.log 1094188 q2-extractinstructions-02.txt 20141217_170951 0.4
20141216_181537 50 1 2 100000 681028781 9186 10000 814 0 0 9186 9 10000 4 0 0 0 9124 46.986 34.335 ../q2/d50aunif10000s4/logb0002/c01d50b0002s681028781.log 1101445 q2-extractinstructions-02.txt 20141217_170955 0.4
20141216_181439 50 1 2 100000 919028296 9211 10000 789 0 0 9211 9 10000 4 0 0 0 9159 47.981 33.463 ../q2/d50aunif10000s4/logb0002/c01d50b0002s919028296.log 1104414 q2-extractinstructions-02.txt 20141217_170958 0.4
20141216_181634 50 1 2 100000 967561224 9158 10000 842 0 0 9158 9 10000 4 0 0 0 9125 51.138 33.945 ../q2/d50aunif10000s4/logb0002/c01d50b0002s967561224.log 1098107 q2-extractinstructions-02.txt 20141217_171001 0.4
20141216_181831 50 2 2 100000 103765041 4127 10000 58 8314 0 4127 9 10000 4 24700 24700 0 3975 89.854 73.757 ../q2/d50aunif10000s4/logb0002/c02d50b0002s103765041.log 1189507 q2-extractinstructions-02.txt 20141217_171004 0.4
