timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost walltime cputime
20141130_141257 50 1 2 100000 103765041 9184 10000 816 0 0 9184 8 10000 1 0 0 0 8948 58.204 30.419
20141130_141400 50 1 2 100000 105731136 9213 10000 787 0 0 9213 8 10000 1 0 0 0 8997 96.982 29.998
20141130_141328 50 1 2 100000 117661523 9151 10000 849 0 0 9151 8 10000 1 0 0 0 8949 125.142 30.171
20141130_141306 50 1 2 100000 141246882 9183 10000 817 0 0 9183 8 10000 1 0 0 0 8955 52.238 31.621
20141130_141421 50 1 2 100000 263688301 9179 10000 821 0 0 9179 8 10000 1 0 0 0 8982 76.675 32.854
20141130_141414 50 1 2 100000 420477893 9143 10000 857 0 0 9143 8 10000 1 0 0 0 8955 83.899 30.606
20141130_141541 50 1 2 100000 50746969 9157 10000 843 0 0 9157 8 10000 1 0 0 0 8932 96.436 30.139
20141130_141547 50 1 2 100000 533657980 9199 10000 801 0 0 9199 8 10000 1 0 0 0 8980 93.104 31.497
20141130_141314 50 1 2 100000 681028781 9205 10000 795 0 0 9205 8 10000 1 0 0 0 8968 48.832 30.342
20141130_141250 50 1 2 100000 919028296 9180 10000 820 0 0 9180 8 10000 1 0 0 0 8940 64.338 30.389
20141130_141406 50 1 2 100000 967561224 9196 10000 804 0 0 9196 8 10000 1 0 0 0 8980 91.657 33.992
20141130_141604 50 2 2 100000 103765041 3969 10000 68 8639 0 3969 8 10000 1 25460 25460 0 3645 87.450 72.01
20141130_141743 50 2 2 100000 105731136 3969 10000 67 8690 0 3969 8 10000 1 25628 25628 0 3667 103.198 74.397
20141130_141735 50 2 2 100000 117661523 3974 10000 79 8617 0 3974 8 10000 1 25293 25293 0 3684 106.772 74.927
20141130_141617 50 2 2 100000 141246882 3974 10000 65 8664 0 3974 8 10000 1 25434 25434 0 3665 166.989 71.87
20141130_141933 50 2 2 100000 263688301 3929 10000 85 8651 0 3929 8 10000 1 25610 25610 0 3666 116.663 75.582
20141130_141908 50 2 2 100000 420477893 3840 10000 80 8669 0 3840 8 10000 1 25656 25656 0 3559 138.046 71.137
20141130_141940 50 2 2 100000 50746969 3955 10000 76 8691 0 3955 8 10000 1 25583 25583 0 3661 108.950 71.666
20141130_141952 50 2 2 100000 533657980 3888 10000 63 8704 0 3888 8 10000 1 25334 25334 0 3644 160.288 75.067
20141130_141730 50 2 2 100000 681028781 3987 10000 64 8662 0 3987 8 10000 1 25399 25399 0 3695 112.127 72.182
20141130_141557 50 2 2 100000 919028296 3881 10000 67 8686 0 3881 8 10000 1 25735 25735 0 3611 91.312 72.493
20141130_141748 50 2 2 100000 967561224 4001 10000 57 8677 0 4001 8 10000 1 25470 25470 0 3728 105.520 72.852
20141130_142129 50 3 2 100000 103765041 1001 10000 6 9709 6755 1001 8 10000 1 54691 34749 9971 915 186.509 125.503
20141130_142428 50 3 2 100000 105731136 1042 10000 4 9659 6732 1042 8 10000 1 54707 34883 9912 937 248.830 140.573
20141130_142246 50 3 2 100000 117661523 1055 10000 5 9662 6693 1055 8 10000 1 54250 34640 9805 961 337.204 128.981
20141130_142136 50 3 2 100000 141246882 989 10000 2 9686 6669 989 8 10000 1 54412 34684 9864 918 181.473 133.754
20141130_142505 50 3 2 100000 263688301 1004 10000 5 9667 6681 1004 8 10000 1 54597 34861 9868 895 446.810 141.072
20141130_142454 50 3 2 100000 420477893 1026 10000 4 9688 6771 1026 8 10000 1 54455 34561 9947 940 267.753 140.26
20141130_142830 50 3 2 100000 50746969 1037 10000 7 9686 6774 1037 8 10000 1 54201 34549 9826 954 303.476 143.489
20141130_142835 50 3 2 100000 533657980 1047 10000 1 9710 6737 1047 8 10000 1 54220 34588 9816 963 281.420 140.448
20141130_142143 50 3 2 100000 681028781 1061 10000 5 9639 6661 1061 8 10000 1 54039 34311 9864 987 183.949 125.317
20141130_142004 50 3 2 100000 919028296 1001 10000 5 9661 6765 1001 8 10000 1 54870 34918 9976 919 255.816 121.275
20141130_142451 50 3 2 100000 967561224 1017 10000 4 9690 6745 1017 8 10000 1 54998 34888 10055 928 217.275 119.529
20141130_142941 50 4 2 100000 103765041 231 10000 0 9954 2803 231 8 10000 1 77923 53149 2958 214 502.689 194.065
20141130_143354 50 4 2 100000 105731136 224 10000 0 9952 2942 224 8 10000 1 78165 53065 3124 200 265.727 190.976
20141130_143354 50 4 2 100000 117661523 189 10000 0 9958 2888 189 8 10000 1 77971 53101 2996 172 580.223 194.409
20141130_143237 50 4 2 100000 141246882 225 10000 0 9953 2885 225 8 10000 1 77701 52782 3076 210 340.724 203.426
20141130_143842 50 4 2 100000 263688301 236 10000 1 9950 2845 236 8 10000 1 77926 52975 3012 214 571.175 195.251
20141130_143826 50 4 2 100000 420477893 213 10000 1 9962 2888 213 8 10000 1 78087 52984 3063 193 312.320 176.905
20141130_143844 50 4 2 100000 50746969 232 10000 0 9951 2788 232 8 10000 1 77869 53261 2938 214 298.496 181.881
20141130_144341 50 4 2 100000 533657980 224 10000 0 9954 2813 224 8 10000 1 77553 52907 2963 196 392.436 185.173
20141130_143331 50 4 2 100000 681028781 222 10000 2 9955 2879 222 8 10000 1 78185 53204 3036 208 280.386 174.737
20141130_142852 50 4 2 100000 919028296 245 10000 1 9960 2904 245 8 10000 1 77898 53030 3022 229 285.019 175.656
20141130_143819 50 4 2 100000 967561224 229 10000 0 9957 2840 229 8 10000 1 78115 53255 2967 212 473.351 200.414
20141130_144400 50 5 2 100000 103765041 52 10000 0 9988 5362 52 8 10000 1 98751 57291 6701 45 487.134 246.981
20141130_145132 50 5 2 100000 105731136 50 10000 0 9989 5341 50 8 10000 1 99251 57576 6633 43 562.150 248.961
20141130_145027 50 5 2 100000 117661523 45 10000 0 9994 5357 45 8 10000 1 98717 57052 6727 42 396.251 226.904
20141130_144635 50 5 2 100000 141246882 57 10000 0 9992 5355 57 8 10000 1 98848 57311 6727 53 541.169 248.744
20141130_145657 50 5 2 100000 263688301 62 10000 0 9991 5283 62 8 10000 1 98844 57256 6718 56 429.663 250.725
20141130_145553 50 5 2 100000 420477893 53 10000 0 9989 5375 53 8 10000 1 99571 57385 6818 50 452.452 245.89
20141130_145722 50 5 2 100000 50746969 69 10000 0 9995 5373 69 8 10000 1 98694 57236 6655 65 410.497 242.862
20141130_150048 50 5 2 100000 533657980 51 10000 0 9986 5281 51 8 10000 1 98963 57293 6685 47 727.528 235.031
