Question 2 Summary losses (medians) with annual total audits
   docsize lifem   c1   c2   c3  c4 c5 c8 c10 c14 c16 c20
1       50     2 9183 3969 1026 225 52  0   0   0   0   0
2       50     3 8126 2118  349  58  8  0   0   0   0   0
3       50     5 6331  869   83   7  1  0   0   0   0   0
4       50    10 3947  238   11   1  0  0   0   0   0   0
5       50    20 2215   64    1   0  0  0   0   0   0   0
6       50    30 1546   28    0   0  0  0   0   0   0   0
7       50    50  946   10    0   0  0  0   0   0   0   0
8       50   100  486    3    0   0  0  0   0   0   0   0
9       50   200  246    1    0   0  0  0   0   0   0   0
10      50   300  171    0    0   0  0  0   0   0   0   0
11      50   500  105    0    0   0  0  0   0   0   0   0
12      50  1000   50    0    0   0  0  0   0   0   0   0
13      50  2000   25    0    0   0  0  0   0   0   0   0
14      50  3000   17    0    0   0  0  0   0   0   0   0
15      50  5000   11    0    0   0  0  0   0   0   0   0
16      50 10000    6    0    0   0  0  0   0   0   0   0

