timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion
20150201_143151 50 1 1 100000 103765041 9932 10000 68 0 0 9932 99 1000 1 0 0 0 9932 110.297 99.669 ../q2/d50a1000s1h10/logb0001/c01d50b0001s103765041.log 1190127 q2-extractinstructions-02.txt 20150202_135509 0.4
20150201_143556 50 1 1 100000 105731136 9935 10000 65 0 0 9935 99 1000 1 0 0 0 9935 110.688 99.825 ../q2/d50a1000s1h10/logb0001/c01d50b0001s105731136.log 1190489 q2-extractinstructions-02.txt 20150202_135512 0.4
20150201_143551 50 1 1 100000 117661523 9921 10000 79 0 0 9921 99 1000 1 0 0 0 9921 110.006 99.466 ../q2/d50a1000s1h10/logb0001/c01d50b0001s117661523.log 1188820 q2-extractinstructions-02.txt 20150202_135515 0.4
20150201_143348 50 1 1 100000 141246882 9935 10000 65 0 0 9935 99 1000 1 0 0 0 9935 111.867 99.841 ../q2/d50a1000s1h10/logb0001/c01d50b0001s141246882.log 1190484 q2-extractinstructions-02.txt 20150202_135519 0.4
20150201_143947 50 1 1 100000 263688301 9916 10000 84 0 0 9916 99 1000 1 0 0 0 9916 113.512 101.104 ../q2/d50a1000s1h10/logb0001/c01d50b0001s263688301.log 1188226 q2-extractinstructions-02.txt 20150202_135522 0.4
20150201_143749 50 1 1 100000 420477893 9920 10000 80 0 0 9920 99 1000 1 0 0 0 9920 110.709 100.637 ../q2/d50a1000s1h10/logb0001/c01d50b0001s420477893.log 1188707 q2-extractinstructions-02.txt 20150202_135525 0.4
20150201_143953 50 1 1 100000 50746969 9927 10000 73 0 0 9927 99 1000 1 0 0 0 9927 111.256 100.496 ../q2/d50a1000s1h10/logb0001/c01d50b0001s50746969.log 1189531 q2-extractinstructions-02.txt 20150202_135528 0.4
20150201_144150 50 1 1 100000 533657980 9937 10000 63 0 0 9937 99 1000 1 0 0 0 9937 109.537 99.262 ../q2/d50a1000s1h10/logb0001/c01d50b0001s533657980.log 1190726 q2-extractinstructions-02.txt 20150202_135532 0.4
20150201_143354 50 1 1 100000 681028781 9936 10000 64 0 0 9936 99 1000 1 0 0 0 9936 110.734 100.278 ../q2/d50a1000s1h10/logb0001/c01d50b0001s681028781.log 1190609 q2-extractinstructions-02.txt 20150202_135535 0.4
20150201_143145 50 1 1 100000 919028296 9934 10000 66 0 0 9934 99 1000 1 0 0 0 9934 113.114 99.529 ../q2/d50a1000s1h10/logb0001/c01d50b0001s919028296.log 1190364 q2-extractinstructions-02.txt 20150202_135538 0.4
