timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion
20150130_201115 50 1 1 100000 103765041 9932 10000 68 0 0 9932 19 5000 1 0 0 0 9932 73.741 61.838 ../q2/d50a5000s1/logb0001/c01d50b0001s103765041.log 1190121 q2-extractinstructions-02.txt 20150201_125045 0.4
20150130_201250 50 1 1 100000 105731136 9935 10000 65 0 0 9935 19 5000 1 0 0 0 9935 77.610 61.651 ../q2/d50a5000s1/logb0001/c01d50b0001s105731136.log 1190483 q2-extractinstructions-02.txt 20150201_125048 0.4
20150130_201232 50 1 1 100000 117661523 9921 10000 79 0 0 9921 19 5000 1 0 0 0 9921 74.982 61.589 ../q2/d50a5000s1/logb0001/c01d50b0001s117661523.log 1188814 q2-extractinstructions-02.txt 20150201_125051 0.4
20150130_201122 50 1 1 100000 141246882 9935 10000 65 0 0 9935 19 5000 1 0 0 0 9935 75.249 61.651 ../q2/d50a5000s1/logb0001/c01d50b0001s141246882.log 1190478 q2-extractinstructions-02.txt 20150201_125055 0.4
20150130_201418 50 1 1 100000 263688301 9916 10000 84 0 0 9916 19 5000 1 0 0 0 9916 84.774 61.371 ../q2/d50a5000s1/logb0001/c01d50b0001s263688301.log 1188218 q2-extractinstructions-02.txt 20150201_125058 0.4
20150130_201351 50 1 1 100000 420477893 9920 10000 80 0 0 9920 19 5000 1 0 0 0 9920 73.277 61.355 ../q2/d50a5000s1/logb0001/c01d50b0001s420477893.log 1188699 q2-extractinstructions-02.txt 20150201_125101 0.4
20150130_201503 50 1 1 100000 50746969 9927 10000 73 0 0 9927 19 5000 1 0 0 0 9927 76.597 61.589 ../q2/d50a5000s1/logb0001/c01d50b0001s50746969.log 1189523 q2-extractinstructions-02.txt 20150201_125104 0.4
20150130_201509 50 1 1 100000 533657980 9937 10000 63 0 0 9937 19 5000 1 0 0 0 9937 75.249 61.199 ../q2/d50a5000s1/logb0001/c01d50b0001s533657980.log 1190720 q2-extractinstructions-02.txt 20150201_125107 0.4
20150130_201228 50 1 1 100000 681028781 9936 10000 64 0 0 9936 19 5000 1 0 0 0 9936 74.825 61.261 ../q2/d50a5000s1/logb0001/c01d50b0001s681028781.log 1190601 q2-extractinstructions-02.txt 20150201_125111 0.4
20150130_201109 50 1 1 100000 919028296 9934 10000 66 0 0 9934 19 5000 1 0 0 0 9934 74.858 61.464 ../q2/d50a5000s1/logb0001/c01d50b0001s919028296.log 1190358 q2-extractinstructions-02.txt 20150201_125114 0.4
20150130_201345 50 1 1 100000 967561224 9944 10000 56 0 0 9944 19 5000 1 0 0 0 9944 74.411 61.557 ../q2/d50a5000s1/logb0001/c01d50b0001s967561224.log 1191550 q2-extractinstructions-02.txt 20150201_125117 0.4
20150130_201622 50 2 1 100000 103765041 6304 10000 0 8692 0 6304 19 5000 1 44453 44453 0 6273 163.599 145.549 ../q2/d50a5000s1/logb0001/c02d50b0001s103765041.log 1194449 q2-extractinstructions-02.txt 20150201_125120 0.4
20150130_201920 50 2 1 100000 105731136 6388 10000 0 8776 0 6388 19 5000 1 44170 44170 0 6386 165.288 150.214 ../q2/d50a5000s1/logb0001/c02d50b0001s105731136.log 1194283 q2-extractinstructions-02.txt 20150201_125123 0.4
20150130_201913 50 2 1 100000 117661523 6311 10000 0 8712 0 6311 19 5000 1 44317 44317 0 6288 162.866 145.689 ../q2/d50a5000s1/logb0001/c02d50b0001s117661523.log 1194432 q2-extractinstructions-02.txt 20150201_125126 0.4
20150130_201628 50 2 1 100000 141246882 6348 10000 0 8736 0 6348 19 5000 1 44371 44371 0 6330 160.234 145.846 ../q2/d50a5000s1/logb0001/c02d50b0001s141246882.log 1194378 q2-extractinstructions-02.txt 20150201_125130 0.4
20150130_202210 50 2 1 100000 263688301 6375 10000 1 8722 0 6375 19 5000 1 44341 44341 0 6372 166.708 151.087 ../q2/d50a5000s1/logb0001/c02d50b0001s263688301.log 1194279 q2-extractinstructions-02.txt 20150201_125133 0.4
20150130_202204 50 2 1 100000 420477893 6333 10000 1 8784 0 6333 19 5000 1 44603 44603 0 6304 164.447 146.157 ../q2/d50a5000s1/logb0001/c02d50b0001s420477893.log 1194220 q2-extractinstructions-02.txt 20150201_125136 0.4
