timestamp docsize copies lifem seed lost auditinterval auditrepairs auditlosses auditforensics ndocs nokay nmajority nminority walltime cputime logfilename
20140809_131636 50 1 2 103765041 9157 0 0 0 0 10000 843 0 0 28.791 27.05 ../Q0b/v4d50/logb0002/c01d50b0002s103765041.log
20140809_131706 50 1 2 105731136 9195 0 0 0 0 10000 805 0 0 32.012 28.408 ../Q0b/v4d50/logb0002/c01d50b0002s105731136.log
20140809_131659 50 1 2 117661523 9120 0 0 0 0 10000 880 0 0 31.279 28.08 ../Q0b/v4d50/logb0002/c01d50b0002s117661523.log
20140809_131642 50 1 2 141246882 9135 0 0 0 0 10000 865 0 0 28.769 26.863 ../Q0b/v4d50/logb0002/c01d50b0002s141246882.log
20140809_131733 50 1 2 263688301 9207 0 0 0 0 10000 793 0 0 33.776 28.735 ../Q0b/v4d50/logb0002/c01d50b0002s263688301.log
20140809_131721 50 1 2 420477893 9221 0 0 0 0 10000 779 0 0 33.506 28.672 ../Q0b/v4d50/logb0002/c01d50b0002s420477893.log
20140809_131740 50 1 2 50746969 9150 0 0 0 0 10000 850 0 0 33.764 28.283 ../Q0b/v4d50/logb0002/c01d50b0002s50746969.log
20140809_131748 50 1 2 533657980 9192 0 0 0 0 10000 808 0 0 31.521 28.33 ../Q0b/v4d50/logb0002/c01d50b0002s533657980.log
20140809_131647 50 1 2 681028781 9215 0 0 0 0 10000 785 0 0 31.461 28.595 ../Q0b/v4d50/logb0002/c01d50b0002s681028781.log
20140809_131629 50 1 2 919028296 9190 0 0 0 0 10000 810 0 0 28.741 27.206 ../Q0b/v4d50/logb0002/c01d50b0002s919028296.log
20140809_131713 50 1 2 967561224 9190 0 0 0 0 10000 810 0 0 31.524 27.706 ../Q0b/v4d50/logb0002/c01d50b0002s967561224.log
20140809_131808 50 2 2 103765041 8391 0 0 0 0 10000 46 1563 0 62.378 56.222 ../Q0b/v4d50/logb0002/c02d50b0002s103765041.log
20140809_131849 50 2 2 105731136 8420 0 0 0 0 10000 71 1509 0 79.729 57.439 ../Q0b/v4d50/logb0002/c02d50b0002s105731136.log
20140809_131840 50 2 2 117661523 8329 0 0 0 0 10000 85 1586 0 70.790 55.146 ../Q0b/v4d50/logb0002/c02d50b0002s117661523.log
20140809_131815 50 2 2 141246882 8377 0 0 0 0 10000 86 1537 0 63.773 55.038 ../Q0b/v4d50/logb0002/c02d50b0002s141246882.log
