timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150609_200958 5 1 1 100 100000 919028296 53 10000 9947 0 0 53 0 0 0 0 0 0 0 0 50 100 0 0 1.479 0.109 ../q3/./log/doc5cop1shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed919028296.log 35467 q3-extractinstructions.txt 20150609_201005 0.5 557763337768391ad80a3145
20150609_201003 5 1 1 100 100000 103765041 51 10000 9949 0 0 51 0 0 0 0 0 0 0 0 50 100 0 0 1.418 0.109 ../q3/./log/doc5cop1shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed103765041.log 34481 q3-extractinstructions.txt 20150609_201010 0.5 557763337768391ad80a3146
20150609_201008 5 1 1 100 100000 141246882 37 10000 9963 0 0 37 0 0 0 0 0 0 0 0 50 100 0 0 1.371 0.062 ../q3/./log/doc5cop1shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed141246882.log 27461 q3-extractinstructions.txt 20150609_201015 0.5 557763337768391ad80a3147
20150609_201013 5 1 1 100 100000 681028781 45 10000 9955 0 0 45 0 0 0 0 0 0 0 0 50 100 0 0 1.411 0.046 ../q3/./log/doc5cop1shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed681028781.log 31452 q3-extractinstructions.txt 20150609_201020 0.5 557763337768391ad80a3148
20150609_201018 5 1 1 100 100000 117661523 67 10000 9933 0 0 67 0 0 0 0 0 0 0 0 50 100 0 0 1.457 0.078 ../q3/./log/doc5cop1shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed117661523.log 41536 q3-extractinstructions.txt 20150609_201025 0.5 557763337768391ad80a3149
20150609_201023 5 1 1 100 100000 105731136 44 10000 9956 0 0 44 0 0 0 0 0 0 0 0 50 100 0 0 1.389 0.062 ../q3/./log/doc5cop1shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed105731136.log 30601 q3-extractinstructions.txt 20150609_201030 0.5 557763337768391ad80a314a
20150609_201028 5 1 1 100 100000 967561224 41 10000 9959 0 0 41 0 0 0 0 0 0 0 0 50 100 0 0 1.385 0.078 ../q3/./log/doc5cop1shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed967561224.log 29032 q3-extractinstructions.txt 20150609_201035 0.5 557763337768391ad80a314b
20150609_201033 5 1 1 100 100000 420477893 44 10000 9956 0 0 44 0 0 0 0 0 0 0 0 50 100 0 0 1.410 0.078 ../q3/./log/doc5cop1shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed420477893.log 30889 q3-extractinstructions.txt 20150609_201040 0.5 557763337768391ad80a314c
20150609_201038 5 1 1 100 100000 263688301 47 10000 9953 0 0 47 0 0 0 0 0 0 0 0 50 100 0 0 1.399 0.063 ../q3/./log/doc5cop1shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed263688301.log 32357 q3-extractinstructions.txt 20150609_201045 0.5 557763337768391ad80a314d
20150609_201043 5 1 1 100 100000 50746969 47 10000 9953 0 0 47 0 0 0 0 0 0 0 0 50 100 0 0 1.417 0.062 ../q3/./log/doc5cop1shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed50746969.log 32543 q3-extractinstructions.txt 20150609_201050 0.5 557763337768391ad80a314e
20150609_201048 5 1 1 100 100000 533657980 55 10000 9945 0 0 55 0 0 0 0 0 0 0 0 50 100 0 0 1.436 0.094 ../q3/./log/doc5cop1shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed533657980.log 36442 q3-extractinstructions.txt 20150609_201055 0.5 557763337768391ad80a314f
20150609_201053 5 1 2 100 100000 919028296 0 10000 9898 102 0 0 0 0 0 0 0 0 0 0 50 100 0 0 2.176 0.172 ../q3/./log/doc5cop2shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed919028296.log 53415 q3-extractinstructions.txt 20150609_201101 0.5 557763337768391ad80a3150
20150609_201059 5 1 2 100 100000 103765041 1 10000 9901 98 0 1 0 0 0 0 0 0 0 0 50 100 0 0 2.149 0.093 ../q3/./log/doc5cop2shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed103765041.log 52304 q3-extractinstructions.txt 20150609_201106 0.5 557763337768391ad80a3151
20150609_201104 5 1 2 100 100000 141246882 0 10000 9917 83 0 0 0 0 0 0 0 0 0 0 50 100 0 0 2.099 0.156 ../q3/./log/doc5cop2shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed141246882.log 44263 q3-extractinstructions.txt 20150609_201111 0.5 557763337768391ad80a3152
