[1] "Question 0 Summary losses (medians)"
   docsize berid   c1   c2   c3   c4   c5  c8 c10 c14 c16 c20
1        5     1 3919 1568  624  250  104   8   1   0   0   0
2        5     2 2239  516  112   25    5   0   0   0   0   0
3        5     3 1540  244   37    4    1   0   0   0   0   0
4        5     5  945   93    8    0    0   0   0   0   0   0
5        5    10  477   26    2    0    0   0   0   0   0   0
6        5    20  235    6    0    0    0   0   0   0   0   0
7        5    30  162    2    0    0    0   0   0   0   0   0
8        5    50   92    1    0    0    0   0   0   0   0   0
9        5   100   46    0    0    0    0   0   0   0   0   0
10       5   200   23    0    0    0    0   0   0   0   0   0
11       5   300   15    0    0    0    0   0   0   0   0   0
12       5   500   10    0    0    0    0   0   0   0   0   0
13       5  1000    5    0    0    0    0   0   0   0   0   0
14      50    10 3917 1543  617  236   90   4   1   0   0   0
15      50    20 2221  483  108   24    4   0   0   0   0   0
16      50    30 1541  241   34    6    1   0   0   0   0   0
17      50    50  938   89    8    1    0   0   0   0   0   0
18      50   100  474   18    1    0    0   0   0   0   0   0
19      50   200  244    4    0    0    0   0   0   0   0   0
20      50   300  162    2    0    0    0   0   0   0   0   0
21      50   500   98    1    0    0    0   0   0   0   0   0
22      50  1000   47    0    0    0    0   0   0   0   0   0
23      50  2000   24    0    0    0    0   0   0   0   0   0
24      50  3000   16    0    0    0    0   0   0   0   0   0
25     500    50 6331 3996 2519 1581 1007 253 100  16   8   1
26     500   100 3936 1539  612  244   93   4   0   0   0   0
27     500   200 2189  488  108   23    5   0   0   0   0   0
28     500   300 1530  229   37    7    1   0   0   0   0   0
29     500   500  945   90    8    1    0   0   0   0   0   0
30     500  1000  493   21    1    0    0   0   0   0   0   0
31     500  2000  247    8    0    0    0   0   0   0   0   0
32     500  3000  166    3    0    0    0   0   0   0   0   0
33     500  5000  105    1    0    0    0   0   0   0   0   0
34    5000   500 6348 4015 2544 1615  997 252 101  15   6   0
35    5000  1000 3928 1563  607  250   91   5   1   0   0   0
36    5000  2000 2211  488  105   24    5   0   0   0   0   0
37    5000  3000 1551  244   34    5    1   0   0   0   0   0
38    5000  5000  967   96    8    1    0   0   0   0   0   0
39    5000 10000  493   24    1    0    0   0   0   0   0   0
[1] "Question 0 Summary losses (trimeans)"
   docsize berid       c1       c2      c3       c4      c5      c8   c10  c14   c16  c20
1        5     1 3926.125   1570.5  623.75    250.5 104.375   8.125     1    0     0    0
2        5     2     2233   513.25   112.5     25.5    5.25       0     0    0     0    0
3        5     3 1533.625   244.25   36.75    3.875       1       0     0    0     0    0
4        5     5  942.375   92.875     8.5    0.375       0       0     0    0     0    0
5        5    10      477       26    1.75        0       0       0     0    0     0    0
6        5    20  238.125     6.25       0        0       0       0     0    0     0    0
7        5    30  160.625      2.5       0        0       0       0     0    0     0    0
8        5    50   93.375    0.875       0        0       0       0     0    0     0    0
9        5   100     46.5        0       0        0       0       0     0    0     0    0
10       5   200   23.875        0       0        0       0       0     0    0     0    0
11       5   300   15.125        0       0        0       0       0     0    0     0    0
12       5   500    10.25        0       0        0       0       0     0    0     0    0
13       5  1000    5.375        0       0        0       0       0     0    0     0    0
14      50    10  3912.25  1535.75 614.625    237.5    92.5       4 0.875    0     0    0
15      50    20     2218  481.625 108.875   24.125       4       0     0    0     0    0
16      50    30 1539.375  237.125   34.75     5.75    0.75       0     0    0     0    0
17      50    50  940.125     88.5   7.875    0.875       0       0     0    0     0    0
18      50   100  476.625   18.875   0.875        0       0       0     0    0     0    0
19      50   200   243.75     3.75       0        0       0       0     0    0     0    0
20      50   300  161.875    1.875       0        0       0       0     0    0     0    0
21      50   500   97.375        1       0        0       0       0     0    0     0    0
22      50  1000   47.625    0.125       0        0       0       0     0    0     0    0
23      50  2000     23.5        0       0        0       0       0     0    0     0    0
24      50  3000       16        0       0        0       0       0     0    0     0    0
25     500    50  6320.25   3994.5 2520.25 1581.375 1007.25 252.375   100 16.5 7.875    1
26     500   100 3937.375   1539.5 613.125      245   92.75   4.375 0.375    0     0    0
27     500   200   2191.5   487.25 107.875   23.875       5       0     0    0     0    0
28     500   300 1531.125  231.875  35.125        7    0.75       0     0    0     0    0
29     500   500  948.375     88.5   8.125    1.125       0       0     0    0     0    0
30     500  1000  489.375   22.375    0.75        0       0       0     0    0     0    0
31     500  2000  248.375        8       0        0       0       0     0    0     0    0
32     500  3000   166.75        3       0        0       0       0     0    0     0    0
33     500  5000      105        1       0        0       0       0     0    0     0    0
34    5000   500 6348.875     4010    2539   1613.5 996.625 252.625   100   15  5.75 0.25
35    5000  1000 3930.375 1561.125 605.625  247.125   92.75    5.25     1    0     0    0
36    5000  2000   2212.5  484.625 105.625   23.875   5.375       0     0    0     0    0
37    5000  3000 1548.625      243  35.875     5.25    0.75       0     0    0     0    0
38    5000  5000  964.375   96.625   8.125     0.75       0       0     0    0     0    0
39    5000 10000  490.875     24.5    1.25        0       0       0     0    0     0    0
> 
