timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion
20150124_165234 50 1 1 100000 103765041 9932 10000 68 0 0 9932 9 10000 1 0 0 0 9932 64.992 56.581 ../q2/d50a10000s1/logb0001/c01d50b0001s103765041.log 1190124 q2-extractinstructions-02.txt 20150129_172745 0.4
20150124_165357 50 1 1 100000 105731136 9935 10000 65 0 0 9935 9 10000 1 0 0 0 9935 64.702 56.738 ../q2/d50a10000s1/logb0001/c01d50b0001s105731136.log 1190486 q2-extractinstructions-02.txt 20150129_172748 0.4
20150124_165351 50 1 1 100000 117661523 9921 10000 79 0 0 9921 9 10000 1 0 0 0 9921 66.179 56.94 ../q2/d50a10000s1/logb0001/c01d50b0001s117661523.log 1188815 q2-extractinstructions-02.txt 20150129_172751 0.4
20150124_165240 50 1 1 100000 141246882 9935 10000 65 0 0 9935 9 10000 1 0 0 0 9935 63.430 56.41 ../q2/d50a10000s1/logb0001/c01d50b0001s141246882.log 1190479 q2-extractinstructions-02.txt 20150129_172754 0.4
20150124_165514 50 1 1 100000 263688301 9916 10000 84 0 0 9916 9 10000 1 0 0 0 9916 66.296 57.626 ../q2/d50a10000s1/logb0001/c01d50b0001s263688301.log 1188221 q2-extractinstructions-02.txt 20150129_172757 0.4
20150124_165508 50 1 1 100000 420477893 9920 10000 80 0 0 9920 9 10000 1 0 0 0 9920 68.097 57.579 ../q2/d50a10000s1/logb0001/c01d50b0001s420477893.log 1188702 q2-extractinstructions-02.txt 20150129_172801 0.4
20150124_165619 50 1 1 100000 50746969 9927 10000 73 0 0 9927 9 10000 1 0 0 0 9927 68.814 57.236 ../q2/d50a10000s1/logb0001/c01d50b0001s50746969.log 1189526 q2-extractinstructions-02.txt 20150129_172804 0.4
20150124_165625 50 1 1 100000 533657980 9937 10000 63 0 0 9937 9 10000 1 0 0 0 9937 67.347 57.47 ../q2/d50a10000s1/logb0001/c01d50b0001s533657980.log 1190721 q2-extractinstructions-02.txt 20150129_172807 0.4
20150124_165346 50 1 1 100000 681028781 9936 10000 64 0 0 9936 9 10000 1 0 0 0 9936 67.619 56.675 ../q2/d50a10000s1/logb0001/c01d50b0001s681028781.log 1190604 q2-extractinstructions-02.txt 20150129_172810 0.4
20150124_165229 50 1 1 100000 919028296 9934 10000 66 0 0 9934 9 10000 1 0 0 0 9934 66.427 56.441 ../q2/d50a10000s1/logb0001/c01d50b0001s919028296.log 1190361 q2-extractinstructions-02.txt 20150129_172813 0.4
20150124_165503 50 1 1 100000 967561224 9944 10000 56 0 0 9944 9 10000 1 0 0 0 9944 70.937 57.751 ../q2/d50a10000s1/logb0001/c01d50b0001s967561224.log 1191553 q2-extractinstructions-02.txt 20150129_172816 0.4
20150124_165738 50 2 1 100000 103765041 8171 10000 0 7548 0 8171 9 10000 1 25198 25198 0 8171 138.384 125.908 ../q2/d50a10000s1/logb0001/c02d50b0001s103765041.log 1193176 q2-extractinstructions-02.txt 20150129_172820 0.4
20150124_170011 50 2 1 100000 105731136 8110 10000 0 7549 0 8110 9 10000 1 25311 25311 0 8110 137.054 125.83 ../q2/d50a10000s1/logb0001/c02d50b0001s105731136.log 1193238 q2-extractinstructions-02.txt 20150129_172823 0.4
20150124_170006 50 2 1 100000 117661523 8111 10000 0 7516 0 8111 9 10000 1 25120 25120 0 8111 138.479 125.878 ../q2/d50a10000s1/logb0001/c02d50b0001s117661523.log 1193271 q2-extractinstructions-02.txt 20150129_172826 0.4
20150124_165743 50 2 1 100000 141246882 8151 10000 0 7481 0 8151 9 10000 1 25016 25016 0 8151 136.772 125.939 ../q2/d50a10000s1/logb0001/c02d50b0001s141246882.log 1193273 q2-extractinstructions-02.txt 20150129_172829 0.4
20150124_170239 50 2 1 100000 263688301 8148 10000 1 7558 0 8148 9 10000 1 25122 25122 0 8148 140.415 126.564 ../q2/d50a10000s1/logb0001/c02d50b0001s263688301.log 1193071 q2-extractinstructions-02.txt 20150129_172832 0.4
20150124_170234 50 2 1 100000 420477893 8148 10000 1 7616 0 8148 9 10000 1 25376 25376 0 8148 142.241 126.58 ../q2/d50a10000s1/logb0001/c02d50b0001s420477893.log 1193015 q2-extractinstructions-02.txt 20150129_172835 0.4
20150124_170417 50 2 1 100000 50746969 8159 10000 0 7529 0 8159 9 10000 1 25140 25140 0 8159 142.518 127.609 ../q2/d50a10000s1/logb0001/c02d50b0001s50746969.log 1193204 q2-extractinstructions-02.txt 20150129_172838 0.4
20150124_170503 50 2 1 100000 533657980 8130 10000 0 7572 0 8130 9 10000 1 25389 25389 0 8130 142.663 128.123 ../q2/d50a10000s1/logb0001/c02d50b0001s533657980.log 1193201 q2-extractinstructions-02.txt 20150129_172841 0.4
20150124_165910 50 2 1 100000 681028781 8109 10000 2 7517 0 8109 9 10000 1 25048 25048 0 8109 138.453 125.253 ../q2/d50a10000s1/logb0001/c02d50b0001s681028781.log 1193035 q2-extractinstructions-02.txt 20150129_172845 0.4
20150124_165631 50 2 1 100000 919028296 8149 10000 1 7541 0 8149 9 10000 1 25194 25194 0 8149 149.449 135.237 ../q2/d50a10000s1/logb0001/c02d50b0001s919028296.log 1193090 q2-extractinstructions-02.txt 20150129_172848 0.4
20150124_170139 50 2 1 100000 967561224 8194 10000 0 7529 0 8194 9 10000 1 25157 25157 0 8194 148.967 135.69 ../q2/d50a10000s1/logb0001/c02d50b0001s967561224.log 1193178 q2-extractinstructions-02.txt 20150129_172851 0.4
20150124_170647 50 3 1 100000 103765041 4670 10000 0 8746 8039 4670 9 10000 1 70289 30583 19853 4320 241.178 222.692 ../q2/d50a10000s1/logb0001/c03d50b0001s103765041.log 1188101 q2-extractinstructions-02.txt 20150129_172854 0.4
20150124_171205 50 3 1 100000 105731136 4693 10000 0 8688 8057 4693 9 10000 1 70252 30514 19869 4381 245.924 225.905 ../q2/d50a10000s1/logb0001/c03d50b0001s105731136.log 1188122 q2-extractinstructions-02.txt 20150129_172857 0.4
20150124_171058 50 3 1 100000 117661523 4630 10000 0 8785 8123 4630 9 10000 1 71125 31135 19995 4287 247.241 226.545 ../q2/d50a10000s1/logb0001/c03d50b0001s117661523.log 1188022 q2-extractinstructions-02.txt 20150129_172900 0.4
20150124_170733 50 3 1 100000 141246882 4673 10000 0 8733 8070 4673 9 10000 1 70723 30979 19872 4315 260.141 241.739 ../q2/d50a10000s1/logb0001/c03d50b0001s141246882.log 1188082 q2-extractinstructions-02.txt 20150129_172903 0.4
20150124_171617 50 3 1 100000 263688301 4688 10000 0 8800 8101 4688 9 10000 1 71177 30809 20184 4346 242.960 224.61 ../q2/d50a10000s1/logb0001/c03d50b0001s263688301.log 1187967 q2-extractinstructions-02.txt 20150129_172906 0.4
20150124_171510 50 3 1 100000 420477893 4663 10000 0 8742 8120 4663 9 10000 1 70924 30942 19991 4297 243.664 224.749 ../q2/d50a10000s1/logb0001/c03d50b0001s420477893.log 1188037 q2-extractinstructions-02.txt 20150129_172909 0.4
20150124_182525 50 3 1 100000 50746969 4659 10000 0 8804 8157 4659 9 10000 1 71241 30861 20190 4296 806.918 282.69 ../q2/d50a10000s1/logb0001/c03d50b0001s50746969_LONGLOG.log 54094237 q2-extractinstructions-02.txt 20150129_173135 0.4
