timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150515_192631 50 1 3 100000 50746969 8138 10000 1862 0 0 8138 99 1000 1 0 0 0 8138 0 10 0 0 0 129.937 103.179 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf0i10d0m0_seed50746969.log 5944885 q3-extractinstructions.txt 20150515_192916 0.5 554fe34477683917c0a31a69
20150515_192339 50 1 3 100000 103765041 8104 10000 1896 0 0 8104 99 1000 1 0 0 0 8104 0 10 0 0 0 125.228 99.482 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf0i10d0m0_seed103765041.log 5921261 q3-extractinstructions.txt 20150515_192619 0.5 554fe34477683917c0a31a61
20150515_192359 50 1 3 100000 105731136 8146 10000 1854 0 0 8146 99 1000 1 0 0 0 8146 0 10 0 0 0 132.384 105.721 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf0i10d0m0_seed105731136.log 5950307 q3-extractinstructions.txt 20150515_192645 0.5 554fe34477683917c0a31a65
20150515_192354 50 1 3 100000 117661523 8062 10000 1938 0 0 8062 99 1000 1 0 0 0 8062 0 10 0 0 0 134.465 105.862 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf0i10d0m0_seed117661523.log 5884354 q3-extractinstructions.txt 20150515_192642 0.5 554fe34477683917c0a31a64
20150515_192344 50 1 3 100000 141246882 8123 10000 1877 0 0 8123 99 1000 1 0 0 0 8123 0 10 0 0 0 127.783 102.243 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf0i10d0m0_seed141246882.log 5936510 q3-extractinstructions.txt 20150515_192625 0.5 554fe34477683917c0a31a62
20150515_192626 50 1 3 100000 263688301 8140 10000 1860 0 0 8140 99 1000 1 0 0 0 8140 0 10 0 0 0 135.141 103.833 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf0i10d0m0_seed263688301.log 5951617 q3-extractinstructions.txt 20150515_192916 0.5 554fe34477683917c0a31a68
20150515_192410 50 1 3 100000 420477893 8116 10000 1884 0 0 8116 99 1000 1 0 0 0 8116 0 10 0 0 0 133.663 106.409 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf0i10d0m0_seed420477893.log 5928285 q3-extractinstructions.txt 20150515_192657 0.5 554fe34477683917c0a31a67
20150515_192636 50 1 3 100000 533657980 8126 10000 1874 0 0 8126 99 1000 1 0 0 0 8126 0 10 0 0 0 130.175 102.477 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf0i10d0m0_seed533657980.log 5942233 q3-extractinstructions.txt 20150515_192921 0.5 554fe34477683917c0a31a6a
20150515_192349 50 1 3 100000 681028781 8160 10000 1840 0 0 8160 99 1000 1 0 0 0 8159 0 10 0 0 0 130.696 102.805 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf0i10d0m0_seed681028781.log 5966837 q3-extractinstructions.txt 20150515_192633 0.5 554fe34477683917c0a31a63
20150515_192334 50 1 3 100000 919028296 8107 10000 1893 0 0 8107 99 1000 1 0 0 0 8107 0 10 0 0 0 127.323 99.356 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf0i10d0m0_seed919028296.log 5929042 q3-extractinstructions.txt 20150515_192616 0.5 554fe34477683917c0a31a60
20150515_192404 50 1 3 100000 967561224 8160 10000 1840 0 0 8160 99 1000 1 0 0 0 8160 0 10 0 0 0 133.704 106.565 ../q3/./log/doc50cop1lif3_af1000s1tTOTAL_gf0i10d0m0_seed967561224.log 5956108 q3-extractinstructions.txt 20150515_192652 0.5 554fe34477683917c0a31a66
20150515_193352 50 2 3 100000 50746969 263 10000 369 9552 0 263 99 1000 1 31847 31847 0 261 0 10 0 0 0 283.434 192.379 ../q3/./log/doc50cop2lif3_af1000s1tTOTAL_gf0i10d0m0_seed50746969.log 22308577 q3-extractinstructions.txt 20150515_194045 0.5 554fe34477683917c0a31a74
20150515_192647 50 2 3 100000 103765041 287 10000 340 9556 0 287 99 1000 1 31489 31489 0 285 0 10 0 0 0 273.761 189.089 ../q3/./log/doc50cop2lif3_af1000s1tTOTAL_gf0i10d0m0_seed103765041.log 22099382 q3-extractinstructions.txt 20150515_193336 0.5 554fe34477683917c0a31a6c
20150515_192928 50 2 3 100000 105731136 267 10000 310 9594 0 267 99 1000 1 31813 31813 0 264 0 10 0 0 0 311.245 198.278 ../q3/./log/doc50cop2lif3_af1000s1tTOTAL_gf0i10d0m0_seed105731136.log 22305517 q3-extractinstructions.txt 20150515_193656 0.5 554fe34477683917c0a31a70
20150515_192702 50 2 3 100000 117661523 295 10000 375 9532 0 295 99 1000 1 31555 31555 0 292 0 10 0 0 0 285.821 192.365 ../q3/./log/doc50cop2lif3_af1000s1tTOTAL_gf0i10d0m0_seed117661523.log 22159363 q3-extractinstructions.txt 20150515_193402 0.5 554fe34477683917c0a31a6f
20150515_192652 50 2 3 100000 141246882 257 10000 353 9572 0 257 99 1000 1 31787 31787 0 255 0 10 0 0 0 275.359 188.48 ../q3/./log/doc50cop2lif3_af1000s1tTOTAL_gf0i10d0m0_seed141246882.log 22265279 q3-extractinstructions.txt 20150515_193343 0.5 554fe34477683917c0a31a6d
20150515_193347 50 2 3 100000 263688301 245 10000 369 9569 0 245 99 1000 1 31931 31931 0 243 0 10 0 0 0 286.320 193.66 ../q3/./log/doc50cop2lif3_af1000s1tTOTAL_gf0i10d0m0_seed263688301.log 22351757 q3-extractinstructions.txt 20150515_194042 0.5 554fe34477683917c0a31a73
20150515_192939 50 2 3 100000 420477893 291 10000 371 9531 0 291 99 1000 1 31635 31635 0 289 0 10 0 0 0 319.862 202.583 ../q3/./log/doc50cop2lif3_af1000s1tTOTAL_gf0i10d0m0_seed420477893.log 22199427 q3-extractinstructions.txt 20150515_193713 0.5 554fe34477683917c0a31a72
20150515_193357 50 2 3 100000 533657980 280 10000 365 9538 0 280 99 1000 1 32074 32074 0 277 0 10 0 0 0 283.785 193.346 ../q3/./log/doc50cop2lif3_af1000s1tTOTAL_gf0i10d0m0_seed533657980.log 22468524 q3-extractinstructions.txt 20150515_194050 0.5 554fe34477683917c0a31a75
