timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150618_151015 5 1 1 1000 100000 919028296 6 10000 9994 0 0 6 0 0 0 0 0 0 0 0 100 0 0 0 1.303 0.016 ../q3/./log/doc5cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0_seed919028296.log 12526 q3-extractinstructions.txt 20150618_151021 0.5 5582f88c776839292828b351
20150618_151020 5 1 1 1000 100000 103765041 8 10000 9992 0 0 8 0 0 0 0 0 0 0 0 100 0 0 0 1.325 0.016 ../q3/./log/doc5cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0_seed103765041.log 13500 q3-extractinstructions.txt 20150618_151026 0.5 5582f88c776839292828b352
20150618_151025 5 1 1 1000 100000 141246882 4 10000 9996 0 0 4 0 0 0 0 0 0 0 0 100 0 0 0 1.280 0.0 ../q3/./log/doc5cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0_seed141246882.log 11542 q3-extractinstructions.txt 20150618_151032 0.5 5582f88c776839292828b353
20150618_151030 5 1 1 1000 100000 681028781 3 10000 9997 0 0 3 0 0 0 0 0 0 0 0 100 0 0 0 1.312 0.0 ../q3/./log/doc5cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0_seed681028781.log 11060 q3-extractinstructions.txt 20150618_151037 0.5 5582f88c776839292828b354
20150618_151035 5 1 1 1000 100000 117661523 9 10000 9991 0 0 9 0 0 0 0 0 0 0 0 100 0 0 0 1.302 0.031 ../q3/./log/doc5cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0_seed117661523.log 13994 q3-extractinstructions.txt 20150618_151042 0.5 5582f88c776839292828b355
20150618_151040 5 1 1 1000 100000 105731136 5 10000 9995 0 0 5 0 0 0 0 0 0 0 0 100 0 0 0 1.302 0.0 ../q3/./log/doc5cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0_seed105731136.log 12039 q3-extractinstructions.txt 20150618_151047 0.5 5582f88c776839292828b356
20150618_151045 5 1 1 1000 100000 967561224 2 10000 9998 0 0 2 0 0 0 0 0 0 0 0 100 0 0 0 1.288 0.0 ../q3/./log/doc5cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0_seed967561224.log 10569 q3-extractinstructions.txt 20150618_151052 0.5 5582f88c776839292828b357
20150618_151050 5 1 1 1000 100000 420477893 4 10000 9996 0 0 4 0 0 0 0 0 0 0 0 100 0 0 0 1.320 0.015 ../q3/./log/doc5cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0_seed420477893.log 11552 q3-extractinstructions.txt 20150618_151057 0.5 5582f88c776839292828b358
20150618_151055 5 1 1 1000 100000 263688301 0 10000 10000 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 1.291 0.016 ../q3/./log/doc5cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0_seed263688301.log 9604 q3-extractinstructions.txt 20150618_151102 0.5 5582f88c776839292828b359
20150618_151101 5 1 1 1000 100000 50746969 4 10000 9996 0 0 4 0 0 0 0 0 0 0 0 100 0 0 0 1.293 0.0 ../q3/./log/doc5cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0_seed50746969.log 11545 q3-extractinstructions.txt 20150618_151107 0.5 5582f88c776839292828b35a
20150618_151106 5 1 1 1000 100000 533657980 9 10000 9991 0 0 9 0 0 0 0 0 0 0 0 100 0 0 0 1.314 0.016 ../q3/./log/doc5cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0_seed533657980.log 13988 q3-extractinstructions.txt 20150618_151112 0.5 5582f88c776839292828b35b
