timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150514_173819 50 1 1000 100000 919028296 53 10000 9947 0 0 53 0 0 0 0 0 0 0 0 10 0 0 0 1.452 0.093 ../q3/./log/doc50cop1lif1000_af0s1tTOTAL_gf0i10d0m0_seed919028296.log 35541 q3-extractinstructions-01.txt 20150514_173821 0.5 554fe34477683917c0a31984
20150514_173829 50 1 1000 100000 103765041 51 10000 9949 0 0 51 0 0 0 0 0 0 0 0 10 0 0 0 1.445 0.078 ../q3/./log/doc50cop1lif1000_af0s1tTOTAL_gf0i10d0m0_seed103765041.log 34553 q3-extractinstructions-01.txt 20150514_173831 0.5 554fe34477683917c0a31985
20150514_174048 50 1 1000 100000 141246882 37 10000 9963 0 0 37 0 0 0 0 0 0 0 0 10 0 0 0 1.406 0.047 ../q3/./log/doc50cop1lif1000_af0s1tTOTAL_gf0i10d0m0_seed141246882.log 27519 q3-extractinstructions-01.txt 20150514_174050 0.5 554fe34477683917c0a31986
20150514_174058 50 1 1000 100000 681028781 45 10000 9955 0 0 45 0 0 0 0 0 0 0 0 10 0 0 0 1.441 0.126 ../q3/./log/doc50cop1lif1000_af0s1tTOTAL_gf0i10d0m0_seed681028781.log 31518 q3-extractinstructions-01.txt 20150514_174100 0.5 554fe34477683917c0a31987
20150514_174225 50 1 1000 100000 117661523 67 10000 9933 0 0 67 0 0 0 0 0 0 0 0 10 0 0 0 1.492 0.109 ../q3/./log/doc50cop1lif1000_af0s1tTOTAL_gf0i10d0m0_seed117661523.log 41624 q3-extractinstructions-01.txt 20150514_174227 0.5 554fe34477683917c0a31988
20150514_174236 50 1 1000 100000 105731136 45 10000 9955 0 0 45 0 0 0 0 0 0 0 0 10 0 0 0 1.421 0.078 ../q3/./log/doc50cop1lif1000_af0s1tTOTAL_gf0i10d0m0_seed105731136.log 31156 q3-extractinstructions-01.txt 20150514_174237 0.5 554fe34477683917c0a31989
20150514_174253 50 1 1000 100000 967561224 41 10000 9959 0 0 41 0 0 0 0 0 0 0 0 10 0 0 0 1.441 0.048 ../q3/./log/doc50cop1lif1000_af0s1tTOTAL_gf0i10d0m0_seed967561224.log 29094 q3-extractinstructions-01.txt 20150514_174255 0.5 554fe34477683917c0a3198a
20150514_174303 50 1 1000 100000 420477893 44 10000 9956 0 0 44 0 0 0 0 0 0 0 0 10 0 0 0 1.453 0.078 ../q3/./log/doc50cop1lif1000_af0s1tTOTAL_gf0i10d0m0_seed420477893.log 30954 q3-extractinstructions-01.txt 20150514_174305 0.5 554fe34477683917c0a3198b
20150514_174314 50 1 1000 100000 263688301 47 10000 9953 0 0 47 0 0 0 0 0 0 0 0 10 0 0 0 1.445 0.063 ../q3/./log/doc50cop1lif1000_af0s1tTOTAL_gf0i10d0m0_seed263688301.log 32425 q3-extractinstructions-01.txt 20150514_174315 0.5 554fe34477683917c0a3198c
20150514_174324 50 1 1000 100000 50746969 47 10000 9953 0 0 47 0 0 0 0 0 0 0 0 10 0 0 0 1.441 0.141 ../q3/./log/doc50cop1lif1000_af0s1tTOTAL_gf0i10d0m0_seed50746969.log 32611 q3-extractinstructions-01.txt 20150514_174326 0.5 554fe34477683917c0a3198d
20150514_174334 50 1 1000 100000 533657980 55 10000 9945 0 0 55 0 0 0 0 0 0 0 0 10 0 0 0 1.460 0.062 ../q3/./log/doc50cop1lif1000_af0s1tTOTAL_gf0i10d0m0_seed533657980.log 36518 q3-extractinstructions-01.txt 20150514_174336 0.5 554fe34477683917c0a3198e
20150514_174731 50 2 1000 100000 919028296 0 10000 9898 102 0 0 0 0 0 0 0 0 0 0 10 0 0 0 2.183 0.203 ../q3/./log/doc50cop2lif1000_af0s1tTOTAL_gf0i10d0m0_seed919028296.log 53430 q3-extractinstructions-01.txt 20150514_174734 0.5 554fe34477683917c0a3198f
20150514_174741 50 2 1000 100000 103765041 1 10000 9901 98 0 1 0 0 0 0 0 0 0 0 10 0 0 0 2.167 0.202 ../q3/./log/doc50cop2lif1000_af0s1tTOTAL_gf0i10d0m0_seed103765041.log 52320 q3-extractinstructions-01.txt 20150514_174744 0.5 554fe34477683917c0a31990
20150514_174751 50 2 1000 100000 141246882 0 10000 9917 83 0 0 0 0 0 0 0 0 0 0 10 0 0 0 2.119 0.094 ../q3/./log/doc50cop2lif1000_af0s1tTOTAL_gf0i10d0m0_seed141246882.log 44278 q3-extractinstructions-01.txt 20150514_174754 0.5 554fe34477683917c0a31991
20150514_174802 50 2 1000 100000 681028781 0 10000 9899 101 0 0 0 0 0 0 0 0 0 0 10 0 0 0 2.167 0.218 ../q3/./log/doc50cop2lif1000_af0s1tTOTAL_gf0i10d0m0_seed681028781.log 51340 q3-extractinstructions-01.txt 20150514_174804 0.5 554fe34477683917c0a31992
20150514_174812 50 2 1000 100000 117661523 1 10000 9891 108 0 1 0 0 0 0 0 0 0 0 10 0 0 0 2.227 0.14 ../q3/./log/doc50cop2lif1000_af0s1tTOTAL_gf0i10d0m0_seed117661523.log 55998 q3-extractinstructions-01.txt 20150514_174815 0.5 554fe34477683917c0a31993
20150514_174822 50 2 1000 100000 105731136 0 10000 9911 89 0 0 0 0 0 0 0 0 0 0 10 0 0 0 2.162 0.188 ../q3/./log/doc50cop2lif1000_af0s1tTOTAL_gf0i10d0m0_seed105731136.log 47134 q3-extractinstructions-01.txt 20150514_174825 0.5 554fe34477683917c0a31994
20150514_174832 50 2 1000 100000 967561224 0 10000 9904 96 0 0 0 0 0 0 0 0 0 0 10 0 0 0 2.174 0.202 ../q3/./log/doc50cop2lif1000_af0s1tTOTAL_gf0i10d0m0_seed967561224.log 49818 q3-extractinstructions-01.txt 20150514_174835 0.5 554fe34477683917c0a31995
20150514_174842 50 2 1000 100000 420477893 0 10000 9904 96 0 0 0 0 0 0 0 0 0 0 10 0 0 0 2.175 0.11 ../q3/./log/doc50cop2lif1000_af0s1tTOTAL_gf0i10d0m0_seed420477893.log 49902 q3-extractinstructions-01.txt 20150514_174845 0.5 554fe34477683917c0a31996
20150514_174852 50 2 1000 100000 263688301 0 10000 9916 84 0 0 0 0 0 0 0 0 0 0 10 0 0 0 2.147 0.11 ../q3/./log/doc50cop2lif1000_af0s1tTOTAL_gf0i10d0m0_seed263688301.log 45590 q3-extractinstructions-01.txt 20150514_174855 0.5 554fe34477683917c0a31997
20150514_174902 50 2 1000 100000 50746969 0 10000 9902 98 0 0 0 0 0 0 0 0 0 0 10 0 0 0 2.169 0.188 ../q3/./log/doc50cop2lif1000_af0s1tTOTAL_gf0i10d0m0_seed50746969.log 51732 q3-extractinstructions-01.txt 20150514_174905 0.5 554fe34477683917c0a31998
20150514_174925 50 1 3 100000 919028296 8102 10000 1898 0 0 8102 0 0 0 0 0 0 0 0 10 0 0 0 41.830 22.558 ../q3/./log/doc50cop1lif3_af0s1tTOTAL_gf0i10d0m0_seed919028296.log 3932281 q3-extractinstructions-01.txt 20150514_175027 0.5 554fe34477683917c0a31538
20150514_174935 50 1 3 100000 103765041 8099 10000 1901 0 0 8099 0 0 0 0 0 0 0 0 10 0 0 0 43.034 23.619 ../q3/./log/doc50cop1lif3_af0s1tTOTAL_gf0i10d0m0_seed103765041.log 3924000 q3-extractinstructions-01.txt 20150514_175040 0.5 554fe34477683917c0a31539
20150514_174945 50 1 3 100000 141246882 8088 10000 1912 0 0 8088 0 0 0 0 0 0 0 0 10 0 0 0 45.779 26.286 ../q3/./log/doc50cop1lif3_af0s1tTOTAL_gf0i10d0m0_seed141246882.log 3927334 q3-extractinstructions-01.txt 20150514_175054 0.5 554fe34477683917c0a3153a
20150514_174955 50 1 3 100000 681028781 8169 10000 1831 0 0 8169 0 0 0 0 0 0 0 0 10 0 0 0 48.035 28.393 ../q3/./log/doc50cop1lif3_af0s1tTOTAL_gf0i10d0m0_seed681028781.log 3961444 q3-extractinstructions-01.txt 20150514_175106 0.5 554fe34477683917c0a3153b
20150514_175006 50 1 3 100000 117661523 8089 10000 1911 0 0 8089 0 0 0 0 0 0 0 0 10 0 0 0 53.643 31.808 ../q3/./log/doc50cop1lif3_af0s1tTOTAL_gf0i10d0m0_seed117661523.log 3921044 q3-extractinstructions-01.txt 20150514_175123 0.5 554fe34477683917c0a3153c
20150514_175016 50 1 3 100000 105731136 8115 10000 1885 0 0 8115 0 0 0 0 0 0 0 0 10 0 0 0 51.879 31.746 ../q3/./log/doc50cop1lif3_af0s1tTOTAL_gf0i10d0m0_seed105731136.log 3932080 q3-extractinstructions-01.txt 20150514_175132 0.5 554fe34477683917c0a3153d
20150514_175026 50 1 3 100000 967561224 8053 10000 1947 0 0 8053 0 0 0 0 0 0 0 0 10 0 0 0 54.706 33.43 ../q3/./log/doc50cop1lif3_af0s1tTOTAL_gf0i10d0m0_seed967561224.log 3903031 q3-extractinstructions-01.txt 20150514_175145 0.5 554fe34477683917c0a3153e
20150514_175036 50 1 3 100000 420477893 8118 10000 1882 0 0 8118 0 0 0 0 0 0 0 0 10 0 0 0 53.908 32.152 ../q3/./log/doc50cop1lif3_af0s1tTOTAL_gf0i10d0m0_seed420477893.log 3936460 q3-extractinstructions-01.txt 20150514_175154 0.5 554fe34477683917c0a3153f
20150514_175046 50 1 3 100000 263688301 8047 10000 1953 0 0 8047 0 0 0 0 0 0 0 0 10 0 0 0 54.780 33.93 ../q3/./log/doc50cop1lif3_af0s1tTOTAL_gf0i10d0m0_seed263688301.log 3900074 q3-extractinstructions-01.txt 20150514_175204 0.5 554fe34477683917c0a31540
20150514_175056 50 1 3 100000 50746969 8115 10000 1885 0 0 8115 0 0 0 0 0 0 0 0 10 0 0 0 55.561 34.742 ../q3/./log/doc50cop1lif3_af0s1tTOTAL_gf0i10d0m0_seed50746969.log 3937231 q3-extractinstructions-01.txt 20150514_175215 0.5 554fe34477683917c0a31541
20150514_175106 50 1 3 100000 533657980 8047 10000 1953 0 0 8047 0 0 0 0 0 0 0 0 10 0 0 0 54.939 33.946 ../q3/./log/doc50cop1lif3_af0s1tTOTAL_gf0i10d0m0_seed533657980.log 3899817 q3-extractinstructions-01.txt 20150514_175224 0.5 554fe34477683917c0a31542
20150514_175117 50 2 3 100000 919028296 6526 10000 366 3108 0 6526 0 0 0 0 0 0 0 0 10 0 0 0 99.717 67.752 ../q3/./log/doc50cop2lif3_af0s1tTOTAL_gf0i10d0m0_seed919028296.log 6436538 q3-extractinstructions-01.txt 20150514_175337 0.5 554fe34477683917c0a31543
20150514_175127 50 2 3 100000 103765041 6510 10000 365 3125 0 6510 0 0 0 0 0 0 0 0 10 0 0 0 104.238 70.247 ../q3/./log/doc50cop2lif3_af0s1tTOTAL_gf0i10d0m0_seed103765041.log 6420427 q3-extractinstructions-01.txt 20150514_175352 0.5 554fe34477683917c0a31544
20150514_175137 50 2 3 100000 141246882 6566 10000 366 3068 0 6566 0 0 0 0 0 0 0 0 10 0 0 0 98.452 66.534 ../q3/./log/doc50cop2lif3_af0s1tTOTAL_gf0i10d0m0_seed141246882.log 6451687 q3-extractinstructions-01.txt 20150514_175356 0.5 554fe34477683917c0a31545
20150514_175157 50 2 3 100000 681028781 6624 10000 339 3037 0 6624 0 0 0 0 0 0 0 0 10 0 0 0 105.563 70.091 ../q3/./log/doc50cop2lif3_af0s1tTOTAL_gf0i10d0m0_seed681028781.log 6486340 q3-extractinstructions-01.txt 20150514_175424 0.5 554fe34477683917c0a31546
20150514_175207 50 2 3 100000 117661523 6499 10000 404 3097 0 6499 0 0 0 0 0 0 0 0 10 0 0 0 101.158 69.451 ../q3/./log/doc50cop2lif3_af0s1tTOTAL_gf0i10d0m0_seed117661523.log 6404665 q3-extractinstructions-01.txt 20150514_175429 0.5 554fe34477683917c0a31547
20150514_175217 50 2 3 100000 105731136 6570 10000 348 3082 0 6570 0 0 0 0 0 0 0 0 10 0 0 0 107.181 72.103 ../q3/./log/doc50cop2lif3_af0s1tTOTAL_gf0i10d0m0_seed105731136.log 6463284 q3-extractinstructions-01.txt 20150514_175446 0.5 554fe34477683917c0a31548
20150514_175227 50 2 3 100000 967561224 6534 10000 336 3130 0 6534 0 0 0 0 0 0 0 0 10 0 0 0 104.562 71.074 ../q3/./log/doc50cop2lif3_af0s1tTOTAL_gf0i10d0m0_seed967561224.log 6457059 q3-extractinstructions-01.txt 20150514_175453 0.5 554fe34477683917c0a31549
20150514_175238 50 2 3 100000 420477893 6602 10000 309 3089 0 6602 0 0 0 0 0 0 0 0 10 0 0 0 106.810 70.466 ../q3/./log/doc50cop2lif3_af0s1tTOTAL_gf0i10d0m0_seed420477893.log 6482777 q3-extractinstructions-01.txt 20150514_175505 0.5 554fe34477683917c0a3154a
20150514_175349 50 2 3 100000 263688301 6624 10000 334 3042 0 6624 0 0 0 0 0 0 0 0 10 0 0 0 106.683 71.853 ../q3/./log/doc50cop2lif3_af0s1tTOTAL_gf0i10d0m0_seed263688301.log 6485553 q3-extractinstructions-01.txt 20150514_175616 0.5 554fe34477683917c0a3154b
20150514_175358 50 2 3 100000 50746969 6635 10000 343 3022 0 6635 0 0 0 0 0 0 0 0 10 0 0 0 106.051 71.152 ../q3/./log/doc50cop2lif3_af0s1tTOTAL_gf0i10d0m0_seed50746969.log 6486779 q3-extractinstructions-01.txt 20150514_175626 0.5 554fe34477683917c0a3154c
20150514_175409 50 2 3 100000 533657980 6581 10000 354 3065 0 6581 0 0 0 0 0 0 0 0 10 0 0 0 109.665 71.573 ../q3/./log/doc50cop2lif3_af0s1tTOTAL_gf0i10d0m0_seed533657980.log 6458114 q3-extractinstructions-01.txt 20150514_175640 0.5 554fe34477683917c0a3154d
20150514_175429 50 3 3 100000 919028296 5360 10000 71 889 3680 5360 0 0 0 0 0 0 0 0 10 0 0 0 151.185 106.347 ../q3/./log/doc50cop3lif3_af0s1tTOTAL_gf0i10d0m0_seed919028296.log 8848998 q3-extractinstructions-01.txt 20150514_175756 0.5 554fe34477683917c0a3154e
20150514_175439 50 3 3 100000 103765041 5279 10000 46 902 3773 5279 0 0 0 0 0 0 0 0 10 0 0 0 148.598 104.896 ../q3/./log/doc50cop3lif3_af0s1tTOTAL_gf0i10d0m0_seed103765041.log 8840871 q3-extractinstructions-01.txt 20150514_175804 0.5 554fe34477683917c0a3154f
20150514_175459 50 3 3 100000 141246882 5288 10000 86 906 3720 5288 0 0 0 0 0 0 0 0 10 0 0 0 148.472 105.597 ../q3/./log/doc50cop3lif3_af0s1tTOTAL_gf0i10d0m0_seed141246882.log 8809176 q3-extractinstructions-01.txt 20150514_175823 0.5 554fe34477683917c0a31550
20150514_175509 50 3 3 100000 681028781 5377 10000 54 872 3697 5377 0 0 0 0 0 0 0 0 10 0 0 0 151.072 107.438 ../q3/./log/doc50cop3lif3_af0s1tTOTAL_gf0i10d0m0_seed681028781.log 8869618 q3-extractinstructions-01.txt 20150514_175837 0.5 554fe34477683917c0a31551
20150514_175520 50 3 3 100000 117661523 5298 10000 85 899 3718 5298 0 0 0 0 0 0 0 0 10 0 0 0 150.765 106.58 ../q3/./log/doc50cop3lif3_af0s1tTOTAL_gf0i10d0m0_seed117661523.log 8812720 q3-extractinstructions-01.txt 20150514_175846 0.5 554fe34477683917c0a31552
20150514_175620 50 3 3 100000 105731136 5349 10000 71 871 3709 5349 0 0 0 0 0 0 0 0 10 0 0 0 151.359 108.031 ../q3/./log/doc50cop3lif3_af0s1tTOTAL_gf0i10d0m0_seed105731136.log 8849686 q3-extractinstructions-01.txt 20150514_175947 0.5 554fe34477683917c0a31553
20150514_175630 50 3 3 100000 967561224 5278 10000 65 861 3796 5278 0 0 0 0 0 0 0 0 10 0 0 0 154.533 109.59 ../q3/./log/doc50cop3lif3_af0s1tTOTAL_gf0i10d0m0_seed967561224.log 8839514 q3-extractinstructions-01.txt 20150514_180001 0.5 554fe34477683917c0a31554
20150514_175650 50 3 3 100000 420477893 5417 10000 75 856 3652 5417 0 0 0 0 0 0 0 0 10 0 0 0 151.847 107.609 ../q3/./log/doc50cop3lif3_af0s1tTOTAL_gf0i10d0m0_seed420477893.log 8875852 q3-extractinstructions-01.txt 20150514_180018 0.5 554fe34477683917c0a31555
20150514_175801 50 3 3 100000 263688301 5369 10000 65 815 3751 5369 0 0 0 0 0 0 0 0 10 0 0 0 150.426 106.595 ../q3/./log/doc50cop3lif3_af0s1tTOTAL_gf0i10d0m0_seed263688301.log 8879833 q3-extractinstructions-01.txt 20150514_180128 0.5 554fe34477683917c0a31556
20150514_175812 50 3 3 100000 50746969 5341 10000 65 875 3719 5341 0 0 0 0 0 0 0 0 10 0 0 0 150.703 106.581 ../q3/./log/doc50cop3lif3_af0s1tTOTAL_gf0i10d0m0_seed50746969.log 8854239 q3-extractinstructions-01.txt 20150514_180138 0.5 554fe34477683917c0a31557
20150514_175832 50 3 3 100000 533657980 5263 10000 73 834 3830 5263 0 0 0 0 0 0 0 0 10 0 0 0 154.011 107.017 ../q3/./log/doc50cop3lif3_af0s1tTOTAL_gf0i10d0m0_seed533657980.log 8832209 q3-extractinstructions-01.txt 20150514_180201 0.5 554fe34477683917c0a31558
20150514_175842 50 4 3 100000 919028296 4282 10000 13 1628 4077 4282 0 0 0 0 0 0 0 0 10 0 0 0 204.291 143.769 ../q3/./log/doc50cop4lif3_af0s1tTOTAL_gf0i10d0m0_seed919028296.log 11222088 q3-extractinstructions-01.txt 20150514_180315 0.5 554fe34477683917c0a31559
20150514_175852 50 4 3 100000 103765041 4270 10000 12 1598 4120 4270 0 0 0 0 0 0 0 0 10 0 0 0 197.420 142.836 ../q3/./log/doc50cop4lif3_af0s1tTOTAL_gf0i10d0m0_seed103765041.log 11236481 q3-extractinstructions-01.txt 20150514_180319 0.5 554fe34477683917c0a3155a
20150514_175953 50 4 3 100000 141246882 4317 10000 21 1664 3998 4317 0 0 0 0 0 0 0 0 10 0 0 0 204.673 143.521 ../q3/./log/doc50cop4lif3_af0s1tTOTAL_gf0i10d0m0_seed141246882.log 11221694 q3-extractinstructions-01.txt 20150514_180426 0.5 554fe34477683917c0a3155b
20150514_180013 50 4 3 100000 681028781 4250 10000 8 1688 4054 4250 0 0 0 0 0 0 0 0 10 0 0 0 201.398 146.594 ../q3/./log/doc50cop4lif3_af0s1tTOTAL_gf0i10d0m0_seed681028781.log 11203190 q3-extractinstructions-01.txt 20150514_180444 0.5 554fe34477683917c0a3155c
20150514_180023 50 4 3 100000 117661523 4312 10000 11 1615 4062 4312 0 0 0 0 0 0 0 0 10 0 0 0 197.828 143.692 ../q3/./log/doc50cop4lif3_af0s1tTOTAL_gf0i10d0m0_seed117661523.log 11236245 q3-extractinstructions-01.txt 20150514_180450 0.5 554fe34477683917c0a3155d
20150514_180134 50 4 3 100000 105731136 4346 10000 19 1631 4004 4346 0 0 0 0 0 0 0 0 10 0 0 0 198.127 145.674 ../q3/./log/doc50cop4lif3_af0s1tTOTAL_gf0i10d0m0_seed105731136.log 11242588 q3-extractinstructions-01.txt 20150514_180559 0.5 554fe34477683917c0a3155e
20150514_180144 50 4 3 100000 967561224 4353 10000 7 1641 3999 4353 0 0 0 0 0 0 0 0 10 0 0 0 196.884 143.692 ../q3/./log/doc50cop4lif3_af0s1tTOTAL_gf0i10d0m0_seed967561224.log 11247117 q3-extractinstructions-01.txt 20150514_180610 0.5 554fe34477683917c0a3155f
20150514_180214 50 4 3 100000 420477893 4412 10000 14 1621 3953 4412 0 0 0 0 0 0 0 0 10 0 0 0 198.788 144.41 ../q3/./log/doc50cop4lif3_af0s1tTOTAL_gf0i10d0m0_seed420477893.log 11263369 q3-extractinstructions-01.txt 20150514_180642 0.5 554fe34477683917c0a31560
20150514_180325 50 4 3 100000 263688301 4344 10000 19 1598 4039 4344 0 0 0 0 0 0 0 0 10 0 0 0 198.466 144.129 ../q3/./log/doc50cop4lif3_af0s1tTOTAL_gf0i10d0m0_seed263688301.log 11255097 q3-extractinstructions-01.txt 20150514_180752 0.5 554fe34477683917c0a31561
20150514_180335 50 4 3 100000 50746969 4336 10000 17 1618 4029 4336 0 0 0 0 0 0 0 0 10 0 0 0 206.181 146.376 ../q3/./log/doc50cop4lif3_af0s1tTOTAL_gf0i10d0m0_seed50746969.log 11239386 q3-extractinstructions-01.txt 20150514_180811 0.5 554fe34477683917c0a31562
20150514_180436 50 4 3 100000 533657980 4353 10000 14 1568 4065 4353 0 0 0 0 0 0 0 0 10 0 0 0 198.388 142.881 ../q3/./log/doc50cop4lif3_af0s1tTOTAL_gf0i10d0m0_seed533657980.log 11261849 q3-extractinstructions-01.txt 20150514_180904 0.5 554fe34477683917c0a31563
20150514_180456 50 5 3 100000 919028296 3433 10000 3 508 6056 3433 0 0 0 0 0 0 0 0 10 0 0 0 254.299 183.707 ../q3/./log/doc50cop5lif3_af0s1tTOTAL_gf0i10d0m0_seed919028296.log 13584139 q3-extractinstructions-01.txt 20150514_181035 0.5 554fe34477683917c0a31564
20150514_180506 50 5 3 100000 103765041 3482 10000 1 517 6000 3482 0 0 0 0 0 0 0 0 10 0 0 0 247.450 181.101 ../q3/./log/doc50cop5lif3_af0s1tTOTAL_gf0i10d0m0_seed103765041.log 13614717 q3-extractinstructions-01.txt 20150514_181039 0.5 554fe34477683917c0a31565
20150514_180607 50 5 3 100000 141246882 3538 10000 3 563 5896 3538 0 0 0 0 0 0 0 0 10 0 0 0 247.038 179.402 ../q3/./log/doc50cop5lif3_af0s1tTOTAL_gf0i10d0m0_seed141246882.log 13602297 q3-extractinstructions-01.txt 20150514_181138 0.5 554fe34477683917c0a31566
20150514_180617 50 5 3 100000 681028781 3519 10000 1 482 5998 3519 0 0 0 0 0 0 0 0 10 0 0 0 254.929 183.129 ../q3/./log/doc50cop5lif3_af0s1tTOTAL_gf0i10d0m0_seed681028781.log 13637219 q3-extractinstructions-01.txt 20150514_181156 0.5 554fe34477683917c0a31567
20150514_180647 50 5 3 100000 117661523 3431 10000 0 485 6084 3431 0 0 0 0 0 0 0 0 10 0 0 0 250.750 183.348 ../q3/./log/doc50cop5lif3_af0s1tTOTAL_gf0i10d0m0_seed117661523.log 13622818 q3-extractinstructions-01.txt 20150514_181222 0.5 554fe34477683917c0a31568
20150514_180758 50 5 3 100000 105731136 3483 10000 2 517 5998 3483 0 0 0 0 0 0 0 0 10 0 0 0 246.995 181.929 ../q3/./log/doc50cop5lif3_af0s1tTOTAL_gf0i10d0m0_seed105731136.log 13608357 q3-extractinstructions-01.txt 20150514_181329 0.5 554fe34477683917c0a31569
20150514_180818 50 5 3 100000 967561224 3515 10000 4 511 5970 3515 0 0 0 0 0 0 0 0 10 0 0 0 244.959 180.711 ../q3/./log/doc50cop5lif3_af0s1tTOTAL_gf0i10d0m0_seed967561224.log 13621423 q3-extractinstructions-01.txt 20150514_181347 0.5 554fe34477683917c0a3156a
20150514_180908 50 5 3 100000 420477893 3534 10000 2 435 6029 3534 0 0 0 0 0 0 0 0 10 0 0 0 246.287 180.321 ../q3/./log/doc50cop5lif3_af0s1tTOTAL_gf0i10d0m0_seed420477893.log 13644875 q3-extractinstructions-01.txt 20150514_181439 0.5 554fe34477683917c0a3156b
20150514_181040 50 5 3 100000 263688301 3564 10000 5 459 5972 3564 0 0 0 0 0 0 0 0 10 0 0 0 245.294 180.447 ../q3/./log/doc50cop5lif3_af0s1tTOTAL_gf0i10d0m0_seed263688301.log 13664047 q3-extractinstructions-01.txt 20150514_181610 0.5 554fe34477683917c0a3156c
20150514_181050 50 5 3 100000 50746969 3542 10000 3 481 5974 3542 0 0 0 0 0 0 0 0 10 0 0 0 244.628 178.902 ../q3/./log/doc50cop5lif3_af0s1tTOTAL_gf0i10d0m0_seed50746969.log 13643958 q3-extractinstructions-01.txt 20150514_181619 0.5 554fe34477683917c0a3156d
20150514_181151 50 5 3 100000 533657980 3474 10000 2 486 6038 3474 0 0 0 0 0 0 0 0 10 0 0 0 245.839 178.606 ../q3/./log/doc50cop5lif3_af0s1tTOTAL_gf0i10d0m0_seed533657980.log 13605950 q3-extractinstructions-01.txt 20150514_181720 0.5 554fe34477683917c0a3156e
20150514_181200 50 8 3 100000 919028296 1827 10000 0 494 7679 1827 0 0 0 0 0 0 0 0 10 0 0 0 404.234 291.425 ../q3/./log/doc50cop8lif3_af0s1tTOTAL_gf0i10d0m0_seed919028296.log 20772479 q3-extractinstructions-01.txt 20150514_182057 0.5 554fe34477683917c0a3156f
20150514_181231 50 8 3 100000 103765041 1891 10000 0 445 7664 1891 0 0 0 0 0 0 0 0 10 0 0 0 390.134 288.414 ../q3/./log/doc50cop8lif3_af0s1tTOTAL_gf0i10d0m0_seed103765041.log 20878419 q3-extractinstructions-01.txt 20150514_182115 0.5 554fe34477683917c0a31570
20150514_181342 50 8 3 100000 141246882 1836 10000 0 466 7698 1836 0 0 0 0 0 0 0 0 10 0 0 0 390.707 289.07 ../q3/./log/doc50cop8lif3_af0s1tTOTAL_gf0i10d0m0_seed141246882.log 20842400 q3-extractinstructions-01.txt 20150514_182224 0.5 554fe34477683917c0a31571
20150514_181352 50 8 3 100000 681028781 1889 10000 0 450 7661 1889 0 0 0 0 0 0 0 0 10 0 0 0 390.893 289.709 ../q3/./log/doc50cop8lif3_af0s1tTOTAL_gf0i10d0m0_seed681028781.log 20871426 q3-extractinstructions-01.txt 20150514_182233 0.5 554fe34477683917c0a31572
20150514_181452 50 8 3 100000 117661523 1823 10000 0 456 7721 1823 0 0 0 0 0 0 0 0 10 0 0 0 392.304 292.768 ../q3/./log/doc50cop8lif3_af0s1tTOTAL_gf0i10d0m0_seed117661523.log 20827371 q3-extractinstructions-01.txt 20150514_182334 0.5 554fe34477683917c0a31573
