timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150515_130131 50 1 3 100000 919028296 8107 10000 1893 0 0 8107 39 2500 1 0 0 0 8107 0 10 0 0 0 83.387 57.502 ../q3/./log/doc50cop1lif3_af2500s1tTOTAL_gf0i10d0m0_seed919028296.log 5864998 q3-extractinstructions.txt 20150515_130329 0.5 554fe34577683917c0a31f88
20150515_130136 50 1 3 100000 103765041 8104 10000 1896 0 0 8104 39 2500 1 0 0 0 8104 0 10 0 0 0 85.998 59.17 ../q3/./log/doc50cop1lif3_af2500s1tTOTAL_gf0i10d0m0_seed103765041.log 5857247 q3-extractinstructions.txt 20150515_130337 0.5 554fe34577683917c0a31f89
20150515_130141 50 1 3 100000 141246882 8123 10000 1877 0 0 8123 39 2500 1 0 0 0 8123 0 10 0 0 0 87.706 61.121 ../q3/./log/doc50cop1lif3_af2500s1tTOTAL_gf0i10d0m0_seed141246882.log 5872414 q3-extractinstructions.txt 20150515_130344 0.5 554fe34577683917c0a31f8a
20150515_130146 50 1 3 100000 681028781 8160 10000 1840 0 0 8160 39 2500 1 0 0 0 8159 0 10 0 0 0 89.147 61.667 ../q3/./log/doc50cop1lif3_af2500s1tTOTAL_gf0i10d0m0_seed681028781.log 5902765 q3-extractinstructions.txt 20150515_130350 0.5 554fe34577683917c0a31f8b
20150515_130152 50 1 3 100000 117661523 8062 10000 1938 0 0 8062 39 2500 1 0 0 0 8062 0 10 0 0 0 90.808 63.586 ../q3/./log/doc50cop1lif3_af2500s1tTOTAL_gf0i10d0m0_seed117661523.log 5820268 q3-extractinstructions.txt 20150515_130356 0.5 554fe34577683917c0a31f8c
20150515_130157 50 1 3 100000 105731136 8146 10000 1854 0 0 8146 39 2500 1 0 0 0 8146 0 10 0 0 0 91.722 64.194 ../q3/./log/doc50cop1lif3_af2500s1tTOTAL_gf0i10d0m0_seed105731136.log 5886253 q3-extractinstructions.txt 20150515_130402 0.5 554fe34577683917c0a31f8d
20150515_130202 50 1 3 100000 967561224 8160 10000 1840 0 0 8160 39 2500 1 0 0 0 8160 0 10 0 0 0 92.957 64.679 ../q3/./log/doc50cop1lif3_af2500s1tTOTAL_gf0i10d0m0_seed967561224.log 5892074 q3-extractinstructions.txt 20150515_130409 0.5 554fe34577683917c0a31f8e
20150515_130207 50 1 3 100000 420477893 8116 10000 1884 0 0 8116 39 2500 1 0 0 0 8116 0 10 0 0 0 92.900 64.834 ../q3/./log/doc50cop1lif3_af2500s1tTOTAL_gf0i10d0m0_seed420477893.log 5864203 q3-extractinstructions.txt 20150515_130414 0.5 554fe34577683917c0a31f8f
20150515_130333 50 1 3 100000 263688301 8140 10000 1860 0 0 8140 39 2500 1 0 0 0 8140 0 10 0 0 0 90.413 62.822 ../q3/./log/doc50cop1lif3_af2500s1tTOTAL_gf0i10d0m0_seed263688301.log 5887597 q3-extractinstructions.txt 20150515_130537 0.5 554fe34577683917c0a31f90
20150515_130348 50 1 3 100000 50746969 8138 10000 1862 0 0 8138 39 2500 1 0 0 0 8138 0 10 0 0 0 88.863 61.356 ../q3/./log/doc50cop1lif3_af2500s1tTOTAL_gf0i10d0m0_seed50746969.log 5880911 q3-extractinstructions.txt 20150515_130551 0.5 554fe34577683917c0a31f91
20150515_130353 50 1 3 100000 533657980 8126 10000 1874 0 0 8126 39 2500 1 0 0 0 8126 0 10 0 0 0 89.932 61.307 ../q3/./log/doc50cop1lif3_af2500s1tTOTAL_gf0i10d0m0_seed533657980.log 5878039 q3-extractinstructions.txt 20150515_130557 0.5 554fe34577683917c0a31f92
20150515_130358 50 2 3 100000 919028296 671 10000 346 9452 0 671 39 2500 1 29418 29418 0 651 0 10 0 0 0 216.037 135.363 ../q3/./log/doc50cop2lif3_af2500s1tTOTAL_gf0i10d0m0_seed919028296.log 21224566 q3-extractinstructions.txt 20150515_130943 0.5 554fe34577683917c0a31f93
20150515_130404 50 2 3 100000 103765041 673 10000 348 9435 0 673 39 2500 1 29216 29216 0 651 0 10 0 0 0 223.446 140.588 ../q3/./log/doc50cop2lif3_af2500s1tTOTAL_gf0i10d0m0_seed103765041.log 21085789 q3-extractinstructions.txt 20150515_130955 0.5 554fe34577683917c0a31f94
20150515_130414 50 2 3 100000 681028781 637 10000 342 9457 0 637 39 2500 1 29549 29549 0 625 0 10 0 0 0 217.024 133.552 ../q3/./log/doc50cop2lif3_af2500s1tTOTAL_gf0i10d0m0_seed681028781.log 21297755 q3-extractinstructions.txt 20150515_131000 0.5 554fe34577683917c0a31f96
20150515_130409 50 2 3 100000 141246882 700 10000 351 9443 0 700 39 2500 1 29376 29376 0 680 0 10 0 0 0 223.392 138.95 ../q3/./log/doc50cop2lif3_af2500s1tTOTAL_gf0i10d0m0_seed141246882.log 21221331 q3-extractinstructions.txt 20150515_131000 0.5 554fe34577683917c0a31f95
20150515_130419 50 2 3 100000 117661523 682 10000 372 9409 0 682 39 2500 1 29318 29318 0 669 0 10 0 0 0 230.773 138.342 ../q3/./log/doc50cop2lif3_af2500s1tTOTAL_gf0i10d0m0_seed117661523.log 21174653 q3-extractinstructions.txt 20150515_131016 0.5 554fe34577683917c0a31f97
20150515_130545 50 2 3 100000 105731136 685 10000 311 9476 0 685 39 2500 1 29580 29580 0 668 0 10 0 0 0 239.212 142.04 ../q3/./log/doc50cop2lif3_af2500s1tTOTAL_gf0i10d0m0_seed105731136.log 21351041 q3-extractinstructions.txt 20150515_131145 0.5 554fe34577683917c0a31f98
20150515_130600 50 2 3 100000 967561224 703 10000 334 9453 0 703 39 2500 1 29653 29653 0 684 0 10 0 0 0 240.760 145.83 ../q3/./log/doc50cop2lif3_af2500s1tTOTAL_gf0i10d0m0_seed967561224.log 21403447 q3-extractinstructions.txt 20150515_131203 0.5 554fe34577683917c0a31f99
20150515_130605 50 2 3 100000 420477893 672 10000 368 9410 0 672 39 2500 1 29305 29305 0 656 0 10 0 0 0 243.417 145.486 ../q3/./log/doc50cop2lif3_af2500s1tTOTAL_gf0i10d0m0_seed420477893.log 21156553 q3-extractinstructions.txt 20150515_131211 0.5 554fe34577683917c0a31f9a
20150515_130953 50 2 3 100000 263688301 626 10000 366 9455 0 626 39 2500 1 29832 29832 0 609 0 10 0 0 0 220.232 136.828 ../q3/./log/doc50cop2lif3_af2500s1tTOTAL_gf0i10d0m0_seed263688301.log 21448114 q3-extractinstructions.txt 20150515_131540 0.5 554fe34577683917c0a31f9b
20150515_131008 50 2 3 100000 50746969 613 10000 370 9444 0 613 39 2500 1 29797 29797 0 598 0 10 0 0 0 220.245 135.877 ../q3/./log/doc50cop2lif3_af2500s1tTOTAL_gf0i10d0m0_seed50746969.log 21415701 q3-extractinstructions.txt 20150515_131555 0.5 554fe34577683917c0a31f9c
20150515_131013 50 2 3 100000 533657980 682 10000 368 9407 0 682 39 2500 1 29759 29759 0 667 0 10 0 0 0 221.340 136.563 ../q3/./log/doc50cop2lif3_af2500s1tTOTAL_gf0i10d0m0_seed533657980.log 21436003 q3-extractinstructions.txt 20150515_131602 0.5 554fe34577683917c0a31f9d
20150515_131018 50 3 3 100000 919028296 34 10000 65 9914 1758 34 39 2500 1 47921 44151 1885 32 0 10 0 0 0 340.256 214.299 ../q3/./log/doc50cop3lif3_af2500s1tTOTAL_gf0i10d0m0_seed919028296.log 32569300 q3-extractinstructions.txt 20150515_131914 0.5 554fe34577683917c0a31f9e
20150515_131023 50 3 3 100000 103765041 22 10000 66 9911 1748 22 39 2500 1 47497 43801 1848 22 0 10 0 0 0 339.529 214.923 ../q3/./log/doc50cop3lif3_af2500s1tTOTAL_gf0i10d0m0_seed103765041.log 32283481 q3-extractinstructions.txt 20150515_131916 0.5 554fe34577683917c0a31f9f
20150515_131149 50 3 3 100000 141246882 28 10000 65 9914 1724 28 39 2500 1 47294 43582 1856 28 0 10 0 0 0 350.545 221.584 ../q3/./log/doc50cop3lif3_af2500s1tTOTAL_gf0i10d0m0_seed141246882.log 32149190 q3-extractinstructions.txt 20150515_132050 0.5 554fe34577683917c0a31fa0
20150515_131215 50 3 3 100000 681028781 32 10000 62 9913 1747 32 39 2500 1 47604 43906 1849 30 0 10 0 0 0 343.047 216.92 ../q3/./log/doc50cop3lif3_af2500s1tTOTAL_gf0i10d0m0_seed681028781.log 32366414 q3-extractinstructions.txt 20150515_132108 0.5 554fe34577683917c0a31fa1
20150515_131220 50 3 3 100000 117661523 26 10000 76 9907 1729 26 39 2500 1 47587 43925 1831 26 0 10 0 0 0 345.277 216.982 ../q3/./log/doc50cop3lif3_af2500s1tTOTAL_gf0i10d0m0_seed117661523.log 32354823 q3-extractinstructions.txt 20150515_132115 0.5 554fe34577683917c0a31fa2
20150515_131547 50 3 3 100000 105731136 33 10000 68 9912 1817 33 39 2500 1 47800 43948 1926 32 0 10 0 0 0 346.589 221.491 ../q3/./log/doc50cop3lif3_af2500s1tTOTAL_gf0i10d0m0_seed105731136.log 32486922 q3-extractinstructions.txt 20150515_132446 0.5 554fe34577683917c0a31fa3
20150515_131602 50 3 3 100000 967561224 27 10000 60 9928 1814 27 39 2500 1 48059 44191 1934 27 0 10 0 0 0 346.276 222.472 ../q3/./log/doc50cop3lif3_af2500s1tTOTAL_gf0i10d0m0_seed967561224.log 32661722 q3-extractinstructions.txt 20150515_132504 0.5 554fe34577683917c0a31fa4
20150515_131607 50 3 3 100000 420477893 32 10000 80 9895 1745 32 39 2500 1 47583 43823 1880 30 0 10 0 0 0 357.830 222.956 ../q3/./log/doc50cop3lif3_af2500s1tTOTAL_gf0i10d0m0_seed420477893.log 32329503 q3-extractinstructions.txt 20150515_132517 0.5 554fe34577683917c0a31fa5
20150515_131930 50 3 3 100000 50746969 27 10000 72 9915 1725 27 39 2500 1 47589 43887 1851 27 0 10 0 0 0 344.612 219.04 ../q3/./log/doc50cop3lif3_af2500s1tTOTAL_gf0i10d0m0_seed50746969.log 32332474 q3-extractinstructions.txt 20150515_132831 0.5 554fe34577683917c0a31fa7
20150515_131924 50 3 3 100000 263688301 28 10000 84 9896 1748 28 39 2500 1 47621 43927 1847 27 0 10 0 0 0 360.615 223.098 ../q3/./log/doc50cop3lif3_af2500s1tTOTAL_gf0i10d0m0_seed263688301.log 32380206 q3-extractinstructions.txt 20150515_132843 0.5 554fe34577683917c0a31fa6
20150515_132055 50 3 3 100000 533657980 23 10000 65 9920 1689 23 39 2500 1 47670 44080 1795 23 0 10 0 0 0 349.190 223.019 ../q3/./log/doc50cop3lif3_af2500s1tTOTAL_gf0i10d0m0_seed533657980.log 32369184 q3-extractinstructions.txt 20150515_133001 0.5 554fe34577683917c0a31fa8
20150515_132121 50 4 3 100000 919028296 0 10000 9 9991 115 0 39 2500 1 63929 59932 113 0 0 10 0 0 0 470.541 302.158 ../q3/./log/doc50cop4lif3_af2500s1tTOTAL_gf0i10d0m0_seed919028296.log 42858159 q3-extractinstructions.txt 20150515_133334 0.5 554fe34577683917c0a31fa9
