timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion
20141202_223801 50 1 2 100000 103765041 9157 10000 843 0 0 9157 0 0 0 0 0 0 0 44.503 26.489 ../q2/d50a0/logb0002/c01d50b0002s103765041.log 1097807 q2-extractinstructions-02.txt 20141203_145553 0.4
20141202_223853 50 1 2 100000 105731136 9195 10000 805 0 0 9195 0 0 0 0 0 0 0 45.484 26.505 ../q2/d50a0/logb0002/c01d50b0002s105731136.log 1102311 q2-extractinstructions-02.txt 20141203_145556 0.4
20141202_223829 50 1 2 100000 117661523 9120 10000 880 0 0 9120 0 0 0 0 0 0 0 57.988 26.723 ../q2/d50a0/logb0002/c01d50b0002s117661523.log 1093366 q2-extractinstructions-02.txt 20141203_145559 0.4
20141202_223807 50 1 2 100000 141246882 9135 10000 865 0 0 9135 0 0 0 0 0 0 0 41.016 26.52 ../q2/d50a0/logb0002/c01d50b0002s141246882.log 1095146 q2-extractinstructions-02.txt 20141203_145602 0.4
20141202_223909 50 1 2 100000 263688301 9207 10000 793 0 0 9207 0 0 0 0 0 0 0 38.247 26.77 ../q2/d50a0/logb0002/c01d50b0002s263688301.log 1103711 q2-extractinstructions-02.txt 20141203_145605 0.4
20141202_223903 50 1 2 100000 420477893 9221 10000 779 0 0 9221 0 0 0 0 0 0 0 41.716 26.66 ../q2/d50a0/logb0002/c01d50b0002s420477893.log 1105387 q2-extractinstructions-02.txt 20141203_145608 0.4
20141202_223935 50 1 2 100000 50746969 9150 10000 850 0 0 9150 0 0 0 0 0 0 0 61.941 26.52 ../q2/d50a0/logb0002/c01d50b0002s50746969.log 1096942 q2-extractinstructions-02.txt 20141203_145611 0.4
20141202_223949 50 1 2 100000 533657980 9192 10000 808 0 0 9192 0 0 0 0 0 0 0 52.153 26.535 ../q2/d50a0/logb0002/c01d50b0002s533657980.log 1101943 q2-extractinstructions-02.txt 20141203_145614 0.4
20141202_223812 50 1 2 100000 681028781 9215 10000 785 0 0 9215 0 0 0 0 0 0 0 37.797 26.645 ../q2/d50a0/logb0002/c01d50b0002s681028781.log 1104671 q2-extractinstructions-02.txt 20141203_145617 0.4
20141202_223756 50 1 2 100000 919028296 9190 10000 810 0 0 9190 0 0 0 0 0 0 0 48.514 26.364 ../q2/d50a0/logb0002/c01d50b0002s919028296.log 1101694 q2-extractinstructions-02.txt 20141203_145620 0.4
