timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion
20150104_140327 50 3 30 100000 103765041 0 10000 6080 3864 75 0 9 10000 1 4359 4231 64 0 18.100 13.104 ../q2/d50a10000s1long100/logb0030/c03d50b0030s103765041.log 477314 q2-extractinstructions-02.txt 20150104_150307 0.4
20150104_140407 50 3 30 100000 105731136 1 10000 6114 3829 90 1 9 10000 1 4423 4259 82 1 17.999 13.026 ../q2/d50a10000s1long100/logb0030/c03d50b0030s105731136.log 473217 q2-extractinstructions-02.txt 20150104_150309 0.4
20150104_140403 50 3 30 100000 117661523 1 10000 6041 3907 82 1 9 10000 1 4478 4334 72 1 18.020 13.041 ../q2/d50a10000s1long100/logb0030/c03d50b0030s117661523.log 481915 q2-extractinstructions-02.txt 20150104_150310 0.4
20150104_141711 50 3 30 100000 133966184 0 10000 6023 3937 68 0 9 10000 1 4482 4362 60 0 17.944 13.228 ../q2/d50a10000s1long100/logb0030/c03d50b0030s133966184.log 484066 q2-extractinstructions-02.txt 20150104_150312 0.4
20150104_140342 50 3 30 100000 141246882 0 10000 6108 3842 80 0 9 10000 1 4443 4313 65 0 19.022 14.242 ../q2/d50a10000s1long100/logb0030/c03d50b0030s141246882.log 473967 q2-extractinstructions-02.txt 20150104_150313 0.4
20150104_141444 50 3 30 100000 15591650 1 10000 6012 3940 73 1 9 10000 1 4461 4327 67 0 18.269 13.12 ../q2/d50a10000s1long100/logb0030/c03d50b0030s15591650.log 485360 q2-extractinstructions-02.txt 20150104_150315 0.4
20150104_141812 50 3 30 100000 166280481 0 10000 6141 3812 63 0 9 10000 1 4402 4290 56 0 18.144 12.98 ../q2/d50a10000s1long100/logb0030/c03d50b0030s166280481.log 470060 q2-extractinstructions-02.txt 20150104_150316 0.4
20150104_141606 50 3 30 100000 176818827 1 10000 6056 3908 63 1 9 10000 1 4394 4282 56 1 17.802 13.26 ../q2/d50a10000s1long100/logb0030/c03d50b0030s176818827.log 480108 q2-extractinstructions-02.txt 20150104_150317 0.4
20150104_141929 50 3 30 100000 178615611 1 10000 6107 3834 91 1 9 10000 1 4422 4252 85 1 17.596 12.979 ../q2/d50a10000s1long100/logb0030/c03d50b0030s178615611.log 474087 q2-extractinstructions-02.txt 20150104_150319 0.4
20150104_141348 50 3 30 100000 193031530 0 10000 6043 3905 81 0 9 10000 1 4477 4327 75 0 17.906 12.98 ../q2/d50a10000s1long100/logb0030/c03d50b0030s193031530.log 481675 q2-extractinstructions-02.txt 20150104_150320 0.4
20150104_142040 50 3 30 100000 213707177 0 10000 6024 3929 77 0 9 10000 1 4509 4369 70 0 17.183 12.932 ../q2/d50a10000s1long100/logb0030/c03d50b0030s213707177.log 483941 q2-extractinstructions-02.txt 20150104_150322 0.4
20150104_141727 50 3 30 100000 219481355 0 10000 6044 3911 71 0 9 10000 1 4438 4314 62 0 17.823 13.12 ../q2/d50a10000s1long100/logb0030/c03d50b0030s219481355.log 481570 q2-extractinstructions-02.txt 20150104_150323 0.4
20150104_140817 50 3 30 100000 229298583 0 10000 6028 3933 65 0 9 10000 1 4475 4355 60 0 17.919 13.011 ../q2/d50a10000s1long100/logb0030/c03d50b0030s229298583.log 483489 q2-extractinstructions-02.txt 20150104_150324 0.4
20150104_141914 50 3 30 100000 235032171 0 10000 6045 3903 78 0 9 10000 1 4460 4324 68 0 18.095 13.01 ../q2/d50a10000s1long100/logb0030/c03d50b0030s235032171.log 481462 q2-extractinstructions-02.txt 20150104_150326 0.4
20150104_141546 50 3 30 100000 257965973 0 10000 6015 3934 83 0 9 10000 1 4494 4344 75 0 18.030 13.057 ../q2/d50a10000s1long100/logb0030/c03d50b0030s257965973.log 485024 q2-extractinstructions-02.txt 20150104_150327 0.4
20150104_140545 50 3 30 100000 258760793 2 10000 5992 3952 84 2 9 10000 1 4529 4375 77 2 18.083 12.901 ../q2/d50a10000s1long100/logb0030/c03d50b0030s258760793.log 487751 q2-extractinstructions-02.txt 20150104_150329 0.4
20150104_140443 50 3 30 100000 263688301 1 10000 6097 3854 78 1 9 10000 1 4446 4310 68 1 18.008 13.058 ../q2/d50a10000s1long100/logb0030/c03d50b0030s263688301.log 475264 q2-extractinstructions-02.txt 20150104_150330 0.4
20150104_141933 50 3 30 100000 267313125 0 10000 6065 3878 84 0 9 10000 1 4452 4304 74 0 19.114 13.993 ../q2/d50a10000s1long100/logb0030/c03d50b0030s267313125.log 479059 q2-extractinstructions-02.txt 20150104_150332 0.4
20150104_141626 50 3 30 100000 273539877 0 10000 6014 3926 82 0 9 10000 1 4510 4366 72 0 17.955 13.182 ../q2/d50a10000s1long100/logb0030/c03d50b0030s273539877.log 485165 q2-extractinstructions-02.txt 20150104_150333 0.4
20150104_141732 50 3 30 100000 273745496 0 10000 6087 3857 93 0 9 10000 1 4472 4300 86 0 17.926 13.182 ../q2/d50a10000s1long100/logb0030/c03d50b0030s273745496.log 476462 q2-extractinstructions-02.txt 20150104_150334 0.4
20150104_141409 50 3 30 100000 288867276 1 10000 6048 3907 73 1 9 10000 1 4437 4307 65 1 18.316 13.12 ../q2/d50a10000s1long100/logb0030/c03d50b0030s288867276.log 481063 q2-extractinstructions-02.txt 20150104_150336 0.4
20150104_141949 50 3 30 100000 289290043 0 10000 6082 3885 63 0 9 10000 1 4429 4319 55 0 18.876 13.743 ../q2/d50a10000s1long100/logb0030/c03d50b0030s289290043.log 477026 q2-extractinstructions-02.txt 20150104_150337 0.4
20150104_141449 50 3 30 100000 31802340 2 10000 6074 3879 75 2 9 10000 1 4479 4351 64 2 18.569 13.15 ../q2/d50a10000s1long100/logb0030/c03d50b0030s31802340.log 477987 q2-extractinstructions-02.txt 20150104_150339 0.4
20150104_141201 50 3 30 100000 336520112 1 10000 6046 3909 66 1 9 10000 1 4502 4380 61 0 18.761 13.011 ../q2/d50a10000s1long100/logb0030/c03d50b0030s336520112.log 481334 q2-extractinstructions-02.txt 20150104_150340 0.4
20150104_141832 50 3 30 100000 338766876 0 10000 6084 3855 83 0 9 10000 1 4519 4363 78 0 18.104 13.041 ../q2/d50a10000s1long100/logb0030/c03d50b0030s338766876.log 476836 q2-extractinstructions-02.txt 20150104_150341 0.4
20150104_141019 50 3 30 100000 364245801 0 10000 6107 3836 81 0 9 10000 1 4414 4266 74 0 18.495 12.979 ../q2/d50a10000s1long100/logb0030/c03d50b0030s364245801.log 474069 q2-extractinstructions-02.txt 20150104_150343 0.4
