timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion
20150102_142542 50 3 50 100000 103765041 0 10000 7430 2554 22 0 9 10000 1 2660 2616 22 0 14.735 10.467 ../q2/d50a10000s1long100/logb0050/c03d50b0050s103765041.log 316808 q2-extractinstructions-02.txt 20150102_191910 0.4
20150102_142613 50 3 50 100000 105731136 0 10000 7462 2512 36 0 9 10000 1 2638 2568 35 0 14.196 10.498 ../q2/d50a10000s1long100/logb0050/c03d50b0050s105731136.log 313005 q2-extractinstructions-02.txt 20150102_191911 0.4
20150102_142607 50 3 50 100000 117661523 0 10000 7396 2579 30 0 9 10000 1 2722 2666 28 0 14.782 10.592 ../q2/d50a10000s1long100/logb0050/c03d50b0050s117661523.log 320858 q2-extractinstructions-02.txt 20150102_191912 0.4
20150102_142548 50 3 50 100000 141246882 0 10000 7463 2511 32 0 9 10000 1 2661 2603 29 0 15.246 11.154 ../q2/d50a10000s1long100/logb0050/c03d50b0050s141246882.log 312878 q2-extractinstructions-02.txt 20150102_191913 0.4
20150102_142930 50 3 50 100000 229298583 0 10000 7350 2622 34 0 9 10000 1 2739 2681 29 0 14.452 10.562 ../q2/d50a10000s1long100/logb0050/c03d50b0050s229298583.log 326343 q2-extractinstructions-02.txt 20150102_191914 0.4
20150102_142729 50 3 50 100000 258760793 0 10000 7361 2618 32 0 9 10000 1 2743 2691 26 0 14.254 10.452 ../q2/d50a10000s1long100/logb0050/c03d50b0050s258760793.log 325009 q2-extractinstructions-02.txt 20150102_191915 0.4
20150102_142638 50 3 50 100000 263688301 0 10000 7403 2585 22 0 9 10000 1 2685 2645 20 0 14.255 10.499 ../q2/d50a10000s1long100/logb0050/c03d50b0050s263688301.log 320014 q2-extractinstructions-02.txt 20150102_191916 0.4
20150102_143233 50 3 50 100000 336520112 0 10000 7365 2613 27 0 9 10000 1 2735 2683 26 0 14.186 10.483 ../q2/d50a10000s1long100/logb0050/c03d50b0050s336520112.log 324545 q2-extractinstructions-02.txt 20150102_191917 0.4
20150102_143111 50 3 50 100000 364245801 1 10000 7383 2591 32 1 9 10000 1 2735 2673 31 1 14.508 10.53 ../q2/d50a10000s1long100/logb0050/c03d50b0050s364245801.log 322379 q2-extractinstructions-02.txt 20150102_191918 0.4
20150102_142748 50 3 50 100000 376517787 0 10000 7376 2598 33 0 9 10000 1 2731 2669 31 0 14.447 10.53 ../q2/d50a10000s1long100/logb0050/c03d50b0050s376517787.log 323224 q2-extractinstructions-02.txt 20150102_191919 0.4
20150102_142632 50 3 50 100000 420477893 0 10000 7374 2598 34 0 9 10000 1 2667 2607 30 0 14.510 10.546 ../q2/d50a10000s1long100/logb0050/c03d50b0050s420477893.log 323470 q2-extractinstructions-02.txt 20150102_191920 0.4
20150102_143001 50 3 50 100000 487615299 0 10000 7453 2520 30 0 9 10000 1 2585 2533 26 0 14.156 10.42 ../q2/d50a10000s1long100/logb0050/c03d50b0050s487615299.log 314055 q2-extractinstructions-02.txt 20150102_191921 0.4
20150102_142904 50 3 50 100000 488153710 0 10000 7393 2594 16 0 9 10000 1 2700 2668 16 0 15.176 11.216 ../q2/d50a10000s1long100/logb0050/c03d50b0050s488153710.log 321198 q2-extractinstructions-02.txt 20150102_191922 0.4
20150102_142936 50 3 50 100000 49497595 1 10000 7401 2577 25 1 9 10000 1 2720 2672 24 0 14.345 10.452 ../q2/d50a10000s1long100/logb0050/c03d50b0050s49497595.log 320241 q2-extractinstructions-02.txt 20150102_191923 0.4
20150102_142653 50 3 50 100000 50746969 0 10000 7382 2591 38 0 9 10000 1 2728 2654 37 0 15.891 10.437 ../q2/d50a10000s1long100/logb0050/c03d50b0050s50746969.log 322479 q2-extractinstructions-02.txt 20150102_191924 0.4
20150102_142911 50 3 50 100000 51492881 0 10000 7381 2599 25 0 9 10000 1 2717 2673 22 0 14.325 10.468 ../q2/d50a10000s1long100/logb0050/c03d50b0050s51492881.log 322580 q2-extractinstructions-02.txt 20150102_191925 0.4
20150102_142809 50 3 50 100000 519606501 0 10000 7381 2600 25 0 9 10000 1 2724 2682 21 0 15.859 10.436 ../q2/d50a10000s1long100/logb0050/c03d50b0050s519606501.log 322616 q2-extractinstructions-02.txt 20150102_191926 0.4
20150102_142658 50 3 50 100000 533657980 0 10000 7417 2565 24 0 9 10000 1 2671 2629 21 0 14.521 10.483 ../q2/d50a10000s1long100/logb0050/c03d50b0050s533657980.log 318350 q2-extractinstructions-02.txt 20150102_191927 0.4
20150102_143041 50 3 50 100000 580369466 1 10000 7387 2585 32 1 9 10000 1 2684 2622 31 1 15.723 10.499 ../q2/d50a10000s1long100/logb0050/c03d50b0050s580369466.log 321909 q2-extractinstructions-02.txt 20150102_191928 0.4
20150102_142718 50 3 50 100000 597296547 0 10000 7364 2609 37 0 9 10000 1 2748 2674 37 0 15.682 10.545 ../q2/d50a10000s1long100/logb0050/c03d50b0050s597296547.log 324666 q2-extractinstructions-02.txt 20150102_191929 0.4
20150102_143117 50 3 50 100000 603593284 0 10000 7371 2618 16 0 9 10000 1 2739 2709 15 0 14.309 10.53 ../q2/d50a10000s1long100/logb0050/c03d50b0050s603593284.log 323800 q2-extractinstructions-02.txt 20150102_191931 0.4
20150102_143222 50 3 50 100000 60400782 0 10000 7444 2534 29 0 9 10000 1 2641 2595 23 0 15.715 10.405 ../q2/d50a10000s1long100/logb0050/c03d50b0050s60400782.log 315098 q2-extractinstructions-02.txt 20150102_191932 0.4
20150102_143021 50 3 50 100000 619181484 1 10000 7369 2605 27 1 9 10000 1 2710 2656 27 1 15.211 11.186 ../q2/d50a10000s1long100/logb0050/c03d50b0050s619181484.log 324041 q2-extractinstructions-02.txt 20150102_191933 0.4
20150102_143227 50 3 50 100000 65398367 0 10000 7439 2537 27 0 9 10000 1 2632 2582 25 0 14.236 10.484 ../q2/d50a10000s1long100/logb0050/c03d50b0050s65398367.log 315702 q2-extractinstructions-02.txt 20150102_191934 0.4
20150102_142839 50 3 50 100000 656627946 0 10000 7392 2583 37 0 9 10000 1 2704 2638 33 0 14.389 10.531 ../q2/d50a10000s1long100/logb0050/c03d50b0050s656627946.log 321297 q2-extractinstructions-02.txt 20150102_191935 0.4
20150102_142723 50 3 50 100000 664375964 0 10000 7352 2613 40 0 9 10000 1 2720 2644 38 0 14.580 10.53 ../q2/d50a10000s1long100/logb0050/c03d50b0050s664375964.log 326062 q2-extractinstructions-02.txt 20150102_191936 0.4
20150102_142743 50 3 50 100000 666549275 0 10000 7462 2507 41 0 9 10000 1 2629 2561 34 0 15.439 10.468 ../q2/d50a10000s1long100/logb0050/c03d50b0050s666549275.log 312996 q2-extractinstructions-02.txt 20150102_191937 0.4
20150102_142602 50 3 50 100000 681028781 0 10000 7392 2587 22 0 9 10000 1 2707 2669 19 0 16.362 11.247 ../q2/d50a10000s1long100/logb0050/c03d50b0050s681028781.log 321364 q2-extractinstructions-02.txt 20150102_191938 0.4
20150102_143052 50 3 50 100000 691574937 0 10000 7440 2535 35 0 9 10000 1 2651 2589 31 0 14.243 10.499 ../q2/d50a10000s1long100/logb0050/c03d50b0050s691574937.log 315596 q2-extractinstructions-02.txt 20150102_191939 0.4
20150102_143106 50 3 50 100000 696282793 0 10000 7344 2634 30 0 9 10000 1 2757 2703 27 0 15.826 10.53 ../q2/d50a10000s1long100/logb0050/c03d50b0050s696282793.log 327012 q2-extractinstructions-02.txt 20150102_191940 0.4
20150102_143132 50 3 50 100000 70757215 0 10000 7394 2577 39 0 9 10000 1 2714 2644 35 0 15.683 10.546 ../q2/d50a10000s1long100/logb0050/c03d50b0050s70757215.log 321057 q2-extractinstructions-02.txt 20150102_191941 0.4
20150102_142704 50 3 50 100000 711283608 0 10000 7456 2521 30 0 9 10000 1 2651 2599 26 0 14.175 10.484 ../q2/d50a10000s1long100/logb0050/c03d50b0050s711283608.log 313703 q2-extractinstructions-02.txt 20150102_191942 0.4
20150102_143142 50 3 50 100000 71232281 0 10000 7341 2640 26 0 9 10000 1 2733 2683 25 0 14.300 10.546 ../q2/d50a10000s1long100/logb0050/c03d50b0050s71232281.log 327364 q2-extractinstructions-02.txt 20150102_191943 0.4
20150102_142814 50 3 50 100000 715258232 1 10000 7324 2653 29 1 9 10000 1 2768 2712 28 1 14.589 10.592 ../q2/d50a10000s1long100/logb0050/c03d50b0050s715258232.log 329402 q2-extractinstructions-02.txt 20150102_191944 0.4
20150102_142955 50 3 50 100000 731421358 0 10000 7444 2537 22 0 9 10000 1 2613 2577 18 0 14.220 10.514 ../q2/d50a10000s1long100/logb0050/c03d50b0050s731421358.log 315145 q2-extractinstructions-02.txt 20150102_191945 0.4
20150102_143137 50 3 50 100000 764644760 0 10000 7402 2569 34 0 9 10000 1 2678 2614 32 0 15.014 11.139 ../q2/d50a10000s1long100/logb0050/c03d50b0050s764644760.log 320119 q2-extractinstructions-02.txt 20150102_191946 0.4
20150102_142859 50 3 50 100000 771297240 0 10000 7376 2601 30 0 9 10000 1 2752 2700 26 0 15.762 10.53 ../q2/d50a10000s1long100/logb0050/c03d50b0050s771297240.log 323228 q2-extractinstructions-02.txt 20150102_191947 0.4
20150102_142820 50 3 50 100000 792850679 0 10000 7453 2528 27 0 9 10000 1 2661 2613 24 0 14.178 10.498 ../q2/d50a10000s1long100/logb0050/c03d50b0050s792850679.log 314075 q2-extractinstructions-02.txt 20150102_191948 0.4
20150102_142754 50 3 50 100000 817713633 0 10000 7417 2567 24 0 9 10000 1 2656 2612 22 0 14.235 10.499 ../q2/d50a10000s1long100/logb0050/c03d50b0050s817713633.log 318365 q2-extractinstructions-02.txt 20150102_191949 0.4
20150102_143202 50 3 50 100000 835080798 0 10000 7490 2486 28 0 9 10000 1 2548 2494 27 0 14.400 10.452 ../q2/d50a10000s1long100/logb0050/c03d50b0050s835080798.log 309653 q2-extractinstructions-02.txt 20150102_191950 0.4
20150102_143157 50 3 50 100000 855242110 0 10000 7461 2526 19 0 9 10000 1 2632 2598 17 0 15.648 10.435 ../q2/d50a10000s1long100/logb0050/c03d50b0050s855242110.log 313120 q2-extractinstructions-02.txt 20150102_191951 0.4
20150102_143026 50 3 50 100000 869373100 1 10000 7396 2577 31 1 9 10000 1 2695 2635 30 0 14.260 10.545 ../q2/d50a10000s1long100/logb0050/c03d50b0050s869373100.log 320852 q2-extractinstructions-02.txt 20150102_191952 0.4
20150102_142536 50 3 50 100000 919028296 0 10000 7391 2587 28 0 9 10000 1 2730 2676 27 0 15.883 10.483 ../q2/d50a10000s1long100/logb0050/c03d50b0050s919028296.log 321426 q2-extractinstructions-02.txt 20150102_191953 0.4
20150102_142925 50 3 50 100000 932031761 0 10000 7451 2527 26 0 9 10000 1 2628 2582 23 0 15.424 10.437 ../q2/d50a10000s1long100/logb0050/c03d50b0050s932031761.log 314300 q2-extractinstructions-02.txt 20150102_191954 0.4
