timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion
20141130_141257 50 1 2 100000 103765041 9184 10000 816 0 0 9184 8 10000 1 0 0 0 8948 58.204 30.419 ../q2/d50/logb0002/c01d50b0002s103765041.log 1101181 q2-extractinstructions-02.txt 20141201_133302 0.4
20141130_141400 50 1 2 100000 105731136 9213 10000 787 0 0 9213 8 10000 1 0 0 0 8997 96.982 29.998 ../q2/d50/logb0002/c01d50b0002s105731136.log 1104626 q2-extractinstructions-02.txt 20141201_133305 0.4
20141130_141328 50 1 2 100000 117661523 9151 10000 849 0 0 9151 8 10000 1 0 0 0 8949 125.142 30.171 ../q2/d50/logb0002/c01d50b0002s117661523.log 1097263 q2-extractinstructions-02.txt 20141201_133309 0.4
20141130_141306 50 1 2 100000 141246882 9183 10000 817 0 0 9183 8 10000 1 0 0 0 8955 52.238 31.621 ../q2/d50/logb0002/c01d50b0002s141246882.log 1101069 q2-extractinstructions-02.txt 20141201_133312 0.4
20141130_141421 50 1 2 100000 263688301 9179 10000 821 0 0 9179 8 10000 1 0 0 0 8982 76.675 32.854 ../q2/d50/logb0002/c01d50b0002s263688301.log 1100587 q2-extractinstructions-02.txt 20141201_133315 0.4
20141130_141414 50 1 2 100000 420477893 9143 10000 857 0 0 9143 8 10000 1 0 0 0 8955 83.899 30.606 ../q2/d50/logb0002/c01d50b0002s420477893.log 1096324 q2-extractinstructions-02.txt 20141201_133318 0.4
20141130_141541 50 1 2 100000 50746969 9157 10000 843 0 0 9157 8 10000 1 0 0 0 8932 96.436 30.139 ../q2/d50/logb0002/c01d50b0002s50746969.log 1097970 q2-extractinstructions-02.txt 20141201_133320 0.4
20141130_141547 50 1 2 100000 533657980 9199 10000 801 0 0 9199 8 10000 1 0 0 0 8980 93.104 31.497 ../q2/d50/logb0002/c01d50b0002s533657980.log 1102974 q2-extractinstructions-02.txt 20141201_133323 0.4
20141130_141314 50 1 2 100000 681028781 9205 10000 795 0 0 9205 8 10000 1 0 0 0 8968 48.832 30.342 ../q2/d50/logb0002/c01d50b0002s681028781.log 1103678 q2-extractinstructions-02.txt 20141201_133326 0.4
20141130_141250 50 1 2 100000 919028296 9180 10000 820 0 0 9180 8 10000 1 0 0 0 8940 64.338 30.389 ../q2/d50/logb0002/c01d50b0002s919028296.log 1100707 q2-extractinstructions-02.txt 20141201_133329 0.4
