timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180105_215203 50 1 5 3 100000 919028296 15 10000 0 9931 6673 15 9 10000 1 TOTAL 44835 36924 7911 15 0 0 0 0 0 100000 20000 50 10000 2 2 3 4 36 41.304 39.604388 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed919028296.log 24618 hl-extractinstructions.txt 20180105_215315 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_1
20180105_215204 50 1 5 3 100000 103765041 11 10000 0 9794 9990 11 9 10000 1 TOTAL 42397 33928 8469 11 0 0 0 0 0 100000 20000 50 10000 2 2 4 6 40 43.490 41.775576 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed103765041.log 25658 hl-extractinstructions.txt 20180105_215318 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_2
20180105_215206 50 1 5 3 100000 681028781 33 10000 0 9560 9981 33 9 10000 1 TOTAL 41449 28775 12674 32 0 0 0 0 0 100000 20000 50 10000 2 2 3 7 43 43.680 41.955018 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed681028781.log 26186 hl-extractinstructions.txt 20180105_215320 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_4
20180105_215205 50 1 5 3 100000 141246882 117 10000 0 9809 6910 117 9 10000 1 TOTAL 43043 35697 7346 117 0 0 0 0 0 100000 20000 50 10000 2 2 2 5 37 44.968 43.003163 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed141246882.log 25112 hl-extractinstructions.txt 20180105_215320 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_3
20180105_215207 50 1 5 3 100000 117661523 43 10000 0 9565 9970 43 9 10000 1 TOTAL 41423 28764 12659 43 0 0 0 0 0 100000 20000 50 10000 2 2 2 7 31 45.077 43.298892 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed117661523.log 26123 hl-extractinstructions.txt 20180105_215322 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_5
20180105_215209 50 1 5 3 100000 967561224 7 10000 0 9989 2947 7 9 10000 1 TOTAL 45818 40151 5667 7 0 0 0 0 0 100000 20000 50 10000 2 2 4 3 39 48.448 46.717399 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed967561224.log 24127 hl-extractinstructions.txt 20180105_215328 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_7
20180105_215208 50 1 5 3 100000 105731136 5 10000 0 9990 2990 5 9 10000 1 TOTAL 45672 39910 5762 5 0 0 0 0 0 100000 20000 50 10000 2 2 3 3 36 50.715 48.997047 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed105731136.log 24090 hl-extractinstructions.txt 20180105_215329 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_6
20180105_215210 50 1 5 3 100000 420477893 24 10000 0 9777 9979 24 9 10000 1 TOTAL 43505 34728 8777 21 0 0 0 0 0 100000 20000 50 10000 2 2 4 6 39 52.216 50.475151 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed420477893.log 25164 hl-extractinstructions.txt 20180105_215333 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_8
20180105_215211 50 1 5 3 100000 263688301 22 10000 0 9925 6689 22 9 10000 1 TOTAL 44694 36891 7803 21 0 0 0 0 0 100000 20000 50 10000 2 2 3 4 37 51.762 49.966319 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed263688301.log 24621 hl-extractinstructions.txt 20180105_215333 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_9
20180105_215213 50 1 5 3 100000 533657980 131 10000 0 9362 9879 131 9 10000 1 TOTAL 38242 26212 12030 130 0 0 0 0 0 100000 20000 50 10000 2 2 3 9 42 51.367 49.626359 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed533657980.log 27198 hl-extractinstructions.txt 20180105_215335 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_11
20180105_215212 50 1 5 3 100000 50746969 176 10000 0 9623 9895 176 9 10000 1 TOTAL 39821 29565 10256 176 0 0 0 0 0 100000 20000 50 10000 2 2 2 8 42 52.716 50.997229 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed50746969.log 26698 hl-extractinstructions.txt 20180105_215335 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_10
20180105_215214 50 1 5 3 100000 711283608 10 10000 0 9983 4393 10 9 10000 1 TOTAL 45854 38946 6908 10 0 0 0 0 0 100000 20000 50 10000 2 2 2 3 31 53.521 51.944639 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed711283608.log 24060 hl-extractinstructions.txt 20180105_215338 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_12
20180105_215215 50 1 5 3 100000 597296547 7 10000 0 9981 2976 7 9 10000 1 TOTAL 45595 39740 5855 6 0 0 0 0 0 100000 20000 50 10000 2 2 0 3 41 53.047 51.279111 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed597296547.log 24125 hl-extractinstructions.txt 20180105_215339 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_13
20180105_215220 50 1 5 3 100000 376517787 154 10000 0 9538 9888 154 9 10000 1 TOTAL 39696 28296 11400 153 0 0 0 0 0 100000 20000 50 10000 2 2 3 8 41 51.827 49.555335 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed376517787.log 26710 hl-extractinstructions.txt 20180105_215342 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_17
20180105_215217 50 1 5 3 100000 258760793 20 10000 0 9762 9983 20 9 10000 1 TOTAL 42428 32933 9495 20 0 0 0 0 0 100000 20000 50 10000 2 2 2 6 43 55.332 53.558814 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed258760793.log 25675 hl-extractinstructions.txt 20180105_215343 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_15
20180105_215218 50 1 5 3 100000 666549275 21 10000 0 9753 9985 21 9 10000 1 TOTAL 42418 32794 9624 18 0 0 0 0 0 100000 20000 50 10000 2 2 3 7 42 54.924 53.233965 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed666549275.log 25685 hl-extractinstructions.txt 20180105_215344 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_16
20180105_215222 50 1 5 3 100000 519606501 130 10000 0 9925 6158 130 9 10000 1 TOTAL 43027 36743 6284 130 0 0 0 0 0 100000 20000 50 10000 2 2 3 5 36 52.329 50.435897 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed519606501.log 25132 hl-extractinstructions.txt 20180105_215344 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_19
20180105_215216 50 1 5 3 100000 664375964 11 10000 0 9866 9990 11 9 10000 1 TOTAL 44681 38030 6651 9 0 0 0 0 0 100000 20000 50 10000 2 2 3 5 32 57.745 55.952903 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed664375964.log 24595 hl-extractinstructions.txt 20180105_215344 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_14
20180105_215225 50 1 5 3 100000 919028296 4 10000 0 9992 3023 4 9 10000 1 TOTAL 45707 39741 5966 4 0 0 0 0 0 100000 20000 80 10000 2 2 2 3 35 52.403 50.309316 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed919028296.log 24093 hl-extractinstructions.txt 20180105_215347 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_1
20180105_215224 50 1 5 3 100000 792850679 11 10000 0 9825 9990 11 9 10000 1 TOTAL 43619 35990 7629 11 0 0 0 0 0 100000 20000 50 10000 2 2 3 6 41 55.563 53.626541 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed792850679.log 25159 hl-extractinstructions.txt 20180105_215349 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_21
20180105_215223 50 1 5 3 100000 715258232 5 10000 0 9827 9996 5 9 10000 1 TOTAL 43815 36123 7692 5 0 0 0 0 0 100000 20000 50 10000 2 2 0 6 37 57.348 55.296087 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed715258232.log 25123 hl-extractinstructions.txt 20180105_215350 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_20
20180105_215227 50 1 5 3 100000 141246882 115 10000 0 9683 9887 115 9 10000 1 TOTAL 41721 34414 7307 115 0 0 0 0 0 100000 20000 80 10000 2 2 2 6 38 53.178 51.396115 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed141246882.log 25632 hl-extractinstructions.txt 20180105_215350 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_3
20180105_215226 50 1 5 3 100000 103765041 17 10000 0 9762 9985 17 9 10000 1 TOTAL 41205 31976 9229 17 0 0 0 0 0 100000 20000 80 10000 2 2 4 7 41 54.345 52.343804 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed103765041.log 26180 hl-extractinstructions.txt 20180105_215350 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_2
20180105_215221 50 1 5 3 100000 817713633 0 10000 32 9963 1022 0 9 10000 1 TOTAL 49026 46017 3009 0 0 0 0 0 0 100000 20000 50 10000 2 2 3 0 32 60.165 57.744808 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_sdl100000_seed817713633.log 22555 hl-extractinstructions.txt 20180105_215351 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 dc9f2afb517c98db2c0c0f996da4cd8089db8329_18
20180105_215228 50 1 5 3 100000 681028781 29 10000 0 9805 9979 29 9 10000 1 TOTAL 43638 34850 8788 15 0 0 0 0 0 100000 20000 80 10000 2 2 2 7 44 53.299 50.949558 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed681028781.log 25184 hl-extractinstructions.txt 20180105_215351 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_4
20180105_215229 50 1 5 3 100000 117661523 43 10000 0 9565 9970 43 9 10000 1 TOTAL 41423 28764 12659 43 0 0 0 0 0 100000 20000 80 10000 2 2 2 7 31 54.263 52.144098 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed117661523.log 26123 hl-extractinstructions.txt 20180105_215353 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_5
20180105_215232 50 1 5 3 100000 420477893 26 10000 0 9686 9979 26 9 10000 1 TOTAL 42001 31480 10521 25 0 0 0 0 0 100000 20000 80 10000 2 2 3 7 39 52.025 49.694184 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed420477893.log 25676 hl-extractinstructions.txt 20180105_215354 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_8
20180105_215231 50 1 5 3 100000 967561224 16 10000 0 9984 4147 16 9 10000 1 TOTAL 46773 40888 5885 15 0 0 0 0 0 100000 20000 80 10000 2 2 1 2 38 53.702 51.552041 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed967561224.log 23613 hl-extractinstructions.txt 20180105_215355 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_7
20180105_215233 50 1 5 3 100000 263688301 21 10000 0 9843 9981 21 9 10000 1 TOTAL 44933 36937 7996 20 0 0 0 0 0 100000 20000 80 10000 2 2 2 5 38 52.074 49.778724 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed263688301.log 24643 hl-extractinstructions.txt 20180105_215355 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_9
20180105_215230 50 1 5 3 100000 105731136 17 10000 0 9878 9985 17 9 10000 1 TOTAL 45672 39910 5762 5 0 0 0 0 0 100000 20000 80 10000 2 2 3 5 38 55.781 53.357679 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed105731136.log 24130 hl-extractinstructions.txt 20180105_215356 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_6
20180105_215234 50 1 5 3 100000 50746969 176 10000 0 9623 9895 176 9 10000 1 TOTAL 39821 29565 10256 176 0 0 0 0 0 100000 20000 80 10000 2 2 2 8 42 52.261 49.830268 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed50746969.log 26698 hl-extractinstructions.txt 20180105_215357 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_10
20180105_215245 50 1 5 3 100000 533657980 131 10000 0 9362 9879 131 9 10000 1 TOTAL 38242 26212 12030 130 0 0 0 0 0 100000 20000 80 10000 2 2 3 9 42 46.837 44.27742 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed533657980.log 27196 hl-extractinstructions.txt 20180105_215402 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_11
20180105_215257 50 1 5 3 100000 711283608 34 10000 0 9707 9974 34 9 10000 1 TOTAL 42421 31756 10665 24 0 0 0 0 0 100000 20000 80 10000 2 2 3 8 35 41.134 38.571483 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed711283608.log 25648 hl-extractinstructions.txt 20180105_215408 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_12
20180105_215258 50 1 5 3 100000 597296547 7 10000 0 9981 2976 7 9 10000 1 TOTAL 45595 39740 5855 6 0 0 0 0 0 100000 20000 80 10000 2 2 0 3 41 40.761 38.594519 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed597296547.log 24125 hl-extractinstructions.txt 20180105_215408 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_13
20180105_215309 50 1 5 3 100000 664375964 11 10000 0 9830 9989 11 9 10000 1 TOTAL 43467 35939 7528 11 0 0 0 0 0 100000 20000 80 10000 2 2 3 6 32 35.566 33.920158 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed664375964.log 25115 hl-extractinstructions.txt 20180105_215414 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_14
20180105_215312 50 1 5 3 100000 376517787 154 10000 0 9538 9888 154 9 10000 1 TOTAL 39696 28296 11400 153 0 0 0 0 0 100000 20000 80 10000 2 2 3 8 41 33.159 31.587142 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed376517787.log 26716 hl-extractinstructions.txt 20180105_215415 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_17
20180105_215310 50 1 5 3 100000 258760793 8 10000 0 9907 6856 8 9 10000 1 TOTAL 43969 35191 8778 8 0 0 0 0 0 100000 20000 80 10000 2 2 2 5 42 36.483 34.712546 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed258760793.log 25161 hl-extractinstructions.txt 20180105_215416 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_15
20180105_215311 50 1 5 3 100000 666549275 23 10000 0 9713 9981 23 9 10000 1 TOTAL 41271 30870 10401 23 0 0 0 0 0 100000 20000 80 10000 2 2 2 8 43 35.556 33.636529 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed666549275.log 26209 hl-extractinstructions.txt 20180105_215416 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_16
20180105_215324 50 1 5 3 100000 519606501 18 10000 0 9735 9983 18 9 10000 1 TOTAL 42289 32612 9677 18 0 0 0 0 0 100000 20000 80 10000 2 2 3 6 37 32.040 30.677409 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed519606501.log 25654 hl-extractinstructions.txt 20180105_215426 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_19
20180105_215323 50 1 5 3 100000 817713633 4 10000 0 9984 2605 4 9 10000 1 TOTAL 46934 41972 4962 4 0 0 0 0 0 100000 20000 80 10000 2 2 3 2 34 33.505 32.145469 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed817713633.log 23589 hl-extractinstructions.txt 20180105_215426 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_18
20180105_215325 50 1 5 3 100000 715258232 5 10000 0 9827 9996 5 9 10000 1 TOTAL 43815 36123 7692 5 0 0 0 0 0 100000 20000 80 10000 2 2 0 6 37 33.927 32.526626 ../hl/shocks/compare/cop5/log/doc50cop5shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i80s2m10000_sdl100000_seed715258232.log 25123 hl-extractinstructions.txt 20180105_215429 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.078 0aec6ddca0824360d57c7906b79e911a7a24dfa7_20
