timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20171126_193141 50 1 3 3 100000 376517787 10000 10000 0 6988 1197 10000 9 10000 1 12840 10322 2518 10000 0 0 0 0 0 100000 10000 50 5000 2 2 3 3 24 63.120 56.148956 ../shocks/high/span2/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed376517787.log 13615985 hl-extractinstructions.txt 20171126_193524 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 725a1bdf4d9434007c91a8914778192b6f2fc665_17
20171126_193146 50 1 3 3 100000 919028296 10000 10000 0 4472 2448 10000 9 10000 1 8324 5163 3161 10000 0 0 0 0 0 100000 10000 90 5000 2 2 7 4 21 61.022 55.67326 ../shocks/high/span2/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i90s2m5000_sdl100000_seed919028296.log 14142584 hl-extractinstructions.txt 20171126_193537 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 bff55d95247501f564c693b44f56328147f89b37_1
20171126_193247 50 1 3 3 100000 533657980 10000 10000 0 2316 273 10000 9 10000 1 2862 2316 546 10000 0 0 0 0 0 100000 10000 90 5000 2 2 9 5 28 44.545 38.022821 ../shocks/high/span2/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i90s2m5000_sdl100000_seed533657980.log 13404884 hl-extractinstructions.txt 20171126_193637 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 bff55d95247501f564c693b44f56328147f89b37_11
20171126_193126 50 1 3 3 100000 103765041 1412 10000 0 8433 8813 1412 9 10000 1 22872 17011 5861 1296 0 0 0 0 0 100000 10000 50 5000 2 2 7 4 24 78.502 72.440551 ../shocks/high/span2/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed103765041.log 23717213 hl-extractinstructions.txt 20171126_193713 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 725a1bdf4d9434007c91a8914778192b6f2fc665_2
20171126_193314 50 1 3 3 100000 376517787 10000 10000 0 6988 1197 10000 9 10000 1 12840 10322 2518 10000 0 0 0 0 0 100000 10000 90 5000 2 2 3 3 24 60.689 50.684292 ../shocks/high/span2/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i90s2m5000_sdl100000_seed376517787.log 13615965 hl-extractinstructions.txt 20171126_193714 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 bff55d95247501f564c693b44f56328147f89b37_17
20171126_193142 50 1 3 3 100000 817713633 329 10000 0 9731 4909 329 9 10000 1 27226 20366 6860 206 0 0 0 0 0 100000 10000 50 5000 2 2 5 2 20 83.668 78.611924 ../shocks/high/span2/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed817713633.log 20675003 hl-extractinstructions.txt 20171126_193716 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 725a1bdf4d9434007c91a8914778192b6f2fc665_18
20171126_193133 50 1 3 3 100000 263688301 472 10000 0 8681 9655 472 9 10000 1 26057 17886 8171 358 0 0 0 0 0 100000 10000 50 5000 2 2 3 3 20 80.536 75.21114 ../shocks/high/span2/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed263688301.log 22187188 hl-extractinstructions.txt 20171126_193722 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 725a1bdf4d9434007c91a8914778192b6f2fc665_9
20171126_193144 50 1 3 3 100000 715258232 1343 10000 0 8714 9209 1343 9 10000 1 26298 17946 8352 324 0 0 0 0 0 100000 10000 50 5000 2 2 4 4 22 87.407 81.74302 ../shocks/high/span2/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed715258232.log 22344527 hl-extractinstructions.txt 20171126_193739 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 725a1bdf4d9434007c91a8914778192b6f2fc665_20
20171126_193131 50 1 3 3 100000 967561224 450 10000 0 9435 6775 450 9 10000 1 24992 15506 9486 439 0 0 0 0 0 100000 10000 50 5000 2 2 3 3 22 83.576 77.89355 ../shocks/high/span2/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s2m5000_sdl100000_seed967561224.log 24688306 hl-extractinstructions.txt 20171126_193740 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 725a1bdf4d9434007c91a8914778192b6f2fc665_7
20171126_193148 50 1 3 3 100000 141246882 10000 10000 0 6460 2808 10000 9 10000 1 13712 9548 4164 10000 0 0 0 0 0 100000 10000 90 5000 2 2 6 6 25 79.066 72.446284 ../shocks/high/span2/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i90s2m5000_sdl100000_seed141246882.log 22198626 hl-extractinstructions.txt 20171126_193741 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 bff55d95247501f564c693b44f56328147f89b37_3
