timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20171127_015118 50 1 3 3 100000 50746969 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 50 5000 3 2 6 3 26 5.999 4.260756 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s3m5000_sdl100000_seed50746969.log 6498313 hl-extractinstructions.txt 20171127_015207 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 8bbda273ca9e1c94b089611e4124b8a1dab3605c_10
20171127_015140 50 1 3 3 100000 50746969 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 90 5000 3 2 6 3 26 10.231 7.234319 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i90s3m5000_sdl100000_seed50746969.log 6498287 hl-extractinstructions.txt 20171127_015230 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 5564bf3d415154520aa3ed6b70d28143300c2755_10
20171127_015112 50 1 3 3 100000 681028781 10000 10000 0 4044 2197 10000 9 10000 1 7496 4606 2890 10000 0 0 0 0 0 100000 10000 50 5000 3 2 6 6 26 20.086 18.129762 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s3m5000_sdl100000_seed681028781.log 18630610 hl-extractinstructions.txt 20171127_015231 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 8bbda273ca9e1c94b089611e4124b8a1dab3605c_4
20171127_015109 50 1 3 3 100000 103765041 10000 10000 0 5983 4089 10000 9 10000 1 13575 7854 5721 10000 0 0 0 0 0 100000 10000 50 5000 3 2 6 5 24 22.805 20.665892 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s3m5000_sdl100000_seed103765041.log 20076519 hl-extractinstructions.txt 20171127_015232 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 8bbda273ca9e1c94b089611e4124b8a1dab3605c_2
20171127_015135 50 1 3 3 100000 105731136 10000 10000 0 2549 337 10000 9 10000 1 3223 2549 674 10000 0 0 0 0 0 100000 10000 90 5000 3 2 7 3 22 14.031 11.499356 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i90s3m5000_sdl100000_seed105731136.log 8479377 hl-extractinstructions.txt 20171127_015233 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 5564bf3d415154520aa3ed6b70d28143300c2755_6
20171127_015138 50 1 3 3 100000 420477893 10000 10000 0 2654 340 10000 9 10000 1 3334 2654 680 10000 0 0 0 0 0 100000 10000 90 5000 3 2 5 3 22 13.519 11.078142 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i90s3m5000_sdl100000_seed420477893.log 8431360 hl-extractinstructions.txt 20171127_015237 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 5564bf3d415154520aa3ed6b70d28143300c2755_8
20171127_015113 50 1 3 3 100000 117661523 373 10000 0 9691 4983 373 9 10000 1 27500 20389 7111 247 0 0 0 0 0 100000 10000 50 5000 3 2 4 2 16 35.655 33.52745 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s3m5000_sdl100000_seed117661523.log 19939263 hl-extractinstructions.txt 20171127_015256 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 8bbda273ca9e1c94b089611e4124b8a1dab3605c_5
20171127_015129 50 1 3 3 100000 792850679 10000 10000 0 2332 1918 10000 9 10000 1 4599 2332 2267 10000 0 0 0 0 0 100000 10000 50 5000 3 2 9 6 25 25.114 22.720461 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i50s3m5000_sdl100000_seed792850679.log 17252298 hl-extractinstructions.txt 20171127_015300 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 8bbda273ca9e1c94b089611e4124b8a1dab3605c_21
20171127_015131 50 1 3 3 100000 103765041 10000 10000 0 4416 2424 10000 9 10000 1 8259 5091 3168 10000 0 0 0 0 0 100000 10000 90 5000 3 2 6 4 24 22.227 19.717886 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i90s3m5000_sdl100000_seed103765041.log 14036307 hl-extractinstructions.txt 20171127_015301 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 5564bf3d415154520aa3ed6b70d28143300c2755_2
20171127_015133 50 1 3 3 100000 681028781 10000 10000 0 2308 285 10000 9 10000 1 2878 2308 570 10000 0 0 0 0 0 100000 10000 90 5000 3 2 4 5 25 21.052 18.577727 ../shocks/high/span3/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh10000i90s3m5000_sdl100000_seed681028781.log 13536084 hl-extractinstructions.txt 20171127_015304 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.350 5564bf3d415154520aa3ed6b70d28143300c2755_4
