timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20171213_161944 50 1 3 3 100000 141246882 1289 10000 0 8444 4850 1289 9 10000 1 TOTAL 21576 15773 5803 1282 0 0 0 0 0 100000 20000 50 5000 1 2 3 3 37 35.316 33.112435 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m5000_sdl100000_seed141246882.log 22342066 hl-extractinstructions.txt 20171213_162142 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 7d674b0ed49ac8d28937308a4bfb288ce7a786d0_3
20171213_161946 50 1 3 3 100000 117661523 334 10000 0 9749 4949 334 9 10000 1 TOTAL 27601 20534 7067 232 0 0 0 0 0 100000 20000 50 5000 1 2 4 2 29 35.214 33.178323 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m5000_sdl100000_seed117661523.log 19993344 hl-extractinstructions.txt 20171213_162143 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 7d674b0ed49ac8d28937308a4bfb288ce7a786d0_5
20171213_161942 50 1 3 3 100000 919028296 1204 10000 0 9475 4987 1204 9 10000 1 TOTAL 23806 17858 5948 1194 0 0 0 0 0 100000 20000 50 5000 1 2 2 3 36 35.998 33.858924 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m5000_sdl100000_seed919028296.log 23241143 hl-extractinstructions.txt 20171213_162143 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 7d674b0ed49ac8d28937308a4bfb288ce7a786d0_1
20171213_161951 50 1 3 3 100000 263688301 216 10000 0 9901 3977 216 9 10000 1 TOTAL 27531 20479 7052 206 0 0 0 0 0 100000 20000 50 5000 1 2 2 1 36 40.801 38.72037 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m5000_sdl100000_seed263688301.log 19916202 hl-extractinstructions.txt 20171213_162155 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 7d674b0ed49ac8d28937308a4bfb288ce7a786d0_9
20171213_161947 50 1 3 3 100000 105731136 333 10000 0 9462 6234 333 9 10000 1 TOTAL 25986 17736 8250 312 0 0 0 0 0 100000 20000 50 5000 1 2 2 2 36 39.694 37.575927 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m5000_sdl100000_seed105731136.log 22250032 hl-extractinstructions.txt 20171213_162155 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 7d674b0ed49ac8d28937308a4bfb288ce7a786d0_6
20171213_162003 50 1 3 3 100000 792850679 10000 10000 0 4484 3936 10000 9 10000 1 TOTAL 10331 5153 5178 10000 0 0 0 0 0 100000 20000 50 5000 1 2 6 5 41 30.576 28.007275 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m5000_sdl100000_seed792850679.log 18298180 hl-extractinstructions.txt 20171213_162156 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 7d674b0ed49ac8d28937308a4bfb288ce7a786d0_21
20171213_161943 50 1 3 3 100000 103765041 425 10000 0 9410 6811 425 9 10000 1 TOTAL 24856 15298 9558 411 0 0 0 0 0 100000 20000 50 5000 1 2 3 3 40 39.106 37.018087 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m5000_sdl100000_seed103765041.log 24660900 hl-extractinstructions.txt 20171213_162158 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 7d674b0ed49ac8d28937308a4bfb288ce7a786d0_2
20171213_161948 50 1 3 3 100000 967561224 1287 10000 0 9451 4924 1287 9 10000 1 TOTAL 23920 17935 5985 1281 0 0 0 0 0 100000 20000 50 5000 1 2 3 3 39 39.703 37.568244 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m5000_sdl100000_seed967561224.log 23397704 hl-extractinstructions.txt 20171213_162158 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 7d674b0ed49ac8d28937308a4bfb288ce7a786d0_7
20171213_162000 50 1 3 3 100000 817713633 132 10000 323 9457 2697 132 9 10000 1 TOTAL 28694 23102 5592 117 0 0 0 0 0 100000 20000 50 5000 1 2 4 0 32 41.340 39.268304 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m5000_sdl100000_seed817713633.log 17420400 hl-extractinstructions.txt 20171213_162201 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 7d674b0ed49ac8d28937308a4bfb288ce7a786d0_18
20171213_161949 50 1 3 3 100000 420477893 1316 10000 0 9283 5112 1316 9 10000 1 TOTAL 23301 17151 6150 1307 0 0 0 0 0 100000 20000 50 5000 1 2 3 3 37 40.965 38.81057 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s1m5000_sdl100000_seed420477893.log 23285311 hl-extractinstructions.txt 20171213_162203 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.074 7d674b0ed49ac8d28937308a4bfb288ce7a786d0_8
