# A tibble: 1,080 x 3
     lifem docsize mdmlosspct
     <int>   <int>      <dbl>
   1    10      50      100.0
   2    10      50      100.0
   3    10      50      100.0
   4    10      50      100.0
   5    10      50      100.0
   6    10      50      100.0
   7    10      50      100.0
   8    10      50      100.0
   9    10      50      100.0
  10    10      50      100.0
  11    10      50      100.0
  12    10      50      100.0
  13    10      50      100.0
  14    10      50      100.0
  15    10      50      100.0
  16    10      50      100.0
  17    10      50      100.0
  18    10      50      100.0
  19    10      50      100.0
  20    10      50      100.0
  21    10      50      100.0
  22    10      50      100.0
  23    10      50      100.0
  24    10      50      100.0
  25    20      50      100.0
  26    20      50      100.0
  27    20      50      100.0
  28    20      50      100.0
  29    20      50      100.0
  30    20      50      100.0
  31    20      50      100.0
  32    20      50      100.0
  33    20      50      100.0
  34    20      50      100.0
  35    20      50      100.0
  36    20      50      100.0
  37    20      50      100.0
  38    20      50      100.0
  39    20      50      100.0
  40    20      50      100.0
  41    20      50      100.0
  42    20      50      100.0
  43    20      50      100.0
  44    20      50      100.0
  45    20      50      100.0
  46    20      50      100.0
  47    20      50      100.0
  48    20      50      100.0
  49    30      50      100.0
  50    30      50      100.0
  51    30      50      100.0
  52    30      50      100.0
  53    30      50      100.0
  54    30      50      100.0
  55    30      50      100.0
  56    30      50      100.0
  57    30      50      100.0
  58    30      50      100.0
  59    30      50      100.0
  60    30      50      100.0
  61    30      50       91.9
  62    30      50      100.0
  63    30      50      100.0
  64    30      50      100.0
  65    30      50      100.0
  66    30      50      100.0
  67    30      50      100.0
  68    30      50      100.0
  69    30      50      100.0
  70    30      50      100.0
  71    30      50      100.0
  72    30      50      100.0
  73    50      50      100.0
  74    50      50      100.0
  75    50      50      100.0
  76    50      50      100.0
  77    50      50      100.0
  78    50      50      100.0
  79    50      50      100.0
  80    50      50      100.0
  81    50      50      100.0
  82    50      50      100.0
  83    50      50      100.0
  84    50      50      100.0
  85    50      50      100.0
  86    50      50      100.0
  87    50      50      100.0
  88    50      50      100.0
  89    50      50      100.0
  90    50      50      100.0
  91    50      50      100.0
  92    50      50      100.0
  93    50      50      100.0
  94    50      50      100.0
  95    50      50      100.0
  96    50      50      100.0
  97   100      50      100.0
  98   100      50      100.0
  99   100      50      100.0
 100   100      50      100.0
 101   100      50      100.0
 102   100      50      100.0
 103   100      50      100.0
 104   100      50      100.0
 105   100      50      100.0
 106   100      50      100.0
 107   100      50      100.0
 108   100      50      100.0
 109   100      50       91.2
 110   100      50      100.0
 111   100      50      100.0
 112   100      50      100.0
