XXX Document losses with single copy and varying document size 

# A tibble: 864 x 3
    lifem copies mdmlosspct
    <int>  <int>      <dbl>
  1    10      2       10.9
  2    10      2       13.3
  3    10      2       85.8
  4    10      2       85.3
  5    10      2        8.4
  6    10      2        9.0
  7    10      2        9.2
  8    10      2        8.7
  9    10      2       36.5
 10    10      2       14.6
 11    10      2       38.6
 12    10      2       14.8
 13    10      2        8.4
 14    10      2        7.9
 15    10      2        8.4
 16    10      2        8.5
 17    10      2        8.2
 18    10      2        8.5
 19    10      2       11.2
 20    10      2       10.4
 21    10      2        9.2
 22    10      2       11.7
 23    10      2       11.5
 24    10      2       10.4
 25    20      2        4.0
 26    20      2        5.0
 27    20      2       41.6
 28    20      2       51.3
 29    20      2       22.2
 30    20      2        5.0
 31    20      2       23.3
 32    20      2        5.2
 33    20      2        7.7
 34    20      2        7.4
 35    20      2       16.1
 36    20      2        7.6
 37    20      2        3.5
 38    20      2        3.6
 39    20      2        3.8
 40    20      2        3.5
 41    20      2        3.8
 42    20      2        3.6
 43    20      2        5.4
 44    20      2        4.8
 45    20      2        4.9
 46    20      2        6.0
 47    20      2        5.4
 48    20      2        5.5
 49    30      2        2.8
 50    30      2        3.2
 51    30      2       48.4
 52    30      2       74.5
 53    30      2        2.6
 54    30      2        3.4
 55    30      2        2.9
 56    30      2        3.3
 57    30      2       13.1
 58    30      2        5.0
 59    30      2       13.9
 60    30      2        4.8
 61    30      2        2.6
 62    30      2        2.4
 63    30      2        2.5
 64    30      2        2.6
 65    30      2        2.5
 66    30      2        2.7
 67    30      2        3.3
 68    30      2        3.2
 69    30      2        2.9
 70    30      2        3.7
 71    30      2        3.5
 72    30      2        3.3
 73    50      2        1.6
 74    50      2        2.3
 75    50      2       29.9
 76    50      2       56.5
 77    50      2        1.8
 78    50      2        1.7
 79    50      2        2.0
 80    50      2        2.1
 81    50      2       11.8
 82    50      2        2.6
 83    50      2       12.0
 84    50      2        2.8
 85    50      2        1.4
 86    50      2        1.5
 87    50      2        1.4
 88    50      2        1.5
 89    50      2        1.6
 90    50      2        1.5
 91    50      2        2.0
 92    50      2        2.1
 93    50      2        1.8
 94    50      2        2.3
 95    50      2        2.2
 96    50      2        1.9
 97   100      2        1.1
 98   100      2       19.2
 99   100      2       28.7
100   100      2       55.7
101   100      2        0.7
102   100      2        0.7
103   100      2        1.0
104   100      2        0.9
105   100      2        1.5
106   100      2        1.6
107   100      2       10.7
108   100      2        1.5
109   100      2        0.8
110   100      2        0.7
111   100      2        0.7
112   100      2        0.9
113   100      2        0.8
114   100      2        0.8
