timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20171125_175118 50 1 3 3 100000 103765041 316 10000 0 9563 6176 316 9 10000 1 25974 17880 8094 306 0 0 0 0 0 100000 0 0 0 0 2 0 2 22 37.100 34.501018 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed103765041.log 22178857 hl-extractinstructions.txt 20171125_175306 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 8759c134e91c972c92c6a5e6a5ecafe2db8701df_2
20171125_175117 50 1 3 3 100000 919028296 308 10000 0 9581 6216 308 9 10000 1 26246 17964 8282 298 0 0 0 0 0 100000 0 0 0 0 2 0 2 20 35.420 33.010336 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed919028296.log 22287968 hl-extractinstructions.txt 20171125_175306 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 8759c134e91c972c92c6a5e6a5ecafe2db8701df_1
20171125_175121 50 1 3 3 100000 117661523 322 10000 0 9729 4968 322 9 10000 1 27585 20546 7039 215 0 0 0 0 0 100000 0 0 0 0 2 0 2 16 37.405 34.978735 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed117661523.log 19879208 hl-extractinstructions.txt 20171125_175311 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 8759c134e91c972c92c6a5e6a5ecafe2db8701df_5
20171125_175119 50 1 3 3 100000 141246882 420 10000 0 9282 6779 420 9 10000 1 24641 15162 9479 405 0 0 0 0 0 100000 0 0 0 0 2 0 3 22 38.761 36.254565 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed141246882.log 24568323 hl-extractinstructions.txt 20171125_175319 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 8759c134e91c972c92c6a5e6a5ecafe2db8701df_3
20171125_175123 50 1 3 3 100000 967561224 1170 10000 0 9588 4260 1170 9 10000 1 25116 20226 4890 1162 0 0 0 0 0 100000 0 0 0 0 2 0 2 21 38.669 36.120711 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed967561224.log 21182463 hl-extractinstructions.txt 20171125_175319 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 8759c134e91c972c92c6a5e6a5ecafe2db8701df_7
20171125_175143 50 1 3 5 100000 117661523 118 10000 0 9683 3071 118 9 10000 1 17393 14070 3323 61 0 0 0 0 0 100000 0 0 0 0 2 0 2 16 31.287 29.079362 ../shocks/low/span1/log/doc50cop3shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed117661523.log 14051909 hl-extractinstructions.txt 20171125_175322 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 ea0d2f3ef4dbf4c49a9e43bdf9fe4f8b0708fbc5_5
20171125_175139 50 1 3 5 100000 919028296 112 10000 0 9467 4271 112 9 10000 1 16263 12065 4198 109 0 0 0 0 0 100000 0 0 0 0 2 0 2 20 33.745 31.473607 ../shocks/low/span1/log/doc50cop3shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed919028296.log 16575919 hl-extractinstructions.txt 20171125_175327 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 ea0d2f3ef4dbf4c49a9e43bdf9fe4f8b0708fbc5_1
20171125_175122 50 1 3 3 100000 105731136 349 10000 0 9424 6192 349 9 10000 1 25800 17487 8313 333 0 0 0 0 0 100000 0 0 0 0 2 0 2 21 41.749 39.093765 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed105731136.log 22160801 hl-extractinstructions.txt 20171125_175328 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 8759c134e91c972c92c6a5e6a5ecafe2db8701df_6
20171125_175140 50 1 3 5 100000 103765041 108 10000 0 9479 4262 108 9 10000 1 16344 12119 4225 103 0 0 0 0 0 100000 0 0 0 0 2 0 2 22 33.336 31.454766 ../shocks/low/span1/log/doc50cop3shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed103765041.log 16593674 hl-extractinstructions.txt 20171125_175329 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 ea0d2f3ef4dbf4c49a9e43bdf9fe4f8b0708fbc5_2
20171125_175147 50 1 3 5 100000 263688301 78 10000 0 9938 2189 78 9 10000 1 17094 13907 3187 77 0 0 0 0 0 100000 0 0 0 0 2 0 1 19 30.741 28.465246 ../shocks/low/span1/log/doc50cop3shlf1lif5_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed263688301.log 13917910 hl-extractinstructions.txt 20171125_175331 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 ea0d2f3ef4dbf4c49a9e43bdf9fe4f8b0708fbc5_9
20171125_175125 50 1 3 3 100000 263688301 227 10000 0 9893 3898 227 9 10000 1 27588 20718 6870 213 0 0 0 0 0 100000 0 0 0 0 2 0 1 19 44.181 41.791443 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed263688301.log 19878602 hl-extractinstructions.txt 20171125_175331 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 8759c134e91c972c92c6a5e6a5ecafe2db8701df_9
20171125_175124 50 1 3 3 100000 420477893 1275 10000 0 9281 4994 1275 9 10000 1 23262 17294 5968 1264 0 0 0 0 0 100000 0 0 0 0 2 0 3 21 41.637 39.074035 ../shocks/low/span1/log/doc50cop3shlf1lif3_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl100000_seed420477893.log 23308765 hl-extractinstructions.txt 20171125_175334 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.314 8759c134e91c972c92c6a5e6a5ecafe2db8701df_8
