timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20170717_160026 50 1 1 10 100000 919028296 2936 10000 7064 0 0 2936 9 10000 1 0 0 0 2696 0 0 0 0 0 100000 10000 20 5000 2 2 5 0 20 7.131 5.56401 ../shockspan2/freq1yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed919028296.log 12994 hl-extractinstructions.txt 20170717_160040 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 df77b3aa68c451a842d749c4529d794f97cedd28_1
20170717_160027 50 1 1 10 100000 103765041 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 5 1 22 7.390 5.899667 ../shockspan2/freq1yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed103765041.log 13014 hl-extractinstructions.txt 20170717_160041 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 df77b3aa68c451a842d749c4529d794f97cedd28_2
20170717_160028 50 1 1 10 100000 141246882 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 7 1 22 7.616 6.156716 ../shockspan2/freq1yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed141246882.log 13015 hl-extractinstructions.txt 20170717_160043 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 df77b3aa68c451a842d749c4529d794f97cedd28_3
20170717_160029 50 1 1 10 100000 681028781 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 7 1 25 6.873 5.405666 ../shockspan2/freq1yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed681028781.log 13028 hl-extractinstructions.txt 20170717_160043 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 df77b3aa68c451a842d749c4529d794f97cedd28_4
20170717_160030 50 1 1 10 100000 117661523 2864 10000 7136 0 0 2864 9 10000 1 0 0 0 2642 0 0 0 0 0 100000 10000 20 5000 2 2 7 0 16 7.335 5.702355 ../shockspan2/freq1yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed117661523.log 12972 hl-extractinstructions.txt 20170717_160044 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 df77b3aa68c451a842d749c4529d794f97cedd28_5
20170717_160031 50 1 1 10 100000 105731136 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 7 1 21 6.874 5.364934 ../shockspan2/freq1yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed105731136.log 13001 hl-extractinstructions.txt 20170717_160045 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 df77b3aa68c451a842d749c4529d794f97cedd28_6
20170717_160032 50 1 1 10 100000 967561224 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 8 1 21 7.108 5.591839 ../shockspan2/freq1yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed967561224.log 13010 hl-extractinstructions.txt 20170717_160046 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 df77b3aa68c451a842d749c4529d794f97cedd28_7
20170717_160033 50 1 1 10 100000 420477893 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 6 1 21 6.429 4.954637 ../shockspan2/freq1yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed420477893.log 12998 hl-extractinstructions.txt 20170717_160047 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 df77b3aa68c451a842d749c4529d794f97cedd28_8
20170717_160034 50 1 1 10 100000 263688301 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 5 1 20 7.779 6.278701 ../shockspan2/freq1yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed263688301.log 13005 hl-extractinstructions.txt 20170717_160049 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 df77b3aa68c451a842d749c4529d794f97cedd28_9
20170717_160035 50 1 1 10 100000 50746969 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 5 1 26 6.723 5.205756 ../shockspan2/freq1yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed50746969.log 13025 hl-extractinstructions.txt 20170717_160049 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 df77b3aa68c451a842d749c4529d794f97cedd28_10
20170717_160036 50 1 1 10 100000 533657980 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 5 1 27 6.499 5.018782 ../shockspan2/freq1yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed533657980.log 13025 hl-extractinstructions.txt 20170717_160050 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 df77b3aa68c451a842d749c4529d794f97cedd28_11
20170717_160038 50 1 1 10 100000 711283608 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 7 1 17 6.611 5.103168 ../shockspan2/freq1yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed711283608.log 12967 hl-extractinstructions.txt 20170717_160051 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 df77b3aa68c451a842d749c4529d794f97cedd28_12
20170717_160039 50 1 1 10 100000 597296547 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 10000 20 5000 2 2 3 1 26 7.672 6.158876 ../shockspan2/freq1yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh10000i20s2m5000_sdl100000_seed597296547.log 13039 hl-extractinstructions.txt 20170717_160053 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 df77b3aa68c451a842d749c4529d794f97cedd28_13
