timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20170717_202325 50 1 1 10 100000 919028296 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 2 2 2 1 21 6.656 5.182546 ../shockspan2/freq2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s2m5000_sdl100000_seed919028296.log 13004 hl-extractinstructions.txt 20170717_202339 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 0c9e71631792d151b7ba75fe3d4c03e3ecdfd80b_1
20170717_202326 50 1 1 10 100000 103765041 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 2 2 2 1 22 7.566 6.006998 ../shockspan2/freq2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s2m5000_sdl100000_seed103765041.log 13014 hl-extractinstructions.txt 20170717_202341 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 0c9e71631792d151b7ba75fe3d4c03e3ecdfd80b_2
20170717_202327 50 1 1 10 100000 141246882 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 2 2 3 1 22 7.658 6.221028 ../shockspan2/freq2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s2m5000_sdl100000_seed141246882.log 13011 hl-extractinstructions.txt 20170717_202342 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 0c9e71631792d151b7ba75fe3d4c03e3ecdfd80b_3
20170717_202328 50 1 1 10 100000 681028781 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 2 2 4 1 25 6.614 5.125352 ../shockspan2/freq2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s2m5000_sdl100000_seed681028781.log 13022 hl-extractinstructions.txt 20170717_202342 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 0c9e71631792d151b7ba75fe3d4c03e3ecdfd80b_4
20170717_202329 50 1 1 10 100000 117661523 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 2 2 6 1 17 6.851 5.349102 ../shockspan2/freq2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s2m5000_sdl100000_seed117661523.log 12980 hl-extractinstructions.txt 20170717_202343 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 0c9e71631792d151b7ba75fe3d4c03e3ecdfd80b_5
20170717_202330 50 1 1 10 100000 105731136 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 2 2 2 1 21 6.776 5.262894 ../shockspan2/freq2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s2m5000_sdl100000_seed105731136.log 13001 hl-extractinstructions.txt 20170717_202344 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 0c9e71631792d151b7ba75fe3d4c03e3ecdfd80b_6
20170717_202331 50 1 1 10 100000 967561224 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 2 2 3 1 21 7.556 6.088962 ../shockspan2/freq2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s2m5000_sdl100000_seed967561224.log 13010 hl-extractinstructions.txt 20170717_202346 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 0c9e71631792d151b7ba75fe3d4c03e3ecdfd80b_7
20170717_202333 50 1 1 10 100000 420477893 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 2 2 5 1 21 6.562 5.078314 ../shockspan2/freq2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s2m5000_sdl100000_seed420477893.log 12998 hl-extractinstructions.txt 20170717_202346 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 0c9e71631792d151b7ba75fe3d4c03e3ecdfd80b_8
20170717_202334 50 1 1 10 100000 263688301 2897 10000 7103 0 0 2897 9 10000 1 0 0 0 2636 0 0 0 0 0 100000 20000 20 5000 2 2 1 0 19 7.298 5.678047 ../shockspan2/freq2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s2m5000_sdl100000_seed263688301.log 12989 hl-extractinstructions.txt 20170717_202348 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 0c9e71631792d151b7ba75fe3d4c03e3ecdfd80b_9
20170717_202335 50 1 1 10 100000 50746969 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 20000 20 5000 2 2 2 1 26 6.855 5.348111 ../shockspan2/freq2yr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh20000i20s2m5000_sdl100000_seed50746969.log 13030 hl-extractinstructions.txt 20170717_202349 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2800.040 0c9e71631792d151b7ba75fe3d4c03e3ecdfd80b_10
