timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20171008_170046 5 1 1 2000 100000 919028296 3 10000 9997 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0.733 0.0 ../scaling/docsize/log/doc5cop1shlf1lif2000_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed919028296.log 17289 hl-extractinstructions.txt 20171008_170055 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1735771219ba21a748b332b1bdd2c7b933808a91_1
20171008_170047 5 1 1 2000 100000 103765041 4 10000 9996 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0.717 0.0 ../scaling/docsize/log/doc5cop1shlf1lif2000_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed103765041.log 17780 hl-extractinstructions.txt 20171008_170055 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1735771219ba21a748b332b1bdd2c7b933808a91_2
20171008_170048 5 1 1 2000 100000 141246882 2 10000 9998 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0.679 0.0 ../scaling/docsize/log/doc5cop1shlf1lif2000_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed141246882.log 16805 hl-extractinstructions.txt 20171008_170057 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1735771219ba21a748b332b1bdd2c7b933808a91_3
20171008_170049 5 1 1 2000 100000 681028781 2 10000 9998 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0.683 0.0 ../scaling/docsize/log/doc5cop1shlf1lif2000_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed681028781.log 16805 hl-extractinstructions.txt 20171008_170058 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1735771219ba21a748b332b1bdd2c7b933808a91_4
20171008_170051 5 1 1 2000 100000 117661523 5 10000 9995 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0.773 0.015 ../scaling/docsize/log/doc5cop1shlf1lif2000_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed117661523.log 18177 hl-extractinstructions.txt 20171008_170059 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1735771219ba21a748b332b1bdd2c7b933808a91_5
20171008_170052 5 1 1 2000 100000 105731136 4 10000 9996 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0.704 0.015 ../scaling/docsize/log/doc5cop1shlf1lif2000_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed105731136.log 17788 hl-extractinstructions.txt 20171008_170100 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1735771219ba21a748b332b1bdd2c7b933808a91_6
20171008_170053 5 1 1 2000 100000 967561224 2 10000 9998 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0.708 0.015 ../scaling/docsize/log/doc5cop1shlf1lif2000_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed967561224.log 16814 hl-extractinstructions.txt 20171008_170102 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1735771219ba21a748b332b1bdd2c7b933808a91_7
20171008_170054 5 1 1 2000 100000 420477893 3 10000 9997 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0.810 0.016 ../scaling/docsize/log/doc5cop1shlf1lif2000_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed420477893.log 17297 hl-extractinstructions.txt 20171008_170103 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1735771219ba21a748b332b1bdd2c7b933808a91_8
20171008_170056 5 1 1 2000 100000 263688301 0 10000 10000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0.738 0.0 ../scaling/docsize/log/doc5cop1shlf1lif2000_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed263688301.log 15834 hl-extractinstructions.txt 20171008_170104 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1735771219ba21a748b332b1bdd2c7b933808a91_9
20171008_170057 5 1 1 2000 100000 50746969 2 10000 9998 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0.729 0.016 ../scaling/docsize/log/doc5cop1shlf1lif2000_af0s0tTOTAL_gf0i0d0m0_sh0i0s0m0_sdl0_seed50746969.log 16813 hl-extractinstructions.txt 20171008_170106 0.6_20170522 GenuineIntel_fam6mod58step9cor4spd3392.000 1735771219ba21a748b332b1bdd2c7b933808a91_10
