timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20180828_172724 50 1 4 2 100000 919028296 390 10000 0 9941 6771 390 9 10000 1 TOTAL 49284 41814 7470 386 0 0 0 0 0 100000 20000 50 10000 2 2 3 4 36 44.645 43.164 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed919028296.log 23796 hl-extractinstructions.txt 20180828_172839 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_1
20180828_172726 50 1 4 2 100000 141246882 356 10000 0 9689 6872 356 9 10000 1 TOTAL 48579 40888 7691 352 0 0 0 0 0 100000 20000 50 10000 2 2 1 4 37 51.527 50.041 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed141246882.log 24782 hl-extractinstructions.txt 20180828_172848 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_3
20180828_172727 50 1 4 2 100000 681028781 636 10000 0 9547 9518 636 9 10000 1 TOTAL 44756 34876 9880 630 0 0 0 0 0 100000 20000 50 10000 2 2 2 6 43 51.416 49.844 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed681028781.log 24861 hl-extractinstructions.txt 20180828_172849 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_4
20180828_172725 50 1 4 2 100000 103765041 337 10000 0 9944 6610 337 9 10000 1 TOTAL 50933 44453 6480 332 0 0 0 0 0 100000 20000 50 10000 2 2 0 3 39 53.598 52.047 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed103765041.log 24300 hl-extractinstructions.txt 20180828_172849 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_2
20180828_172728 50 1 4 2 100000 117661523 435 10000 0 9817 9660 435 9 10000 1 TOTAL 46150 36696 9454 429 0 0 0 0 0 100000 20000 50 10000 2 2 2 6 30 52.162 50.716 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed117661523.log 25280 hl-extractinstructions.txt 20180828_172850 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_5
20180828_172730 50 1 4 2 100000 967561224 146 10000 0 9951 6095 146 9 10000 1 TOTAL 51442 45232 6210 142 0 0 0 0 0 100000 20000 50 10000 2 2 3 3 39 56.987 55.578 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed967561224.log 24312 hl-extractinstructions.txt 20180828_172857 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_7
20180828_172731 50 1 4 2 100000 420477893 233 10000 0 9886 9799 233 9 10000 1 TOTAL 49845 42639 7206 195 0 0 0 0 0 100000 20000 50 10000 2 2 2 5 38 59.326 57.836 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed420477893.log 24811 hl-extractinstructions.txt 20180828_172901 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_8
20180828_172734 50 1 4 2 100000 533657980 478 10000 0 9451 9616 478 9 10000 1 TOTAL 42082 31060 11022 472 0 0 0 0 0 100000 20000 50 10000 2 2 3 8 43 57.695 56.355 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed533657980.log 26381 hl-extractinstructions.txt 20180828_172902 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_11
20180828_172733 50 1 4 2 100000 50746969 231 10000 0 9861 9804 231 9 10000 1 TOTAL 48061 40283 7778 229 0 0 0 0 0 100000 20000 50 10000 2 2 4 5 41 59.470 58.015 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed50746969.log 24842 hl-extractinstructions.txt 20180828_172903 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_10
20180828_172735 50 1 4 2 100000 711283608 463 10000 0 9676 9632 463 9 10000 1 TOTAL 46771 38513 8258 423 0 0 0 0 0 100000 20000 50 10000 2 2 3 6 33 58.301 56.957 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed711283608.log 25277 hl-extractinstructions.txt 20180828_172904 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_12
20180828_172732 50 1 4 2 100000 263688301 207 10000 0 9903 9829 207 9 10000 1 TOTAL 51424 45127 6297 168 0 0 0 0 0 100000 20000 50 10000 2 2 3 4 37 62.084 60.590 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed263688301.log 24795 hl-extractinstructions.txt 20180828_172905 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_9
20180828_172729 50 1 4 2 100000 105731136 169 10000 0 9932 5225 169 9 10000 1 TOTAL 53510 47956 5554 130 0 0 0 0 0 100000 20000 50 10000 2 2 3 3 37 65.782 64.369 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed105731136.log 24288 hl-extractinstructions.txt 20180828_172905 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_6
20180828_172738 50 1 4 2 100000 258760793 454 10000 0 9759 9622 454 9 10000 1 TOTAL 45749 36540 9209 447 0 0 0 0 0 100000 20000 50 10000 2 2 4 6 43 56.661 55.243 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed258760793.log 25358 hl-extractinstructions.txt 20180828_172905 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_15
20180828_172740 50 1 4 2 100000 666549275 275 10000 0 9817 9776 275 9 10000 1 TOTAL 46480 37829 8651 265 0 0 0 0 0 100000 20000 50 10000 2 2 5 6 42 57.624 56.333 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed666549275.log 25364 hl-extractinstructions.txt 20180828_172907 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_16
20180828_172736 50 1 4 2 100000 597296547 412 10000 0 9923 9683 412 9 10000 1 TOTAL 50074 42872 7202 177 0 0 0 0 0 100000 20000 50 10000 2 2 3 6 44 60.955 59.705 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed597296547.log 24876 hl-extractinstructions.txt 20180828_172908 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_13
20180828_172741 50 1 4 2 100000 376517787 717 10000 0 9723 9479 717 9 10000 1 TOTAL 42160 30776 11384 708 0 0 0 0 0 100000 20000 50 10000 2 2 5 8 41 62.694 61.079 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed376517787.log 26382 hl-extractinstructions.txt 20180828_172913 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_17
20180828_172744 50 1 4 2 100000 715258232 451 10000 0 9779 9628 451 9 10000 1 TOTAL 45870 36603 9267 441 0 0 0 0 0 100000 20000 50 10000 2 2 4 6 37 61.591 60.139 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed715258232.log 25321 hl-extractinstructions.txt 20180828_172915 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_20
20180828_172737 50 1 4 2 100000 664375964 181 10000 0 9889 9843 181 9 10000 1 TOTAL 51858 45620 6238 142 0 0 0 0 0 100000 20000 50 10000 2 2 4 4 32 67.993 66.434 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i50s2m10000_svrdeflif100000simlen0_seed664375964.log 25280 hl-extractinstructions.txt 20180828_172916 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 47bb1678e8e8fbc3201a42f44ede324ff3b1d752_14
20180828_172747 50 1 4 2 100000 103765041 337 10000 0 9944 6610 337 9 10000 1 TOTAL 50933 44453 6480 332 0 0 0 0 0 100000 20000 75 10000 2 2 0 3 39 60.714 58.995 ../hl201808/SHOCKSMORETHAN4/log/doc50cop4shlf1lif2_af10000s1tTOTAL_gf0i0d0m0_sh20000i75s2m10000_svrdeflif100000simlen0_seed103765041.log 24300 hl-extractinstructions.txt 20180828_172918 0.6_20170522 GenuineIntel_fam6mod62step4cor8spd2793.330 cf614ac1dd860e1b6bcb0ce56b658ededa56d036_2
